,station_id,is_renting,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,last_reported,num_docks_disabled,is_returning,legacy_id,is_installed,num_bikes_available,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
68,77,True,0,1,False,2020-08-01 17:21:14+00:00,0,True,77,True,0,14,active,,,2020-08-01 18:05:40,2020
69,78,True,0,1,False,2020-08-01 17:54:15+00:00,0,True,78,True,14,4,active,,,2020-08-01 18:05:40,2020
70,79,True,0,0,False,2020-08-01 17:36:02+00:00,0,True,79,True,9,10,active,,,2020-08-01 18:05:40,2020
71,80,True,0,1,False,2020-08-01 17:37:09+00:00,0,True,80,True,19,15,active,,,2020-08-01 18:05:40,2020
72,81,True,0,0,False,2020-08-01 17:57:11+00:00,0,True,81,True,14,5,active,,,2020-08-01 18:05:40,2020
73,82,True,0,0,False,2020-08-01 18:04:25+00:00,0,True,82,True,2,13,active,,,2020-08-01 18:05:40,2020
74,84,True,0,0,False,2020-08-01 18:03:30+00:00,0,True,84,True,5,10,active,,,2020-08-01 18:05:40,2020
75,85,True,0,0,False,2020-08-01 17:12:02+00:00,0,True,85,True,4,15,active,,,2020-08-01 18:05:40,2020
76,86,True,0,0,False,2020-08-01 18:04:00+00:00,0,True,86,True,11,8,active,,,2020-08-01 18:05:40,2020
77,87,True,0,1,False,2020-08-01 18:03:57+00:00,0,True,87,True,2,12,active,,,2020-08-01 18:05:40,2020
78,89,True,0,0,False,2020-08-01 18:05:24+00:00,0,True,89,True,6,13,active,,,2020-08-01 18:05:40,2020
79,90,True,0,0,False,2020-08-01 17:56:59+00:00,0,True,90,True,6,13,active,,,2020-08-01 18:05:40,2020
80,91,True,0,0,False,2020-08-01 18:03:32+00:00,0,True,91,True,8,11,active,,,2020-08-01 18:05:40,2020
81,92,True,0,0,False,2020-08-01 17:59:11+00:00,0,True,92,True,14,5,active,,,2020-08-01 18:05:40,2020
82,93,True,0,2,False,2020-08-01 17:50:57+00:00,0,True,93,True,6,7,active,,,2020-08-01 18:05:40,2020
83,94,True,0,0,False,2020-08-01 17:55:20+00:00,0,True,94,True,11,0,active,,,2020-08-01 18:05:40,2020
84,95,True,0,1,False,2020-08-01 18:01:30+00:00,0,True,95,True,3,11,active,,,2020-08-01 18:05:40,2020
85,96,True,0,0,False,2020-08-01 18:04:38+00:00,0,True,96,True,1,18,active,,,2020-08-01 18:05:40,2020
86,97,True,0,0,False,2020-08-01 17:40:04+00:00,0,True,97,True,0,19,active,,,2020-08-01 18:05:40,2020
87,98,True,0,1,False,2020-08-01 17:51:10+00:00,0,True,98,True,8,13,active,,,2020-08-01 18:05:40,2020
88,99,True,0,1,False,2020-08-01 17:51:11+00:00,0,True,99,True,7,7,active,,,2020-08-01 18:05:40,2020
89,100,True,0,1,True,2020-08-01 18:03:18+00:00,0,True,100,True,5,19,active,,,2020-08-01 18:05:40,2020
90,101,True,0,0,False,2020-08-01 17:27:06+00:00,0,True,101,True,6,9,active,,,2020-08-01 18:05:40,2020
91,102,True,0,0,False,2020-08-01 17:50:46+00:00,0,True,102,True,13,2,active,,,2020-08-01 18:05:40,2020
92,103,True,0,1,False,2020-08-01 18:02:30+00:00,0,True,103,True,5,9,active,,,2020-08-01 18:05:40,2020
93,104,True,0,0,False,2020-08-01 17:58:37+00:00,0,True,104,True,16,3,active,,,2020-08-01 18:05:40,2020
94,105,True,0,0,False,2020-08-01 18:02:23+00:00,0,True,105,True,14,5,active,,,2020-08-01 18:05:40,2020
95,106,True,0,1,False,2020-08-01 17:24:27+00:00,0,True,106,True,3,11,active,,,2020-08-01 18:05:40,2020
