,last_reported,num_bikes_available,station_id,is_installed,is_renting,num_ebikes_available,num_docks_available,legacy_id,eightd_has_available_keys,station_status,is_returning,num_bikes_disabled,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
84,2020-07-29 00:52:42+00:00,6,95,True,True,0,7,95,False,active,True,2,0,,,2020-07-29 00:57:25,2020
85,2020-07-29 00:47:14+00:00,4,96,True,True,0,15,96,False,active,True,0,0,,,2020-07-29 00:57:25,2020
86,2020-07-29 00:54:40+00:00,8,97,True,True,0,11,97,False,active,True,0,0,,,2020-07-29 00:57:25,2020
87,2020-07-29 00:24:47+00:00,21,98,True,True,0,1,98,False,active,True,0,0,,,2020-07-29 00:57:25,2020
88,2020-07-28 23:59:21+00:00,11,99,True,True,0,4,99,False,active,True,0,0,,,2020-07-29 00:57:25,2020
89,2020-07-29 00:56:20+00:00,21,100,True,True,0,2,100,True,active,True,2,0,,,2020-07-29 00:57:25,2020
90,2020-07-28 23:46:49+00:00,1,101,True,True,0,14,101,False,active,True,0,0,,,2020-07-29 00:57:25,2020
91,2020-07-29 00:25:44+00:00,2,102,True,True,0,13,102,False,active,True,0,0,,,2020-07-29 00:57:25,2020
92,2020-07-29 00:02:07+00:00,3,103,True,True,0,12,103,False,active,True,0,0,,,2020-07-29 00:57:25,2020
93,2020-07-29 00:44:48+00:00,9,104,True,True,0,9,104,False,active,True,1,0,,,2020-07-29 00:57:25,2020
94,2020-07-29 00:50:17+00:00,14,105,True,True,0,4,105,False,active,True,1,0,,,2020-07-29 00:57:25,2020
95,2020-07-29 00:45:59+00:00,11,106,True,True,0,4,106,False,active,True,0,0,,,2020-07-29 00:57:25,2020
96,2020-07-29 00:55:41+00:00,4,107,True,True,0,14,107,False,active,True,1,0,,,2020-07-29 00:57:25,2020
97,2020-07-29 00:39:16+00:00,13,108,True,True,0,4,108,False,active,True,0,0,,,2020-07-29 00:57:25,2020
98,2020-07-28 21:11:31+00:00,22,109,True,True,0,11,109,False,active,True,2,0,,,2020-07-29 00:57:25,2020
99,2020-07-29 00:51:06+00:00,0,110,True,True,0,15,110,False,active,True,0,0,,,2020-07-29 00:57:25,2020
100,2020-07-29 00:54:38+00:00,3,111,True,True,0,11,111,False,active,True,1,0,,,2020-07-29 00:57:25,2020
101,2020-07-29 00:47:50+00:00,7,112,True,True,0,8,112,False,active,True,0,0,,,2020-07-29 00:57:25,2020
102,2020-07-29 00:56:01+00:00,6,113,True,True,0,9,113,False,active,True,0,0,,,2020-07-29 00:57:25,2020
103,2020-07-29 00:32:12+00:00,3,114,True,True,0,12,114,False,active,True,0,0,,,2020-07-29 00:57:25,2020
104,2020-07-29 00:21:59+00:00,8,115,True,True,0,11,115,False,active,True,0,0,,,2020-07-29 00:57:25,2020
105,2020-07-29 00:32:44+00:00,16,116,True,True,0,7,116,False,active,True,0,0,,,2020-07-29 00:57:25,2020
106,2020-07-29 00:49:47+00:00,17,117,True,True,0,2,117,False,active,True,0,0,,,2020-07-29 00:57:25,2020
107,2020-07-29 00:46:38+00:00,14,118,True,True,0,5,118,False,active,True,0,0,,,2020-07-29 00:57:25,2020
108,2020-07-29 00:37:48+00:00,11,119,True,True,0,4,119,False,active,True,0,0,,,2020-07-29 00:57:25,2020
109,2020-07-29 00:49:27+00:00,7,120,True,True,0,7,120,False,active,True,1,0,,,2020-07-29 00:57:25,2020
110,2020-07-29 00:51:17+00:00,14,121,True,True,0,3,121,False,active,True,0,0,,,2020-07-29 00:57:25,2020
111,2020-07-29 00:54:13+00:00,6,122,True,True,0,9,122,False,active,True,0,0,,,2020-07-29 00:57:25,2020
112,2020-07-28 22:29:08+00:00,2,124,True,True,0,12,124,False,active,True,1,0,,,2020-07-29 00:57:25,2020
113,2020-07-29 00:42:22+00:00,2,125,True,True,0,13,125,False,active,True,0,0,,,2020-07-29 00:57:25,2020
114,2020-07-28 22:42:29+00:00,2,126,True,True,0,13,126,False,active,True,0,0,,,2020-07-29 00:57:25,2020
115,2020-07-29 00:50:59+00:00,14,128,True,True,0,4,128,False,active,True,1,0,,,2020-07-29 00:57:25,2020
116,2020-07-28 23:20:13+00:00,9,129,True,True,0,10,129,False,active,True,0,0,,,2020-07-29 00:57:25,2020
117,2020-07-28 22:45:44+00:00,7,130,True,True,0,8,130,False,active,True,0,0,,,2020-07-29 00:57:25,2020
118,2020-07-29 00:54:05+00:00,15,131,True,True,0,2,131,False,active,True,1,0,,,2020-07-29 00:57:25,2020
119,2020-07-29 00:51:07+00:00,15,133,True,True,0,7,133,False,active,True,1,0,,,2020-07-29 00:57:25,2020
120,2020-07-29 00:11:50+00:00,7,135,True,True,0,9,135,False,active,True,1,0,,,2020-07-29 00:57:25,2020
121,2020-07-28 23:29:36+00:00,11,136,True,True,0,6,136,False,active,True,2,0,,,2020-07-29 00:57:25,2020
122,2020-07-29 00:54:51+00:00,3,137,True,True,0,12,137,False,active,True,0,0,,,2020-07-29 00:57:25,2020
123,2020-07-28 23:26:35+00:00,7,138,True,True,0,7,138,False,active,True,1,0,,,2020-07-29 00:57:25,2020
124,2020-07-29 00:51:58+00:00,7,139,True,True,0,11,139,False,active,True,1,0,,,2020-07-29 00:57:25,2020
125,2020-07-29 00:46:59+00:00,6,140,True,True,0,10,140,False,active,True,1,0,,,2020-07-29 00:57:25,2020
126,2020-07-29 00:12:52+00:00,3,141,True,True,0,11,141,False,active,True,1,0,,,2020-07-29 00:57:25,2020
127,2020-07-29 00:39:21+00:00,20,142,True,True,0,3,142,False,active,True,0,0,,,2020-07-29 00:57:25,2020
128,2020-07-29 00:43:59+00:00,3,143,True,True,0,18,143,False,active,True,2,0,,,2020-07-29 00:57:25,2020
129,2020-07-29 00:16:00+00:00,11,144,True,True,0,8,144,False,active,True,0,0,,,2020-07-29 00:57:25,2020
130,2020-07-29 00:54:02+00:00,11,145,True,True,0,8,145,False,active,True,0,0,,,2020-07-29 00:57:25,2020
131,2020-07-29 00:43:41+00:00,10,146,True,True,0,6,146,False,active,True,3,0,,,2020-07-29 00:57:25,2020
132,2020-07-29 00:47:16+00:00,7,149,True,True,0,11,149,True,active,True,0,0,,,2020-07-29 00:57:25,2020
133,2020-07-29 00:44:02+00:00,14,150,True,True,0,5,150,False,active,True,0,0,,,2020-07-29 00:57:25,2020
134,2020-07-29 00:56:18+00:00,5,151,True,True,0,13,151,False,active,True,1,0,,,2020-07-29 00:57:25,2020
135,2020-07-28 23:21:41+00:00,11,152,True,True,0,4,152,True,active,True,0,0,,,2020-07-29 00:57:25,2020
136,2020-07-29 00:55:48+00:00,9,156,True,True,0,6,156,False,active,True,0,0,,,2020-07-29 00:57:25,2020
137,2020-07-29 00:56:25+00:00,7,157,True,True,0,4,157,False,active,True,4,0,,,2020-07-29 00:57:25,2020
138,2020-07-29 00:45:50+00:00,10,159,True,True,0,4,159,False,active,True,1,0,,,2020-07-29 00:57:25,2020
139,2020-07-29 00:42:27+00:00,0,160,True,True,0,13,160,True,active,True,1,0,,,2020-07-29 00:57:25,2020
140,2020-07-29 00:23:54+00:00,21,161,True,True,0,0,161,True,active,True,2,0,,,2020-07-29 00:57:25,2020
141,2020-07-29 00:09:19+00:00,5,162,True,True,0,10,162,False,active,True,0,0,,,2020-07-29 00:57:25,2020
142,2020-07-29 00:44:52+00:00,5,163,True,True,0,14,163,True,active,True,0,0,,,2020-07-29 00:57:25,2020
143,2020-07-29 00:18:48+00:00,8,167,True,True,0,5,167,False,active,True,2,0,,,2020-07-29 00:57:25,2020
144,2020-07-28 22:52:46+00:00,10,169,True,True,0,8,169,False,active,True,1,0,,,2020-07-29 00:57:25,2020
145,2020-07-28 21:32:52+00:00,2,170,True,True,0,12,170,True,active,True,0,0,,,2020-07-29 00:57:25,2020
146,2020-07-29 00:03:13+00:00,7,171,True,True,0,15,171,True,active,True,1,0,,,2020-07-29 00:57:25,2020
147,2020-07-29 00:33:50+00:00,6,173,True,True,0,8,173,True,active,True,0,0,,,2020-07-29 00:57:25,2020
148,2020-07-29 00:34:14+00:00,6,174,True,True,0,9,174,False,active,True,0,0,,,2020-07-29 00:57:25,2020
149,2020-07-29 00:26:15+00:00,6,175,True,True,0,11,175,True,active,True,0,0,,,2020-07-29 00:57:25,2020
150,2020-07-29 00:53:34+00:00,14,176,True,True,0,1,176,False,active,True,0,0,,,2020-07-29 00:57:25,2020
151,2020-07-29 00:51:14+00:00,7,177,True,True,0,12,177,False,active,True,0,0,,,2020-07-29 00:57:25,2020
152,2020-07-29 00:46:43+00:00,5,178,True,True,0,13,178,False,active,True,1,0,,,2020-07-29 00:57:25,2020
153,2020-07-29 00:44:54+00:00,9,179,True,True,0,16,179,False,active,True,0,0,,,2020-07-29 00:57:25,2020
154,2020-07-29 00:54:00+00:00,4,180,True,True,0,15,180,False,active,True,0,0,,,2020-07-29 00:57:25,2020
155,2020-07-29 00:32:11+00:00,8,181,True,True,0,11,181,False,active,True,0,0,,,2020-07-29 00:57:25,2020
156,2020-07-28 23:59:15+00:00,7,182,True,True,0,12,182,True,active,True,0,0,,,2020-07-29 00:57:25,2020
157,2020-07-29 00:49:10+00:00,5,183,True,True,0,14,183,False,active,True,0,0,,,2020-07-29 00:57:25,2020
158,2020-07-29 00:51:03+00:00,2,184,True,True,0,17,184,False,active,True,0,0,,,2020-07-29 00:57:25,2020
159,2020-07-29 00:29:52+00:00,2,185,True,True,0,13,185,False,active,True,0,0,,,2020-07-29 00:57:25,2020
160,2020-07-29 00:56:30+00:00,10,186,True,True,0,5,186,True,active,True,0,0,,,2020-07-29 00:57:25,2020
161,2020-07-29 00:37:51+00:00,8,187,True,True,0,7,187,False,active,True,0,0,,,2020-07-29 00:57:25,2020
162,2020-07-29 00:16:02+00:00,10,188,True,True,0,5,188,False,active,True,0,0,,,2020-07-29 00:57:25,2020
163,2020-07-29 00:56:10+00:00,5,189,True,True,0,17,189,True,active,True,1,0,,,2020-07-29 00:57:25,2020
164,2020-07-29 00:31:32+00:00,22,190,True,True,0,14,190,True,active,True,1,0,,,2020-07-29 00:57:25,2020
165,2020-07-28 22:58:09+00:00,3,191,True,True,0,12,191,False,active,True,0,0,,,2020-07-29 00:57:25,2020
166,2020-07-29 00:49:56+00:00,2,192,True,True,0,17,192,False,active,True,0,0,,,2020-07-29 00:57:25,2020
167,2020-07-28 21:39:38+00:00,15,193,True,True,0,0,193,True,active,True,0,0,,,2020-07-29 00:57:25,2020
168,2020-07-28 21:52:10+00:00,12,194,True,True,0,7,194,False,active,True,0,0,,,2020-07-29 00:57:25,2020
169,2020-07-29 00:47:16+00:00,11,195,True,True,0,11,195,False,active,True,1,0,,,2020-07-29 00:57:25,2020
170,2020-07-28 21:39:44+00:00,0,196,True,True,0,10,196,True,active,True,0,0,,,2020-07-29 00:57:25,2020
171,2020-07-29 00:49:32+00:00,0,197,True,True,0,15,197,False,active,True,0,0,,,2020-07-29 00:57:25,2020
172,2020-07-29 00:10:42+00:00,5,199,True,True,0,10,199,False,active,True,0,0,,,2020-07-29 00:57:25,2020
173,2020-07-29 00:18:17+00:00,16,200,True,True,0,3,200,False,active,True,0,0,,,2020-07-29 00:57:25,2020
174,2020-07-28 18:49:12+00:00,1,201,True,True,0,14,201,False,active,True,0,0,,,2020-07-29 00:57:25,2020
175,2020-07-28 23:36:31+00:00,2,202,True,True,0,12,202,False,active,True,1,0,,,2020-07-29 00:57:25,2020
176,2020-07-28 08:58:21+00:00,2,203,True,True,0,13,203,False,active,True,0,0,,,2020-07-29 00:57:25,2020
177,2020-07-28 23:39:08+00:00,1,204,True,True,0,14,204,False,active,True,0,0,,,2020-07-29 00:57:25,2020
178,2020-07-29 00:47:17+00:00,4,205,True,True,0,10,205,False,active,True,1,0,,,2020-07-29 00:57:25,2020
179,2020-07-29 00:38:37+00:00,6,206,True,True,0,17,206,False,active,True,0,0,,,2020-07-29 00:57:25,2020
180,2020-07-29 00:15:29+00:00,14,208,True,True,0,1,208,True,active,True,0,0,,,2020-07-29 00:57:25,2020
181,2020-07-29 00:27:30+00:00,14,209,True,True,0,0,209,False,active,True,1,0,,,2020-07-29 00:57:25,2020
182,2020-07-28 13:53:23+00:00,0,210,True,True,0,15,210,False,active,True,0,0,,,2020-07-29 00:57:25,2020
183,2020-07-29 00:32:14+00:00,14,211,True,True,0,4,211,False,active,True,1,0,,,2020-07-29 00:57:25,2020
184,2020-07-29 00:40:49+00:00,6,212,True,True,0,27,212,False,active,True,0,0,,,2020-07-29 00:57:25,2020
185,2020-07-28 22:22:34+00:00,8,213,True,True,0,8,213,True,active,True,0,0,,,2020-07-29 00:57:25,2020
186,2020-07-29 00:48:19+00:00,9,214,True,True,0,6,214,False,active,True,0,0,,,2020-07-29 00:57:25,2020
187,2020-07-28 23:38:00+00:00,14,215,True,True,0,0,215,False,active,True,1,0,,,2020-07-29 00:57:25,2020
188,2020-07-28 12:48:44+00:00,15,216,True,True,0,3,216,False,active,True,1,0,,,2020-07-29 00:57:25,2020
189,2020-07-29 00:56:02+00:00,4,217,True,True,0,15,217,False,active,True,0,0,,,2020-07-29 00:57:25,2020
190,2020-07-29 00:57:13+00:00,5,218,True,True,0,10,218,False,active,True,0,0,,,2020-07-29 00:57:25,2020
191,2020-07-29 00:46:07+00:00,9,219,True,True,0,6,219,False,active,True,0,0,,,2020-07-29 00:57:25,2020
192,2020-07-29 00:56:12+00:00,3,221,True,True,0,15,221,False,active,True,1,0,,,2020-07-29 00:57:25,2020
193,2020-07-29 00:24:30+00:00,4,222,True,True,0,10,222,True,active,True,0,0,,,2020-07-29 00:57:25,2020
194,2020-07-29 00:34:11+00:00,8,224,True,True,0,9,224,False,active,True,0,0,,,2020-07-29 00:57:25,2020
195,2020-07-29 00:33:45+00:00,17,225,True,True,0,0,225,False,active,True,2,0,,,2020-07-29 00:57:25,2020
196,2020-07-29 00:53:52+00:00,5,226,True,True,0,10,226,False,active,True,0,0,,,2020-07-29 00:57:25,2020
197,2020-07-29 00:54:29+00:00,7,227,True,True,0,11,227,False,active,True,1,0,,,2020-07-29 00:57:25,2020
198,2020-07-29 00:01:07+00:00,0,228,True,True,0,19,228,False,active,True,0,0,,,2020-07-29 00:57:25,2020
199,2020-07-29 00:33:46+00:00,6,232,True,True,0,5,232,False,active,True,0,0,,,2020-07-29 00:57:25,2020
200,2020-07-29 00:32:43+00:00,12,233,True,True,0,3,233,False,active,True,0,0,,,2020-07-29 00:57:25,2020
201,2020-07-29 00:12:35+00:00,5,234,True,True,0,10,234,False,active,True,0,0,,,2020-07-29 00:57:25,2020
202,2020-07-29 00:41:19+00:00,13,235,True,True,0,2,235,False,active,True,0,0,,,2020-07-29 00:57:25,2020
203,2020-07-29 00:29:07+00:00,9,236,True,True,0,6,236,False,active,True,0,0,,,2020-07-29 00:57:25,2020
204,2020-07-29 00:47:39+00:00,6,239,True,True,0,9,239,False,active,True,0,0,,,2020-07-29 00:57:25,2020
205,2020-07-29 00:45:45+00:00,10,255,True,True,0,5,255,False,active,True,0,0,,,2020-07-29 00:57:25,2020
206,2020-07-29 00:27:01+00:00,7,258,True,True,0,8,258,False,active,True,0,0,,,2020-07-29 00:57:25,2020
207,2020-07-28 22:00:07+00:00,1,259,True,True,0,13,259,False,active,True,1,0,,,2020-07-29 00:57:25,2020
208,2020-07-28 17:40:18+00:00,13,260,True,False,0,2,260,False,active,False,0,0,,,2020-07-29 00:57:25,2020
209,2020-07-29 00:09:08+00:00,4,271,True,True,0,10,271,False,active,True,1,0,,,2020-07-29 00:57:25,2020
210,2020-07-29 00:49:12+00:00,13,272,True,True,0,6,272,False,active,True,0,0,,,2020-07-29 00:57:25,2020
211,2020-07-29 00:50:18+00:00,24,273,True,True,0,15,273,False,active,True,1,0,,,2020-07-29 00:57:25,2020
212,2020-07-29 00:52:14+00:00,8,279,True,True,0,11,279,False,active,True,0,0,,,2020-07-29 00:57:25,2020
213,2020-07-29 00:16:38+00:00,11,280,True,True,0,8,280,False,active,True,0,0,,,2020-07-29 00:57:25,2020
214,2020-07-29 00:46:55+00:00,12,282,True,True,0,3,282,False,active,True,0,0,,,2020-07-29 00:57:25,2020
215,2020-07-29 00:24:12+00:00,6,296,True,True,0,17,296,False,active,True,0,0,,,2020-07-29 00:57:25,2020
216,2020-07-29 00:36:51+00:00,4,318,True,True,0,14,318,False,active,True,1,0,,,2020-07-29 00:57:25,2020
