,last_reported,legacy_id,num_bikes_available,station_status,is_installed,eightd_has_available_keys,is_returning,num_docks_disabled,station_id,num_bikes_disabled,is_renting,num_docks_available,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
104,2020-07-31 19:06:46+00:00,115,8,active,True,False,True,0,115,1,True,10,0,,,2020-07-31 19:27:25,2020
105,2020-07-31 18:49:22+00:00,116,6,active,True,False,True,0,116,0,True,17,0,,,2020-07-31 19:27:25,2020
106,2020-07-31 19:02:17+00:00,117,16,active,True,False,True,0,117,1,True,2,0,,,2020-07-31 19:27:25,2020
107,2020-07-31 19:10:00+00:00,118,8,active,True,False,True,0,118,1,True,10,0,,,2020-07-31 19:27:25,2020
108,2020-07-31 19:26:20+00:00,119,9,active,True,False,True,0,119,1,True,5,0,,,2020-07-31 19:27:25,2020
109,2020-07-31 19:07:12+00:00,120,0,active,True,False,True,0,120,1,True,14,0,,,2020-07-31 19:27:25,2020
110,2020-07-31 19:21:07+00:00,121,6,active,True,False,True,0,121,0,True,11,0,,,2020-07-31 19:27:25,2020
111,2020-07-31 19:25:40+00:00,122,7,active,True,False,True,0,122,0,True,8,0,,,2020-07-31 19:27:25,2020
112,2020-07-31 18:32:13+00:00,124,6,active,True,False,True,0,124,0,True,9,0,,,2020-07-31 19:27:25,2020
113,2020-07-31 19:25:43+00:00,125,2,active,True,False,True,0,125,0,True,13,0,,,2020-07-31 19:27:25,2020
114,2020-07-31 16:33:45+00:00,126,8,active,True,False,True,0,126,0,True,7,0,,,2020-07-31 19:27:25,2020
115,2020-07-31 19:04:14+00:00,128,11,active,True,False,True,0,128,0,True,8,0,,,2020-07-31 19:27:25,2020
116,2020-07-31 15:43:47+00:00,129,9,active,True,False,True,0,129,0,True,10,0,,,2020-07-31 19:27:25,2020
117,2020-07-31 18:38:38+00:00,130,12,active,True,False,True,0,130,0,True,3,0,,,2020-07-31 19:27:25,2020
118,2020-07-31 19:15:24+00:00,131,5,active,True,False,True,0,131,3,True,10,0,,,2020-07-31 19:27:25,2020
119,2020-07-31 18:19:00+00:00,133,9,active,True,False,True,0,133,0,True,14,0,,,2020-07-31 19:27:25,2020
120,2020-07-31 18:48:55+00:00,135,5,active,True,False,True,0,135,0,True,12,0,,,2020-07-31 19:27:25,2020
121,2020-07-31 18:41:04+00:00,136,14,active,True,False,True,0,136,0,True,5,0,,,2020-07-31 19:27:25,2020
122,2020-07-31 18:41:08+00:00,137,4,active,True,False,True,0,137,0,True,11,0,,,2020-07-31 19:27:25,2020
123,2020-07-31 19:15:02+00:00,138,12,active,True,False,True,0,138,0,True,3,0,,,2020-07-31 19:27:25,2020
124,2020-07-31 19:08:52+00:00,139,3,active,True,False,True,0,139,0,True,16,0,,,2020-07-31 19:27:25,2020
125,2020-07-31 19:06:02+00:00,140,8,active,True,False,True,0,140,0,True,9,0,,,2020-07-31 19:27:25,2020
126,2020-07-31 19:10:46+00:00,141,3,active,True,False,True,0,141,0,True,12,0,,,2020-07-31 19:27:25,2020
127,2020-07-31 18:57:46+00:00,142,17,active,True,False,True,0,142,1,True,5,0,,,2020-07-31 19:27:25,2020
128,2020-07-31 19:22:21+00:00,143,10,active,True,False,True,0,143,2,True,11,0,,,2020-07-31 19:27:25,2020
129,2020-07-31 18:56:25+00:00,144,3,active,True,False,True,0,144,0,True,16,0,,,2020-07-31 19:27:25,2020
130,2020-07-31 19:21:11+00:00,145,7,active,True,False,True,0,145,0,True,12,0,,,2020-07-31 19:27:25,2020
131,2020-07-31 19:21:19+00:00,146,18,active,True,False,True,0,146,0,True,1,0,,,2020-07-31 19:27:25,2020
132,2020-07-31 18:56:35+00:00,149,1,active,True,True,True,0,149,0,True,17,0,,,2020-07-31 19:27:25,2020
133,2020-07-31 19:22:00+00:00,150,15,active,True,False,True,0,150,1,True,3,0,,,2020-07-31 19:27:25,2020
134,2020-07-31 19:25:09+00:00,151,12,active,True,False,True,0,151,2,True,5,0,,,2020-07-31 19:27:25,2020
135,2020-07-31 18:23:48+00:00,152,9,active,True,True,True,0,152,0,True,6,0,,,2020-07-31 19:27:25,2020
136,2020-07-31 19:24:00+00:00,156,0,active,True,False,True,0,156,0,True,15,0,,,2020-07-31 19:27:25,2020
137,2020-07-31 19:18:41+00:00,157,9,active,True,False,True,0,157,1,True,5,0,,,2020-07-31 19:27:25,2020
138,2020-07-31 14:28:50+00:00,159,0,active,True,False,True,0,159,1,True,14,0,,,2020-07-31 19:27:25,2020
139,2020-07-31 18:49:18+00:00,160,10,active,True,True,True,0,160,0,True,4,0,,,2020-07-31 19:27:25,2020
140,2020-07-31 19:13:31+00:00,161,16,active,True,True,True,0,161,0,True,7,0,,,2020-07-31 19:27:25,2020
141,2020-07-31 17:49:50+00:00,162,4,active,True,False,True,0,162,0,True,11,0,,,2020-07-31 19:27:25,2020
142,2020-07-31 18:58:06+00:00,163,7,active,True,True,True,0,163,0,True,12,0,,,2020-07-31 19:27:25,2020
143,2020-07-31 19:21:52+00:00,167,12,active,True,False,True,0,167,1,True,2,0,,,2020-07-31 19:27:25,2020
144,2020-07-31 19:23:03+00:00,169,7,active,True,False,True,0,169,0,True,12,0,,,2020-07-31 19:27:25,2020
145,2020-07-31 16:09:04+00:00,170,4,active,True,True,True,0,170,0,True,10,0,,,2020-07-31 19:27:25,2020
146,2020-07-31 13:05:11+00:00,171,6,active,True,True,True,0,171,0,True,17,0,,,2020-07-31 19:27:25,2020
147,2020-07-31 19:01:18+00:00,173,6,active,True,True,True,0,173,2,True,6,0,,,2020-07-31 19:27:25,2020
148,2020-07-31 17:21:46+00:00,174,12,active,True,False,True,0,174,0,True,3,0,,,2020-07-31 19:27:25,2020
149,2020-07-31 19:23:34+00:00,175,9,active,True,True,True,0,175,0,True,8,0,,,2020-07-31 19:27:25,2020
150,2020-07-31 18:59:13+00:00,176,6,active,True,False,True,0,176,0,True,9,0,,,2020-07-31 19:27:25,2020
151,2020-07-31 19:09:10+00:00,177,11,active,True,False,True,0,177,0,True,8,0,,,2020-07-31 19:27:25,2020
152,2020-07-31 19:25:04+00:00,178,9,active,True,False,True,0,178,0,True,10,0,,,2020-07-31 19:27:25,2020
153,2020-07-31 19:23:27+00:00,179,10,active,True,False,True,0,179,1,True,14,0,,,2020-07-31 19:27:25,2020
154,2020-07-31 19:10:54+00:00,180,13,active,True,False,True,0,180,0,True,6,0,,,2020-07-31 19:27:25,2020
155,2020-07-31 17:21:58+00:00,181,6,active,True,False,True,0,181,1,True,12,0,,,2020-07-31 19:27:25,2020
156,2020-07-31 15:42:27+00:00,182,7,active,True,True,True,0,182,1,True,11,0,,,2020-07-31 19:27:25,2020
157,2020-07-31 19:18:22+00:00,183,4,active,True,False,True,0,183,0,True,15,0,,,2020-07-31 19:27:25,2020
158,2020-07-31 19:24:18+00:00,184,15,active,True,False,True,0,184,1,True,3,0,,,2020-07-31 19:27:25,2020
159,2020-07-31 19:22:43+00:00,185,0,active,True,False,True,0,185,0,True,15,0,,,2020-07-31 19:27:25,2020
160,2020-07-31 19:22:35+00:00,186,11,active,True,True,True,0,186,0,True,4,0,,,2020-07-31 19:27:25,2020
161,2020-07-31 18:07:29+00:00,187,10,active,True,False,True,0,187,0,True,5,0,,,2020-07-31 19:27:25,2020
162,2020-07-31 19:06:47+00:00,188,7,active,True,False,True,0,188,0,True,8,0,,,2020-07-31 19:27:25,2020
163,2020-07-31 19:18:41+00:00,189,9,active,True,True,True,0,189,0,True,14,0,,,2020-07-31 19:27:25,2020
164,2020-07-31 19:10:25+00:00,190,18,active,True,True,True,0,190,3,True,16,0,,,2020-07-31 19:27:25,2020
165,2020-07-31 19:21:24+00:00,191,4,active,True,False,True,0,191,0,True,11,0,,,2020-07-31 19:27:25,2020
166,2020-07-31 18:44:29+00:00,192,12,active,True,False,True,0,192,2,True,5,0,,,2020-07-31 19:27:25,2020
167,2020-07-31 17:48:46+00:00,193,7,active,True,True,True,0,193,0,True,8,0,,,2020-07-31 19:27:25,2020
168,2020-07-31 18:40:59+00:00,194,15,active,True,False,True,0,194,0,True,4,0,,,2020-07-31 19:27:25,2020
