,num_docks_available,num_bikes_available,last_reported,num_ebikes_available,eightd_has_available_keys,station_status,is_installed,num_bikes_disabled,station_id,num_docks_disabled,is_renting,legacy_id,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
18,39,8,2020-08-04 18:26:12+00:00,0,True,active,True,0,22,0,True,22,True,,,2020-08-04 18:33:55,2020
19,5,15,2020-08-04 18:27:33+00:00,0,True,active,True,1,23,0,True,23,True,,,2020-08-04 18:33:55,2020
20,14,4,2020-08-04 18:27:56+00:00,0,False,active,True,1,24,0,True,24,True,,,2020-08-04 18:33:55,2020
21,13,2,2020-08-04 18:32:05+00:00,0,False,active,True,0,25,0,True,25,True,,,2020-08-04 18:33:55,2020
22,13,1,2020-08-04 17:15:25+00:00,0,False,active,True,1,26,0,True,26,True,,,2020-08-04 18:33:55,2020
23,15,8,2020-08-04 18:17:04+00:00,0,False,active,True,0,27,0,True,27,True,,,2020-08-04 18:33:55,2020
24,5,10,2020-08-04 18:25:00+00:00,0,False,active,True,0,29,0,True,29,True,,,2020-08-04 18:33:55,2020
25,8,4,2020-08-04 17:56:07+00:00,0,False,active,True,3,30,0,True,30,True,,,2020-08-04 18:33:55,2020
26,17,2,2020-08-04 16:51:30+00:00,0,True,active,True,0,31,0,True,31,True,,,2020-08-04 18:33:55,2020
27,11,4,2020-08-04 18:04:21+00:00,0,False,active,True,0,32,0,True,32,True,,,2020-08-04 18:33:55,2020
28,22,4,2020-08-04 18:04:10+00:00,0,False,active,True,1,33,0,True,33,True,,,2020-08-04 18:33:55,2020
29,6,17,2020-08-04 18:11:31+00:00,0,False,active,True,0,35,0,True,35,True,,,2020-08-04 18:33:55,2020
30,23,10,2020-08-04 18:32:33+00:00,0,True,active,True,0,36,0,True,36,True,,,2020-08-04 18:33:55,2020
31,7,8,2020-08-04 18:28:53+00:00,0,True,active,True,0,37,0,True,37,True,,,2020-08-04 18:33:55,2020
32,13,9,2020-08-04 18:26:04+00:00,0,False,active,True,1,39,0,True,39,True,,,2020-08-04 18:33:55,2020
33,10,6,2020-08-04 18:29:35+00:00,0,False,active,True,3,40,0,True,40,True,,,2020-08-04 18:33:55,2020
34,19,6,2020-08-04 18:32:43+00:00,0,True,active,True,2,41,0,True,41,True,,,2020-08-04 18:33:55,2020
35,9,13,2020-08-04 18:12:47+00:00,0,False,active,True,1,42,0,True,42,True,,,2020-08-04 18:33:55,2020
36,4,11,2020-08-04 18:17:48+00:00,0,True,active,True,0,43,0,True,43,True,,,2020-08-04 18:33:55,2020
37,9,13,2020-08-04 18:33:09+00:00,0,False,active,True,1,44,0,True,44,True,,,2020-08-04 18:33:55,2020
38,11,8,2020-08-04 18:32:06+00:00,0,False,active,True,0,46,0,True,46,True,,,2020-08-04 18:33:55,2020
39,10,9,2020-08-04 18:29:51+00:00,0,True,active,True,0,47,0,True,47,True,,,2020-08-04 18:33:55,2020
40,15,4,2020-08-04 17:54:08+00:00,0,False,active,True,0,48,0,True,48,True,,,2020-08-04 18:33:55,2020
41,11,6,2020-08-04 18:27:27+00:00,0,False,active,True,1,49,0,True,49,True,,,2020-08-04 18:33:55,2020
42,1,12,2020-08-04 18:29:48+00:00,0,True,active,True,2,50,0,True,50,True,,,2020-08-04 18:33:55,2020
43,7,7,2020-08-04 18:20:28+00:00,0,False,active,True,1,51,0,True,51,True,,,2020-08-04 18:33:55,2020
44,11,11,2020-08-04 18:27:39+00:00,0,True,active,True,1,52,0,True,52,True,,,2020-08-04 18:33:55,2020
45,16,3,2020-08-04 18:26:40+00:00,0,False,active,True,0,53,0,True,53,True,,,2020-08-04 18:33:55,2020
46,4,10,2020-08-04 18:32:51+00:00,0,False,active,True,1,54,0,True,54,True,,,2020-08-04 18:33:55,2020
47,6,9,2020-08-04 18:19:59+00:00,0,False,active,True,0,55,0,True,55,True,,,2020-08-04 18:33:55,2020
