,legacy_id,station_status,station_id,num_docks_available,num_bikes_available,is_renting,eightd_has_available_keys,last_reported,is_installed,num_docks_disabled,num_ebikes_available,num_bikes_disabled,is_returning,timestamp_of_data_read_request,year_station_last_reported
83,94,active,94,4,7,True,False,2020-08-12 01:02:57+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
84,95,active,95,13,1,True,False,2020-08-12 01:08:07+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
85,96,active,96,4,14,True,False,2020-08-12 01:11:21+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
86,97,active,97,4,15,True,False,2020-08-12 01:12:56+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
87,98,active,98,11,12,False,False,2020-08-11 17:39:33+00:00,True,0,0,0,False,2020-08-12 01:18:05,2020
88,99,active,99,7,8,True,False,2020-08-12 00:53:33+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
89,100,active,100,1,23,True,True,2020-08-12 01:14:53+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
90,101,active,101,6,9,True,False,2020-08-12 00:26:22+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
91,102,active,102,12,3,True,False,2020-08-12 01:16:46+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
92,103,active,103,7,8,True,False,2020-08-12 01:12:57+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
93,104,active,104,15,4,True,False,2020-08-11 23:11:35+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
94,105,active,105,5,13,True,False,2020-08-12 01:11:46+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
95,106,active,106,10,4,True,False,2020-08-12 00:06:04+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
96,107,active,107,9,10,True,False,2020-08-12 01:18:00+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
97,108,active,108,17,0,True,False,2020-08-12 00:55:47+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
98,109,active,109,26,9,True,False,2020-08-12 00:46:38+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
99,110,active,110,13,1,True,False,2020-08-12 00:56:38+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
100,111,active,111,7,8,True,False,2020-08-12 01:04:02+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
101,112,active,112,3,12,True,False,2020-08-11 23:55:35+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
102,113,active,113,7,8,True,False,2020-08-12 01:10:06+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
103,114,active,114,10,5,True,False,2020-08-12 00:31:02+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
104,115,active,115,0,18,True,False,2020-08-12 01:03:43+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
105,116,active,116,17,6,True,False,2020-08-12 01:17:58+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
106,117,active,117,9,10,True,False,2020-08-12 01:02:20+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
107,118,active,118,4,15,True,False,2020-08-12 00:44:08+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
108,119,active,119,5,9,True,False,2020-08-12 01:02:14+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
109,120,active,120,7,8,True,False,2020-08-12 01:08:43+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
110,121,active,121,9,8,True,False,2020-08-12 01:16:00+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
111,122,active,122,13,2,True,False,2020-08-12 00:48:24+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
112,124,active,124,8,7,True,False,2020-08-11 22:38:21+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
113,125,active,125,8,7,True,False,2020-08-12 00:27:53+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
114,126,active,126,10,5,True,False,2020-08-11 23:36:21+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
115,128,active,128,12,6,True,False,2020-08-12 00:43:13+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
116,129,active,129,7,12,True,False,2020-08-12 01:14:02+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
117,130,active,130,6,9,True,False,2020-08-12 00:52:01+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
118,131,active,131,4,14,True,False,2020-08-12 01:10:09+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
119,133,active,133,8,15,True,False,2020-08-12 00:46:20+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
120,135,active,135,12,5,True,False,2020-08-11 23:27:11+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
121,136,active,136,17,2,True,False,2020-08-12 00:50:09+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
122,137,active,137,6,9,True,False,2020-08-11 23:45:09+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
123,138,active,138,1,13,True,False,2020-08-12 00:35:21+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
124,139,active,139,6,13,True,False,2020-08-12 01:14:16+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
125,140,active,140,0,17,True,False,2020-08-12 01:16:00+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
126,141,active,141,5,10,True,False,2020-08-12 00:54:46+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
127,142,active,142,10,12,True,False,2020-08-11 23:51:08+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
128,143,active,143,7,15,True,False,2020-08-12 01:16:14+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
129,144,active,144,2,16,True,False,2020-08-12 01:08:03+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
130,145,active,145,1,18,True,False,2020-08-12 00:57:32+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
131,146,active,146,11,8,True,False,2020-08-12 01:12:38+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
132,149,active,149,2,16,True,True,2020-08-12 01:14:52+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
133,150,active,150,2,17,True,False,2020-08-12 01:15:30+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
134,151,active,151,16,3,True,False,2020-08-12 00:55:43+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
135,152,active,152,10,5,True,True,2020-08-12 00:59:42+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
136,156,active,156,12,3,True,False,2020-08-12 00:52:37+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
137,157,active,157,14,0,True,False,2020-08-12 00:47:59+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
