,num_docks_available,num_bikes_disabled,num_bikes_available,station_status,num_ebikes_available,num_docks_disabled,station_id,is_renting,is_returning,legacy_id,eightd_has_available_keys,last_reported,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
57,15,0,0,active,0,0,66,True,True,66,False,2020-08-21 18:41:02+00:00,True,,,2020-08-21 18:45:15,2020
58,17,0,10,active,0,0,67,True,True,67,True,2020-08-21 18:37:15+00:00,True,,,2020-08-21 18:45:15,2020
59,7,1,11,active,0,0,68,True,True,68,False,2020-08-21 18:43:41+00:00,True,,,2020-08-21 18:45:15,2020
60,14,0,5,active,0,0,69,True,True,69,True,2020-08-21 18:43:27+00:00,True,,,2020-08-21 18:45:15,2020
61,6,0,17,active,0,0,70,True,True,70,False,2020-08-21 18:09:17+00:00,True,,,2020-08-21 18:45:15,2020
62,9,2,12,active,0,0,71,True,True,71,False,2020-08-21 18:31:36+00:00,True,,,2020-08-21 18:45:15,2020
63,16,0,7,active,0,0,72,True,True,72,False,2020-08-21 18:36:46+00:00,True,,,2020-08-21 18:45:15,2020
64,1,0,14,active,0,0,73,True,True,73,False,2020-08-21 18:24:26+00:00,True,,,2020-08-21 18:45:15,2020
65,4,0,15,active,0,0,74,True,True,74,True,2020-08-21 18:32:19+00:00,True,,,2020-08-21 18:45:15,2020
66,14,0,1,active,0,0,75,True,True,75,False,2020-08-21 18:41:06+00:00,True,,,2020-08-21 18:45:15,2020
67,13,1,3,active,0,0,76,True,True,76,False,2020-08-21 18:44:20+00:00,True,,,2020-08-21 18:45:15,2020
68,12,0,3,active,0,0,77,True,True,77,False,2020-08-21 18:43:12+00:00,True,,,2020-08-21 18:45:15,2020
69,8,0,11,active,0,0,78,True,True,78,False,2020-08-21 18:28:52+00:00,True,,,2020-08-21 18:45:15,2020
70,15,1,3,active,0,0,79,True,True,79,False,2020-08-21 18:07:20+00:00,True,,,2020-08-21 18:45:15,2020
71,1,2,32,active,0,0,80,True,True,80,False,2020-08-21 18:34:31+00:00,True,,,2020-08-21 18:45:15,2020
72,12,0,7,active,0,0,81,True,True,81,False,2020-08-21 18:27:07+00:00,True,,,2020-08-21 18:45:15,2020
73,15,0,0,active,0,0,82,True,True,82,False,2020-08-21 18:08:31+00:00,True,,,2020-08-21 18:45:15,2020
74,5,0,10,active,0,0,84,True,True,84,False,2020-08-21 18:20:57+00:00,True,,,2020-08-21 18:45:15,2020
75,4,1,14,active,0,0,85,True,True,85,False,2020-08-21 18:12:15+00:00,True,,,2020-08-21 18:45:15,2020
76,2,0,17,active,0,0,86,True,True,86,False,2020-08-21 18:39:00+00:00,True,,,2020-08-21 18:45:15,2020
77,15,0,0,active,0,0,87,True,True,87,False,2020-08-21 18:36:33+00:00,True,,,2020-08-21 18:45:15,2020
78,11,0,8,active,0,0,89,True,True,89,False,2020-08-21 17:59:56+00:00,True,,,2020-08-21 18:45:15,2020
79,9,0,10,active,0,0,90,True,True,90,False,2020-08-21 18:34:17+00:00,True,,,2020-08-21 18:45:15,2020
80,1,1,17,active,0,0,91,True,True,91,False,2020-08-21 18:11:30+00:00,True,,,2020-08-21 18:45:15,2020
81,9,1,9,active,0,0,92,True,True,92,False,2020-08-21 17:30:03+00:00,True,,,2020-08-21 18:45:15,2020
82,12,0,3,active,0,0,93,True,True,93,False,2020-08-21 18:38:32+00:00,True,,,2020-08-21 18:45:15,2020
83,3,1,7,active,0,0,94,True,True,94,False,2020-08-21 18:14:36+00:00,True,,,2020-08-21 18:45:15,2020
84,5,1,9,active,0,0,95,True,True,95,False,2020-08-21 18:41:31+00:00,True,,,2020-08-21 18:45:15,2020
85,13,0,6,active,0,0,96,True,True,96,False,2020-08-21 17:48:57+00:00,True,,,2020-08-21 18:45:15,2020
86,17,0,2,active,0,0,97,True,True,97,False,2020-08-21 18:43:39+00:00,True,,,2020-08-21 18:45:15,2020
87,15,1,7,active,0,0,98,True,True,98,False,2020-08-21 18:37:04+00:00,True,,,2020-08-21 18:45:15,2020
88,1,0,14,active,0,0,99,True,True,99,False,2020-08-21 17:54:25+00:00,True,,,2020-08-21 18:45:15,2020
89,14,1,10,active,0,0,100,True,True,100,True,2020-08-21 18:12:09+00:00,True,,,2020-08-21 18:45:15,2020
90,11,0,4,active,0,0,101,True,True,101,False,2020-08-21 15:24:57+00:00,True,,,2020-08-21 18:45:15,2020
91,15,0,0,active,0,0,102,True,True,102,False,2020-08-21 18:30:04+00:00,True,,,2020-08-21 18:45:15,2020
92,6,0,9,active,0,0,103,True,True,103,False,2020-08-21 18:35:38+00:00,True,,,2020-08-21 18:45:15,2020
93,6,0,13,active,0,0,104,True,True,104,False,2020-08-21 17:49:23+00:00,True,,,2020-08-21 18:45:15,2020
94,12,0,7,active,0,0,105,True,True,105,False,2020-08-21 18:18:17+00:00,True,,,2020-08-21 18:45:15,2020
95,11,0,4,active,0,0,106,True,True,106,False,2020-08-21 18:08:54+00:00,True,,,2020-08-21 18:45:15,2020
96,2,0,17,active,0,0,107,True,True,107,False,2020-08-21 18:39:03+00:00,True,,,2020-08-21 18:45:15,2020
97,7,1,9,active,0,0,108,True,True,108,False,2020-08-21 18:36:03+00:00,True,,,2020-08-21 18:45:15,2020
98,33,0,2,active,0,0,109,True,True,109,False,2020-08-21 08:55:46+00:00,True,,,2020-08-21 18:45:15,2020
99,8,0,7,active,0,0,110,True,True,110,False,2020-08-21 18:27:27+00:00,True,,,2020-08-21 18:45:15,2020
100,8,0,7,active,0,0,111,True,True,111,False,2020-08-21 14:01:54+00:00,True,,,2020-08-21 18:45:15,2020
101,5,0,10,active,0,0,112,True,True,112,False,2020-08-21 18:40:23+00:00,True,,,2020-08-21 18:45:15,2020
102,7,2,6,active,0,0,113,True,True,113,False,2020-08-21 18:22:40+00:00,True,,,2020-08-21 18:45:15,2020
103,13,0,2,active,0,0,114,True,True,114,False,2020-08-21 16:38:16+00:00,True,,,2020-08-21 18:45:15,2020
104,12,0,7,active,0,0,115,True,True,115,False,2020-08-21 18:38:26+00:00,True,,,2020-08-21 18:45:15,2020
105,13,0,10,active,0,0,116,True,True,116,False,2020-08-21 18:32:34+00:00,True,,,2020-08-21 18:45:15,2020
106,13,0,6,active,0,0,117,True,True,117,False,2020-08-21 18:30:55+00:00,True,,,2020-08-21 18:45:15,2020
107,2,2,15,active,0,0,118,True,True,118,False,2020-08-21 17:55:27+00:00,True,,,2020-08-21 18:45:15,2020
108,10,0,5,active,0,0,119,True,True,119,False,2020-08-21 18:39:18+00:00,True,,,2020-08-21 18:45:15,2020
109,8,0,7,active,0,0,120,True,True,120,False,2020-08-21 18:42:19+00:00,True,,,2020-08-21 18:45:15,2020
110,14,0,3,active,0,0,121,True,True,121,False,2020-08-21 18:43:27+00:00,True,,,2020-08-21 18:45:15,2020
111,8,1,6,active,0,0,122,True,True,122,False,2020-08-21 18:44:30+00:00,True,,,2020-08-21 18:45:15,2020
112,13,0,2,active,0,0,124,True,True,124,False,2020-08-21 17:33:02+00:00,True,,,2020-08-21 18:45:15,2020
113,12,1,2,active,0,0,125,True,True,125,False,2020-08-21 18:04:02+00:00,True,,,2020-08-21 18:45:15,2020
114,3,1,11,active,0,0,126,True,True,126,False,2020-08-21 16:29:45+00:00,True,,,2020-08-21 18:45:15,2020
115,17,0,2,active,0,0,128,True,True,128,False,2020-08-21 18:22:17+00:00,True,,,2020-08-21 18:45:15,2020
116,17,0,2,active,0,0,129,True,True,129,False,2020-08-21 18:32:00+00:00,True,,,2020-08-21 18:45:15,2020
117,6,0,9,active,0,0,130,True,True,130,False,2020-08-21 18:43:42+00:00,True,,,2020-08-21 18:45:15,2020
118,10,1,7,active,0,0,131,True,True,131,False,2020-08-21 18:37:38+00:00,True,,,2020-08-21 18:45:15,2020
119,19,1,3,active,0,0,133,True,True,133,False,2020-08-21 18:24:13+00:00,True,,,2020-08-21 18:45:15,2020
120,14,0,3,active,0,0,135,True,True,135,False,2020-08-21 17:52:15+00:00,True,,,2020-08-21 18:45:15,2020
121,11,1,7,active,0,0,136,True,True,136,False,2020-08-21 17:43:29+00:00,True,,,2020-08-21 18:45:15,2020
122,10,0,5,active,0,0,137,True,True,137,False,2020-08-21 16:39:47+00:00,True,,,2020-08-21 18:45:15,2020
