,num_bikes_available,is_returning,num_ebikes_available,eightd_has_available_keys,last_reported,station_status,is_installed,legacy_id,station_id,num_docks_available,is_renting,num_bikes_disabled,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
89,13,True,0,True,2020-08-01 00:50:29+00:00,active,True,100,100,9,True,3,0,,,2020-08-01 00:54:00,2020
90,4,True,0,False,2020-08-01 00:29:21+00:00,active,True,101,101,11,True,0,0,,,2020-08-01 00:54:00,2020
91,11,True,0,False,2020-08-01 00:33:45+00:00,active,True,102,102,4,True,0,0,,,2020-08-01 00:54:00,2020
92,1,True,0,False,2020-08-01 00:36:31+00:00,active,True,103,103,13,True,1,0,,,2020-08-01 00:54:00,2020
93,19,True,0,False,2020-07-31 23:56:56+00:00,active,True,104,104,0,True,0,0,,,2020-08-01 00:54:00,2020
94,18,True,0,False,2020-08-01 00:45:41+00:00,active,True,105,105,1,True,0,0,,,2020-08-01 00:54:00,2020
95,5,True,0,False,2020-08-01 00:37:19+00:00,active,True,106,106,9,True,1,0,,,2020-08-01 00:54:00,2020
96,1,True,0,False,2020-08-01 00:52:30+00:00,active,True,107,107,18,True,0,0,,,2020-08-01 00:54:00,2020
97,9,True,0,False,2020-08-01 00:23:26+00:00,active,True,108,108,8,True,0,0,,,2020-08-01 00:54:00,2020
98,24,True,0,False,2020-08-01 00:13:19+00:00,active,True,109,109,9,True,2,0,,,2020-08-01 00:54:00,2020
99,7,True,0,False,2020-08-01 00:26:25+00:00,active,True,110,110,6,True,2,0,,,2020-08-01 00:54:00,2020
100,1,True,0,False,2020-07-31 23:04:28+00:00,active,True,111,111,14,True,0,0,,,2020-08-01 00:54:00,2020
101,5,True,0,False,2020-08-01 00:37:08+00:00,active,True,112,112,10,True,0,0,,,2020-08-01 00:54:00,2020
102,14,True,0,False,2020-08-01 00:24:27+00:00,active,True,113,113,0,True,1,0,,,2020-08-01 00:54:00,2020
103,1,True,0,False,2020-08-01 00:35:56+00:00,active,True,114,114,14,True,0,0,,,2020-08-01 00:54:00,2020
104,10,True,0,False,2020-08-01 00:49:17+00:00,active,True,115,115,8,True,1,0,,,2020-08-01 00:54:00,2020
105,11,True,0,False,2020-08-01 00:47:48+00:00,active,True,116,116,12,True,0,0,,,2020-08-01 00:54:00,2020
106,1,True,0,False,2020-08-01 00:00:35+00:00,active,True,117,117,17,True,1,0,,,2020-08-01 00:54:00,2020
107,15,True,0,False,2020-08-01 00:46:51+00:00,active,True,118,118,3,True,1,0,,,2020-08-01 00:54:00,2020
108,13,True,0,False,2020-08-01 00:49:44+00:00,active,True,119,119,1,True,1,0,,,2020-08-01 00:54:00,2020
109,11,True,0,False,2020-08-01 00:53:37+00:00,active,True,120,120,2,True,2,0,,,2020-08-01 00:54:00,2020
110,11,True,0,False,2020-08-01 00:45:35+00:00,active,True,121,121,6,True,0,0,,,2020-08-01 00:54:00,2020
111,14,True,0,False,2020-08-01 00:25:24+00:00,active,True,122,122,1,True,0,0,,,2020-08-01 00:54:00,2020
112,6,True,0,False,2020-08-01 00:23:31+00:00,active,True,124,124,9,True,0,0,,,2020-08-01 00:54:00,2020
113,7,True,0,False,2020-08-01 00:51:53+00:00,active,True,125,125,8,True,0,0,,,2020-08-01 00:54:00,2020
114,12,True,0,False,2020-08-01 00:16:08+00:00,active,True,126,126,3,True,0,0,,,2020-08-01 00:54:00,2020
115,11,True,0,False,2020-08-01 00:49:21+00:00,active,True,128,128,8,True,0,0,,,2020-08-01 00:54:00,2020
116,10,True,0,False,2020-08-01 00:51:41+00:00,active,True,129,129,9,True,0,0,,,2020-08-01 00:54:00,2020
117,12,True,0,False,2020-07-31 22:34:07+00:00,active,True,130,130,3,True,0,0,,,2020-08-01 00:54:00,2020
118,3,True,0,False,2020-08-01 00:41:52+00:00,active,True,131,131,11,True,4,0,,,2020-08-01 00:54:00,2020
119,10,True,0,False,2020-08-01 00:47:34+00:00,active,True,133,133,12,True,1,0,,,2020-08-01 00:54:00,2020
120,3,True,0,False,2020-07-31 23:18:05+00:00,active,True,135,135,14,True,0,0,,,2020-08-01 00:54:00,2020
121,19,True,0,False,2020-07-31 22:55:35+00:00,active,True,136,136,0,True,0,0,,,2020-08-01 00:54:00,2020
122,6,True,0,False,2020-07-31 23:09:02+00:00,active,True,137,137,9,True,0,0,,,2020-08-01 00:54:00,2020
123,12,True,0,False,2020-08-01 00:42:38+00:00,active,True,138,138,3,True,0,0,,,2020-08-01 00:54:00,2020
124,18,True,0,False,2020-08-01 00:52:02+00:00,active,True,139,139,1,True,0,0,,,2020-08-01 00:54:00,2020
125,6,True,0,False,2020-08-01 00:48:56+00:00,active,True,140,140,9,True,2,0,,,2020-08-01 00:54:00,2020
126,0,True,0,False,2020-07-31 23:59:55+00:00,active,True,141,141,15,True,0,0,,,2020-08-01 00:54:00,2020
127,13,True,0,False,2020-07-31 23:50:49+00:00,active,True,142,142,10,True,0,0,,,2020-08-01 00:54:00,2020
128,14,True,0,False,2020-08-01 00:47:07+00:00,active,True,143,143,8,True,1,0,,,2020-08-01 00:54:00,2020
129,4,True,0,False,2020-08-01 00:36:05+00:00,active,True,144,144,15,True,0,0,,,2020-08-01 00:54:00,2020
130,10,True,0,False,2020-08-01 00:19:58+00:00,active,True,145,145,9,True,0,0,,,2020-08-01 00:54:00,2020
131,14,True,0,False,2020-08-01 00:38:49+00:00,active,True,146,146,4,True,1,0,,,2020-08-01 00:54:00,2020
132,1,True,0,True,2020-08-01 00:50:46+00:00,active,True,149,149,17,True,0,0,,,2020-08-01 00:54:00,2020
133,11,True,0,False,2020-08-01 00:53:12+00:00,active,True,150,150,7,True,1,0,,,2020-08-01 00:54:00,2020
134,4,True,0,False,2020-07-31 23:21:53+00:00,active,True,151,151,13,True,2,0,,,2020-08-01 00:54:00,2020
