,is_installed,is_renting,is_returning,num_ebikes_available,num_bikes_available,num_bikes_disabled,station_id,station_status,num_docks_available,legacy_id,eightd_has_available_keys,last_reported,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
92,True,True,True,0,0,0,103,active,15,103,False,2020-07-29 17:11:17+00:00,0,,,2020-07-29 17:33:50,2020
93,True,True,True,0,8,1,104,active,10,104,False,2020-07-29 17:01:50+00:00,0,,,2020-07-29 17:33:50,2020
94,True,True,True,0,10,2,105,active,7,105,False,2020-07-29 17:24:56+00:00,0,,,2020-07-29 17:33:50,2020
95,True,True,True,0,11,0,106,active,4,106,False,2020-07-29 12:13:40+00:00,0,,,2020-07-29 17:33:50,2020
96,True,True,True,0,8,1,107,active,10,107,False,2020-07-29 17:33:37+00:00,0,,,2020-07-29 17:33:50,2020
97,True,True,True,0,17,0,108,active,0,108,False,2020-07-29 17:26:47+00:00,0,,,2020-07-29 17:33:50,2020
98,True,True,True,0,19,2,109,active,14,109,False,2020-07-29 16:13:59+00:00,0,,,2020-07-29 17:33:50,2020
99,True,True,True,0,5,0,110,active,10,110,False,2020-07-29 17:27:00+00:00,0,,,2020-07-29 17:33:50,2020
100,True,True,True,0,0,0,111,active,15,111,False,2020-07-29 15:28:41+00:00,0,,,2020-07-29 17:33:50,2020
101,True,True,True,0,8,0,112,active,7,112,False,2020-07-29 17:21:20+00:00,0,,,2020-07-29 17:33:50,2020
102,True,True,True,0,2,0,113,active,13,113,False,2020-07-29 14:34:19+00:00,0,,,2020-07-29 17:33:50,2020
103,True,True,True,0,2,0,114,active,13,114,False,2020-07-29 17:10:42+00:00,0,,,2020-07-29 17:33:50,2020
104,True,True,True,0,11,1,115,active,7,115,False,2020-07-29 17:33:22+00:00,0,,,2020-07-29 17:33:50,2020
105,True,True,True,0,9,0,116,active,14,116,False,2020-07-29 17:14:49+00:00,0,,,2020-07-29 17:33:50,2020
106,True,True,True,0,16,0,117,active,3,117,False,2020-07-29 16:32:57+00:00,0,,,2020-07-29 17:33:50,2020
107,True,True,True,0,5,0,118,active,14,118,False,2020-07-29 17:22:38+00:00,0,,,2020-07-29 17:33:50,2020
108,True,True,True,0,11,0,119,active,4,119,False,2020-07-29 17:31:22+00:00,0,,,2020-07-29 17:33:50,2020
109,True,True,True,0,10,0,120,active,5,120,False,2020-07-29 17:26:52+00:00,0,,,2020-07-29 17:33:50,2020
110,True,True,True,0,2,1,121,active,14,121,False,2020-07-29 17:32:39+00:00,0,,,2020-07-29 17:33:50,2020
111,True,True,True,0,1,0,122,active,14,122,False,2020-07-29 16:54:30+00:00,0,,,2020-07-29 17:33:50,2020
112,True,True,True,0,5,0,124,active,10,124,False,2020-07-29 17:18:54+00:00,0,,,2020-07-29 17:33:50,2020
113,True,True,True,0,2,0,125,active,13,125,False,2020-07-29 17:25:35+00:00,0,,,2020-07-29 17:33:50,2020
114,True,True,True,0,1,0,126,active,14,126,False,2020-07-29 17:01:49+00:00,0,,,2020-07-29 17:33:50,2020
115,True,True,True,0,14,0,128,active,5,128,False,2020-07-29 17:21:35+00:00,0,,,2020-07-29 17:33:50,2020
116,True,True,True,0,7,0,129,active,12,129,False,2020-07-29 16:39:06+00:00,0,,,2020-07-29 17:33:50,2020
117,True,True,True,0,8,0,130,active,7,130,False,2020-07-29 08:49:10+00:00,0,,,2020-07-29 17:33:50,2020
118,True,True,True,0,7,1,131,active,10,131,False,2020-07-29 17:04:38+00:00,0,,,2020-07-29 17:33:50,2020
119,True,True,True,0,5,1,133,active,17,133,False,2020-07-29 17:14:53+00:00,0,,,2020-07-29 17:33:50,2020
120,True,True,True,0,10,0,135,active,7,135,False,2020-07-29 15:54:17+00:00,0,,,2020-07-29 17:33:50,2020
121,True,True,True,0,14,2,136,active,3,136,False,2020-07-29 17:05:24+00:00,0,,,2020-07-29 17:33:50,2020
122,True,True,True,0,3,0,137,active,12,137,False,2020-07-29 16:00:11+00:00,0,,,2020-07-29 17:33:50,2020
123,True,True,True,0,10,0,138,active,5,138,False,2020-07-29 17:33:04+00:00,0,,,2020-07-29 17:33:50,2020
124,True,True,True,0,1,0,139,active,18,139,False,2020-07-29 17:29:31+00:00,0,,,2020-07-29 17:33:50,2020
125,True,True,True,0,6,0,140,active,11,140,False,2020-07-29 16:43:15+00:00,0,,,2020-07-29 17:33:50,2020
126,True,True,True,0,5,0,141,active,10,141,False,2020-07-29 17:23:18+00:00,0,,,2020-07-29 17:33:50,2020
127,True,True,True,0,21,0,142,active,2,142,False,2020-07-29 17:23:24+00:00,0,,,2020-07-29 17:33:50,2020
128,True,True,True,0,4,0,143,active,19,143,False,2020-07-29 17:30:47+00:00,0,,,2020-07-29 17:33:50,2020
