,num_ebikes_available,eightd_has_available_keys,num_docks_disabled,legacy_id,last_reported,num_bikes_disabled,station_status,is_renting,num_bikes_available,station_id,is_returning,is_installed,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
94,0,False,0,105,2020-07-29 00:24:33+00:00,1,active,True,17,105,True,True,1,,,2020-07-29 00:26:45,2020
95,0,False,0,106,2020-07-29 00:13:19+00:00,0,active,True,12,106,True,True,3,,,2020-07-29 00:26:45,2020
96,0,False,0,107,2020-07-29 00:08:38+00:00,1,active,True,3,107,True,True,15,,,2020-07-29 00:26:45,2020
97,0,False,0,108,2020-07-29 00:24:37+00:00,0,active,True,15,108,True,True,2,,,2020-07-29 00:26:45,2020
98,0,False,0,109,2020-07-28 21:11:31+00:00,2,active,True,22,109,True,True,11,,,2020-07-29 00:26:45,2020
99,0,False,0,110,2020-07-29 00:09:58+00:00,3,active,True,0,110,True,True,12,,,2020-07-29 00:26:45,2020
100,0,False,0,111,2020-07-28 22:57:47+00:00,1,active,True,0,111,True,True,14,,,2020-07-29 00:26:45,2020
101,0,False,0,112,2020-07-29 00:05:48+00:00,0,active,True,7,112,True,True,8,,,2020-07-29 00:26:45,2020
102,0,False,0,113,2020-07-29 00:10:12+00:00,0,active,True,5,113,True,True,10,,,2020-07-29 00:26:45,2020
103,0,False,0,114,2020-07-29 00:01:56+00:00,0,active,True,2,114,True,True,13,,,2020-07-29 00:26:45,2020
104,0,False,0,115,2020-07-29 00:21:59+00:00,0,active,True,8,115,True,True,11,,,2020-07-29 00:26:45,2020
105,0,False,0,116,2020-07-29 00:11:00+00:00,0,active,True,15,116,True,True,8,,,2020-07-29 00:26:45,2020
106,0,False,0,117,2020-07-28 23:55:19+00:00,0,active,True,19,117,True,True,0,,,2020-07-29 00:26:45,2020
107,0,False,0,118,2020-07-29 00:26:32+00:00,0,active,True,11,118,True,True,8,,,2020-07-29 00:26:45,2020
108,0,False,0,119,2020-07-29 00:09:44+00:00,0,active,True,10,119,True,True,5,,,2020-07-29 00:26:45,2020
109,0,False,0,120,2020-07-29 00:23:52+00:00,1,active,True,7,120,True,True,7,,,2020-07-29 00:26:45,2020
110,0,False,0,121,2020-07-29 00:24:48+00:00,0,active,True,11,121,True,True,6,,,2020-07-29 00:26:45,2020
111,0,False,0,122,2020-07-29 00:17:35+00:00,0,active,True,6,122,True,True,9,,,2020-07-29 00:26:45,2020
112,0,False,0,124,2020-07-28 22:29:08+00:00,1,active,True,2,124,True,True,12,,,2020-07-29 00:26:45,2020
113,0,False,0,125,2020-07-29 00:00:50+00:00,0,active,True,1,125,True,True,14,,,2020-07-29 00:26:45,2020
114,0,False,0,126,2020-07-28 22:42:29+00:00,0,active,True,2,126,True,True,13,,,2020-07-29 00:26:45,2020
115,0,False,0,128,2020-07-28 23:37:12+00:00,1,active,True,18,128,True,True,0,,,2020-07-29 00:26:45,2020
