,legacy_id,num_docks_disabled,num_bikes_available,eightd_has_available_keys,station_status,station_id,is_renting,last_reported,num_ebikes_available,num_docks_available,is_returning,is_installed,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
80,91,0,12,False,active,91,True,2020-08-04 17:49:11+00:00,0,6,True,True,1,,,2020-08-04 18:13:25,2020
81,92,0,15,False,active,92,True,2020-08-04 17:12:55+00:00,0,4,True,True,0,,,2020-08-04 18:13:25,2020
82,93,0,10,False,active,93,True,2020-08-04 17:12:34+00:00,0,4,True,True,1,,,2020-08-04 18:13:25,2020
83,94,0,7,False,active,94,True,2020-08-04 18:03:00+00:00,0,2,True,True,2,,,2020-08-04 18:13:25,2020
84,95,0,11,False,active,95,True,2020-08-04 17:52:59+00:00,0,4,True,True,0,,,2020-08-04 18:13:25,2020
85,96,0,16,False,active,96,True,2020-08-04 17:59:56+00:00,0,3,True,True,0,,,2020-08-04 18:13:25,2020
86,97,0,12,False,active,97,True,2020-08-04 18:07:10+00:00,0,6,True,True,1,,,2020-08-04 18:13:25,2020
87,98,0,4,False,active,98,True,2020-08-04 17:44:20+00:00,0,19,True,True,0,,,2020-08-04 18:13:25,2020
88,99,0,8,False,active,99,True,2020-08-04 17:53:34+00:00,0,7,True,True,0,,,2020-08-04 18:13:25,2020
89,100,0,15,True,active,100,True,2020-08-04 18:10:42+00:00,0,9,True,True,1,,,2020-08-04 18:13:25,2020
90,101,0,14,False,active,101,True,2020-08-04 16:14:31+00:00,0,1,True,True,0,,,2020-08-04 18:13:25,2020
91,102,0,5,False,active,102,True,2020-08-04 17:34:46+00:00,0,9,True,True,1,,,2020-08-04 18:13:25,2020
92,103,0,2,False,active,103,True,2020-08-04 18:08:58+00:00,0,13,True,True,0,,,2020-08-04 18:13:25,2020
93,104,0,4,False,active,104,True,2020-08-04 17:27:53+00:00,0,15,True,True,0,,,2020-08-04 18:13:25,2020
94,105,0,3,False,active,105,True,2020-08-04 18:10:00+00:00,0,16,True,True,0,,,2020-08-04 18:13:25,2020
95,106,0,2,False,active,106,True,2020-08-04 18:02:03+00:00,0,13,True,True,0,,,2020-08-04 18:13:25,2020
96,107,0,15,False,active,107,True,2020-08-04 18:13:12+00:00,0,4,True,True,0,,,2020-08-04 18:13:25,2020
97,108,0,13,False,active,108,True,2020-08-04 18:00:34+00:00,0,3,True,True,1,,,2020-08-04 18:13:25,2020
98,109,0,10,False,active,109,True,2020-08-04 17:12:41+00:00,0,23,True,True,2,,,2020-08-04 18:13:25,2020
99,110,0,11,False,active,110,True,2020-08-04 17:41:46+00:00,0,4,True,True,0,,,2020-08-04 18:13:25,2020
100,111,0,1,False,active,111,True,2020-08-04 17:13:47+00:00,0,14,True,True,0,,,2020-08-04 18:13:25,2020
101,112,0,12,False,active,112,True,2020-08-04 17:32:20+00:00,0,3,True,True,0,,,2020-08-04 18:13:25,2020
102,113,0,12,False,active,113,True,2020-08-04 17:45:48+00:00,0,3,True,True,0,,,2020-08-04 18:13:25,2020
103,114,0,11,False,active,114,True,2020-08-04 18:12:28+00:00,0,4,True,True,0,,,2020-08-04 18:13:25,2020
104,115,0,17,False,active,115,True,2020-08-04 17:47:08+00:00,0,2,True,True,0,,,2020-08-04 18:13:25,2020
105,116,0,13,False,active,116,True,2020-08-04 18:11:38+00:00,0,10,True,True,0,,,2020-08-04 18:13:25,2020
106,117,0,5,False,active,117,True,2020-08-04 17:44:26+00:00,0,14,True,True,0,,,2020-08-04 18:13:25,2020
107,118,0,17,False,active,118,True,2020-08-04 18:07:17+00:00,0,2,True,True,0,,,2020-08-04 18:13:25,2020
108,119,0,4,False,active,119,True,2020-08-04 18:06:13+00:00,0,11,True,True,0,,,2020-08-04 18:13:25,2020
109,120,0,9,False,active,120,True,2020-08-04 17:49:51+00:00,0,6,True,True,0,,,2020-08-04 18:13:25,2020
