,station_id,last_reported,num_bikes_available,num_docks_available,is_installed,legacy_id,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,is_returning,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
100,111,2020-08-14 22:07:33+00:00,3,12,True,111,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
101,112,2020-08-14 21:47:05+00:00,5,10,True,112,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
102,113,2020-08-14 21:59:59+00:00,15,0,True,113,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
103,114,2020-08-14 22:01:35+00:00,4,10,True,114,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
104,115,2020-08-14 22:06:48+00:00,12,4,True,115,active,0,False,0,3,True,True,,,2020-08-14 22:09:40,2020
105,116,2020-08-14 22:08:25+00:00,10,13,True,116,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
106,117,2020-08-14 21:54:16+00:00,1,18,True,117,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
107,118,2020-08-14 22:05:24+00:00,11,7,True,118,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
108,119,2020-08-14 22:08:27+00:00,10,5,True,119,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
109,120,2020-08-14 22:09:20+00:00,1,14,True,120,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
110,121,2020-08-14 22:09:09+00:00,8,9,True,121,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
111,122,2020-08-14 22:07:00+00:00,4,11,True,122,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
112,124,2020-08-14 22:04:15+00:00,5,9,True,124,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
113,125,2020-08-14 22:09:01+00:00,15,0,True,125,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
114,126,2020-08-14 20:32:03+00:00,5,9,True,126,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
