,num_docks_available,legacy_id,num_bikes_available,is_installed,is_returning,station_status,num_docks_disabled,is_renting,eightd_has_available_keys,last_reported,station_id,num_bikes_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
96,17,107,2,True,True,active,0,True,False,2020-08-13 05:20:57+00:00,107,0,0,2020-08-13 05:28:25,2020
97,17,108,0,True,True,active,0,True,False,2020-08-13 04:18:32+00:00,108,0,0,2020-08-13 05:28:25,2020
98,32,109,3,True,True,active,0,True,False,2020-08-13 04:29:09+00:00,109,0,0,2020-08-13 05:28:25,2020
99,13,110,2,True,True,active,0,True,False,2020-08-13 04:49:10+00:00,110,0,0,2020-08-13 05:28:25,2020
100,9,111,6,True,True,active,0,True,False,2020-08-13 03:15:19+00:00,111,0,0,2020-08-13 05:28:25,2020
101,0,112,15,True,True,active,0,True,False,2020-08-13 03:15:20+00:00,112,0,0,2020-08-13 05:28:25,2020
102,2,113,13,True,True,active,0,True,False,2020-08-13 03:26:00+00:00,113,0,0,2020-08-13 05:28:25,2020
103,7,114,7,True,True,active,0,True,False,2020-08-13 03:24:42+00:00,114,1,0,2020-08-13 05:28:25,2020
104,3,115,12,True,True,active,0,True,False,2020-08-13 05:14:26+00:00,115,4,0,2020-08-13 05:28:25,2020
105,3,116,20,True,True,active,0,True,False,2020-08-13 04:05:41+00:00,116,0,0,2020-08-13 05:28:25,2020
106,11,117,8,True,True,active,0,True,False,2020-08-13 03:34:49+00:00,117,0,0,2020-08-13 05:28:25,2020
107,10,118,8,True,True,active,0,True,False,2020-08-13 03:21:59+00:00,118,1,0,2020-08-13 05:28:25,2020
108,0,119,15,True,True,active,0,True,False,2020-08-13 03:21:13+00:00,119,0,0,2020-08-13 05:28:25,2020
109,13,120,1,True,True,active,0,True,False,2020-08-13 03:49:02+00:00,120,1,0,2020-08-13 05:28:25,2020
110,14,121,3,True,True,active,0,True,False,2020-08-13 03:21:09+00:00,121,0,0,2020-08-13 05:28:25,2020
111,14,122,1,True,True,active,0,True,False,2020-08-13 03:26:18+00:00,122,0,0,2020-08-13 05:28:25,2020
112,8,124,6,True,True,active,0,True,False,2020-08-13 03:16:16+00:00,124,1,0,2020-08-13 05:28:25,2020
113,2,125,13,True,True,active,0,True,False,2020-08-13 04:02:17+00:00,125,0,0,2020-08-13 05:28:25,2020
