,station_id,num_docks_available,eightd_has_available_keys,num_ebikes_available,is_renting,num_bikes_disabled,is_installed,station_status,last_reported,num_bikes_available,legacy_id,is_returning,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
191,219,2,False,0,True,0,True,active,2020-08-06 08:13:18+00:00,13,219,True,0,,,2020-08-06 09:36:55,2020
192,221,5,False,0,True,3,True,active,2020-08-06 09:06:47+00:00,11,221,True,0,,,2020-08-06 09:36:55,2020
193,222,11,True,0,True,0,True,active,2020-08-06 04:35:51+00:00,3,222,True,0,,,2020-08-06 09:36:55,2020
194,224,9,False,0,True,1,True,active,2020-08-06 08:35:02+00:00,7,224,True,0,,,2020-08-06 09:36:55,2020
195,225,10,False,0,True,0,True,active,2020-08-06 08:27:59+00:00,9,225,True,0,,,2020-08-06 09:36:55,2020
196,226,0,False,0,True,1,True,active,2020-08-06 08:42:01+00:00,14,226,True,0,,,2020-08-06 09:36:55,2020
197,227,17,False,0,True,0,True,active,2020-08-06 08:32:10+00:00,2,227,True,0,,,2020-08-06 09:36:55,2020
198,228,19,False,0,True,0,True,active,2020-08-06 08:32:16+00:00,0,228,True,0,,,2020-08-06 09:36:55,2020
199,232,9,False,0,True,0,True,active,2020-08-06 08:41:56+00:00,2,232,True,0,,,2020-08-06 09:36:55,2020
200,233,4,False,0,True,0,True,active,2020-08-06 09:30:00+00:00,11,233,True,0,,,2020-08-06 09:36:55,2020
201,234,13,False,0,True,0,True,active,2020-08-06 08:38:32+00:00,2,234,True,0,,,2020-08-06 09:36:55,2020
202,235,10,False,0,True,1,True,active,2020-08-06 00:31:59+00:00,4,235,True,0,,,2020-08-06 09:36:55,2020
203,236,6,False,0,True,0,True,active,2020-08-06 08:31:57+00:00,9,236,True,0,,,2020-08-06 09:36:55,2020
204,239,0,False,0,True,0,True,active,2020-08-06 08:42:03+00:00,15,239,True,0,,,2020-08-06 09:36:55,2020
205,255,3,False,0,True,0,True,active,2020-08-06 08:38:19+00:00,12,255,True,0,,,2020-08-06 09:36:55,2020
206,258,7,False,0,True,0,True,active,2020-08-06 08:52:09+00:00,8,258,True,0,,,2020-08-06 09:36:55,2020
207,259,15,False,0,True,0,True,active,2020-08-06 08:38:07+00:00,0,259,True,0,,,2020-08-06 09:36:55,2020
208,260,8,False,0,True,0,True,active,2020-08-06 08:38:29+00:00,7,260,True,0,,,2020-08-06 09:36:55,2020
209,271,7,False,0,True,0,True,active,2020-08-06 09:00:06+00:00,8,271,True,0,,,2020-08-06 09:36:55,2020
210,272,13,False,0,True,0,True,active,2020-08-06 08:51:50+00:00,6,272,True,0,,,2020-08-06 09:36:55,2020
211,273,17,False,0,True,1,True,active,2020-08-06 08:51:59+00:00,22,273,True,0,,,2020-08-06 09:36:55,2020
212,279,11,False,0,True,0,True,active,2020-08-06 08:42:08+00:00,8,279,True,0,,,2020-08-06 09:36:55,2020
213,280,13,False,0,True,0,True,active,2020-08-06 08:43:36+00:00,6,280,True,0,,,2020-08-06 09:36:55,2020
214,282,0,False,0,True,1,True,active,2020-08-06 08:58:27+00:00,14,282,True,0,,,2020-08-06 09:36:55,2020
215,296,7,False,0,True,0,True,active,2020-08-06 08:48:31+00:00,16,296,True,0,,,2020-08-06 09:36:55,2020
216,318,17,False,0,True,0,True,active,2020-08-06 09:29:03+00:00,2,318,True,0,,,2020-08-06 09:36:55,2020
217,319,8,False,0,True,0,True,active,2020-08-06 08:47:12+00:00,17,319,True,0,,,2020-08-06 09:36:55,2020
218,327,9,False,0,True,0,True,active,2020-08-06 08:42:39+00:00,6,327,True,0,,,2020-08-06 09:36:55,2020
219,328,10,False,0,True,0,True,active,2020-08-06 08:32:04+00:00,5,328,True,0,,,2020-08-06 09:36:55,2020
220,329,8,False,0,True,1,True,active,2020-08-06 08:43:09+00:00,6,329,True,0,,,2020-08-06 09:36:55,2020
221,330,11,False,0,True,0,True,active,2020-08-06 08:57:19+00:00,4,330,True,0,,,2020-08-06 09:36:55,2020
222,331,9,False,0,True,0,True,active,2020-08-06 09:21:27+00:00,6,331,True,0,,,2020-08-06 09:36:55,2020
223,332,5,False,0,True,0,True,active,2020-08-06 08:57:36+00:00,10,332,True,0,,,2020-08-06 09:36:55,2020
224,333,5,False,0,True,0,True,active,2020-08-06 08:28:31+00:00,20,333,True,0,,,2020-08-06 09:36:55,2020
225,334,13,False,0,True,1,True,active,2020-08-06 08:17:11+00:00,5,334,True,0,,,2020-08-06 09:36:55,2020
226,335,7,False,0,True,0,True,active,2020-08-06 08:46:57+00:00,12,335,True,0,,,2020-08-06 09:36:55,2020
227,336,4,False,0,True,0,True,active,2020-08-06 00:59:10+00:00,11,336,True,0,,,2020-08-06 09:36:55,2020
228,337,3,False,0,True,0,True,active,2020-08-06 08:38:22+00:00,12,337,True,0,,,2020-08-06 09:36:55,2020
229,338,3,False,0,True,0,True,active,2020-08-06 09:30:55+00:00,12,338,True,0,,,2020-08-06 09:36:55,2020
230,339,2,False,0,False,0,True,active,2020-08-05 23:20:03+00:00,13,339,False,0,,,2020-08-06 09:36:55,2020
231,340,2,False,0,True,0,True,active,2020-08-06 08:37:01+00:00,17,340,True,0,,,2020-08-06 09:36:55,2020
232,341,10,True,0,True,0,True,active,2020-08-06 08:36:45+00:00,5,341,True,0,,,2020-08-06 09:36:55,2020
233,342,1,False,0,True,0,True,active,2020-08-06 08:53:13+00:00,14,342,True,0,,,2020-08-06 09:36:55,2020
234,343,9,False,0,True,0,True,active,2020-08-06 08:36:41+00:00,6,343,True,0,,,2020-08-06 09:36:55,2020
235,344,15,False,0,True,0,True,active,2020-08-06 08:52:24+00:00,4,344,True,0,,,2020-08-06 09:36:55,2020
236,345,7,False,0,True,0,True,active,2020-08-06 08:32:41+00:00,12,345,True,0,,,2020-08-06 09:36:55,2020
237,346,15,False,0,True,0,True,active,2020-08-06 08:42:07+00:00,0,346,True,0,,,2020-08-06 09:36:55,2020
238,347,5,False,0,True,0,True,active,2020-08-06 08:53:32+00:00,10,347,True,0,,,2020-08-06 09:36:55,2020
239,348,6,False,0,True,2,True,active,2020-08-06 09:31:53+00:00,3,348,True,4,,,2020-08-06 09:36:55,2020
240,349,11,True,0,True,0,True,active,2020-08-06 08:52:02+00:00,6,349,True,0,,,2020-08-06 09:36:55,2020
241,350,13,False,0,True,0,True,active,2020-08-06 08:47:18+00:00,4,350,True,0,,,2020-08-06 09:36:55,2020
242,351,7,False,0,True,0,True,active,2020-08-06 08:41:42+00:00,8,351,True,0,,,2020-08-06 09:36:55,2020
243,352,8,False,0,True,0,True,active,2020-08-06 09:31:30+00:00,7,352,True,0,,,2020-08-06 09:36:55,2020
244,353,7,True,0,True,0,True,active,2020-08-05 23:35:59+00:00,8,353,True,0,,,2020-08-06 09:36:55,2020
245,354,10,False,0,True,1,True,active,2020-08-06 08:42:09+00:00,4,354,True,0,,,2020-08-06 09:36:55,2020
246,355,10,False,0,True,0,True,active,2020-08-06 08:42:01+00:00,7,355,True,0,,,2020-08-06 09:36:55,2020
247,356,17,False,0,True,1,True,active,2020-08-06 08:57:22+00:00,5,356,True,0,,,2020-08-06 09:36:55,2020
248,357,1,False,0,True,0,True,active,2020-08-06 08:43:21+00:00,14,357,True,0,,,2020-08-06 09:36:55,2020
249,358,6,False,0,True,0,True,active,2020-08-06 08:42:05+00:00,13,358,True,0,,,2020-08-06 09:36:55,2020
250,359,11,False,0,True,0,True,active,2020-08-06 08:56:43+00:00,4,359,True,0,,,2020-08-06 09:36:55,2020
251,360,10,False,0,True,0,True,active,2020-08-06 08:48:36+00:00,5,360,True,0,,,2020-08-06 09:36:55,2020
252,361,7,False,0,True,0,True,active,2020-08-06 09:06:50+00:00,12,361,True,0,,,2020-08-06 09:36:55,2020
253,362,1,False,0,True,0,True,active,2020-08-06 08:56:15+00:00,18,362,True,0,,,2020-08-06 09:36:55,2020
