,eightd_has_available_keys,num_docks_available,num_bikes_available,num_docks_disabled,station_id,station_status,legacy_id,last_reported,num_bikes_disabled,is_installed,is_renting,num_ebikes_available,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
71,False,24,11,0,80,active,80,2020-08-06 23:02:50+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
72,False,10,8,0,81,active,81,2020-08-06 23:01:53+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
73,False,8,7,0,82,active,82,2020-08-06 22:46:06+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
74,False,9,5,0,84,active,84,2020-08-06 22:59:33+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
75,False,8,11,0,85,active,85,2020-08-06 22:48:57+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
76,False,9,9,0,86,active,86,2020-08-06 22:28:12+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
77,False,7,8,0,87,active,87,2020-08-06 23:01:54+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
78,False,12,7,0,89,active,89,2020-08-06 23:00:47+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
79,False,13,6,0,90,active,90,2020-08-06 23:02:13+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
80,False,17,2,0,91,active,91,2020-08-06 22:54:33+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
81,False,10,8,0,92,active,92,2020-08-06 22:29:22+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
82,False,1,13,0,93,active,93,2020-08-06 22:48:19+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
83,False,8,3,0,94,active,94,2020-08-06 23:01:29+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
84,False,14,1,0,95,active,95,2020-08-06 22:55:56+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
85,False,12,7,0,96,active,96,2020-08-06 22:47:10+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
86,False,11,8,0,97,active,97,2020-08-06 23:02:31+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
87,False,13,9,0,98,active,98,2020-08-06 22:56:01+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
88,False,3,11,0,99,active,99,2020-08-06 22:48:14+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
