,num_ebikes_available,last_reported,station_id,num_bikes_disabled,is_installed,is_renting,is_returning,num_bikes_available,eightd_has_available_keys,station_status,num_docks_disabled,legacy_id,num_docks_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
82,0,2020-08-06 04:49:52+00:00,93,1,True,True,True,8,False,active,0,93,6,,,2020-08-06 08:46:00,2020
83,0,2020-08-06 03:28:29+00:00,94,1,True,True,True,5,False,active,0,94,5,,,2020-08-06 08:46:00,2020
84,0,2020-08-06 08:07:01+00:00,95,1,True,True,True,13,False,active,0,95,1,,,2020-08-06 08:46:00,2020
85,0,2020-08-06 08:07:17+00:00,96,0,True,True,True,14,False,active,0,96,5,,,2020-08-06 08:46:00,2020
86,0,2020-08-06 04:11:23+00:00,97,1,True,True,True,7,False,active,0,97,11,,,2020-08-06 08:46:00,2020
87,0,2020-08-06 08:27:22+00:00,98,1,True,True,True,14,False,active,0,98,8,,,2020-08-06 08:46:00,2020
88,0,2020-08-06 08:22:12+00:00,99,0,True,True,True,14,False,active,0,99,1,,,2020-08-06 08:46:00,2020
89,0,2020-08-06 08:31:46+00:00,100,1,True,True,True,21,True,active,0,100,3,,,2020-08-06 08:46:00,2020
90,0,2020-08-06 01:01:36+00:00,101,0,True,True,True,15,False,active,0,101,0,,,2020-08-06 08:46:00,2020
91,0,2020-08-06 08:08:30+00:00,102,0,True,True,True,12,False,active,0,102,3,,,2020-08-06 08:46:00,2020
92,0,2020-08-06 08:32:35+00:00,103,0,True,True,True,7,False,active,0,103,8,,,2020-08-06 08:46:00,2020
93,0,2020-08-06 03:40:25+00:00,104,0,True,True,True,6,False,active,0,104,13,,,2020-08-06 08:46:00,2020
94,0,2020-08-06 05:46:49+00:00,105,1,True,True,True,12,False,active,0,105,6,,,2020-08-06 08:46:00,2020
95,0,2020-08-06 01:52:42+00:00,106,0,True,True,True,6,False,active,0,106,9,,,2020-08-06 08:46:00,2020
96,0,2020-08-06 08:36:44+00:00,107,0,True,True,True,0,False,active,0,107,19,,,2020-08-06 08:46:00,2020
97,0,2020-08-06 04:36:32+00:00,108,0,True,True,True,2,False,active,0,108,15,,,2020-08-06 08:46:00,2020
98,0,2020-08-06 01:37:39+00:00,109,0,True,True,True,9,False,active,0,109,26,,,2020-08-06 08:46:00,2020
99,0,2020-08-06 06:46:36+00:00,110,0,True,True,True,7,False,active,0,110,8,,,2020-08-06 08:46:00,2020
100,0,2020-08-06 00:34:33+00:00,111,0,True,True,True,1,False,active,0,111,14,,,2020-08-06 08:46:00,2020
101,0,2020-08-05 23:52:28+00:00,112,0,True,True,True,7,False,active,0,112,8,,,2020-08-06 08:46:00,2020
102,0,2020-08-06 04:53:05+00:00,113,1,True,True,True,14,False,active,0,113,0,,,2020-08-06 08:46:00,2020
103,0,2020-08-06 02:26:55+00:00,114,1,True,True,True,12,False,active,0,114,2,,,2020-08-06 08:46:00,2020
