,num_bikes_available,is_renting,station_status,num_docks_disabled,num_docks_available,station_id,num_bikes_disabled,last_reported,legacy_id,is_returning,is_installed,num_ebikes_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
60,13,True,active,0,6,69,0,2020-08-20 23:00:44+00:00,69,True,True,0,True,,,2020-08-20 23:03:00,2020
61,15,True,active,0,7,70,1,2020-08-20 23:00:52+00:00,70,True,True,0,False,,,2020-08-20 23:03:00,2020
62,14,True,active,0,7,71,2,2020-08-20 22:51:19+00:00,71,True,True,0,False,,,2020-08-20 23:03:00,2020
63,6,True,active,0,17,72,0,2020-08-20 23:02:12+00:00,72,True,True,0,False,,,2020-08-20 23:03:00,2020
64,10,True,active,0,5,73,0,2020-08-20 22:51:32+00:00,73,True,True,0,False,,,2020-08-20 23:03:00,2020
65,9,True,active,0,8,74,2,2020-08-20 22:58:03+00:00,74,True,True,0,True,,,2020-08-20 23:03:00,2020
66,0,True,active,0,14,75,1,2020-08-20 22:30:03+00:00,75,True,True,0,False,,,2020-08-20 23:03:00,2020
67,8,True,active,0,7,76,2,2020-08-20 22:58:12+00:00,76,True,True,0,False,,,2020-08-20 23:03:00,2020
68,2,True,active,0,13,77,0,2020-08-20 22:29:03+00:00,77,True,True,0,False,,,2020-08-20 23:03:00,2020
69,15,True,active,0,4,78,0,2020-08-20 23:01:02+00:00,78,True,True,0,False,,,2020-08-20 23:03:00,2020
70,10,True,active,0,7,79,2,2020-08-20 23:02:13+00:00,79,True,True,0,False,,,2020-08-20 23:03:00,2020
71,4,True,active,0,31,80,0,2020-08-20 23:02:05+00:00,80,True,True,0,False,,,2020-08-20 23:03:00,2020
72,11,True,active,0,8,81,0,2020-08-20 22:59:17+00:00,81,True,True,0,False,,,2020-08-20 23:03:00,2020
73,3,True,active,0,11,82,1,2020-08-20 22:22:22+00:00,82,True,True,0,False,,,2020-08-20 23:03:00,2020
74,6,True,active,0,8,84,1,2020-08-20 22:59:58+00:00,84,True,True,0,False,,,2020-08-20 23:03:00,2020
75,0,True,active,0,19,85,0,2020-08-20 22:29:05+00:00,85,True,True,0,False,,,2020-08-20 23:03:00,2020
76,1,True,active,0,18,86,0,2020-08-20 23:02:26+00:00,86,True,True,0,False,,,2020-08-20 23:03:00,2020
77,4,True,active,0,10,87,1,2020-08-20 23:00:07+00:00,87,True,True,0,False,,,2020-08-20 23:03:00,2020
78,11,True,active,0,8,89,0,2020-08-20 23:02:00+00:00,89,True,True,0,False,,,2020-08-20 23:03:00,2020
79,7,True,active,0,12,90,0,2020-08-20 22:59:55+00:00,90,True,True,0,False,,,2020-08-20 23:03:00,2020
80,6,True,active,0,13,91,0,2020-08-20 22:52:22+00:00,91,True,True,0,False,,,2020-08-20 23:03:00,2020
81,9,True,active,0,10,92,0,2020-08-20 22:56:07+00:00,92,True,True,0,False,,,2020-08-20 23:03:00,2020
82,15,True,active,0,0,93,0,2020-08-20 21:54:05+00:00,93,True,True,0,False,,,2020-08-20 23:03:00,2020
83,5,True,active,0,5,94,1,2020-08-20 22:56:44+00:00,94,True,True,0,False,,,2020-08-20 23:03:00,2020
84,4,True,active,0,10,95,1,2020-08-20 22:50:24+00:00,95,True,True,0,False,,,2020-08-20 23:03:00,2020
85,11,True,active,0,7,96,1,2020-08-20 23:02:30+00:00,96,True,True,0,False,,,2020-08-20 23:03:00,2020
86,5,True,active,0,14,97,0,2020-08-20 22:56:54+00:00,97,True,True,0,False,,,2020-08-20 23:03:00,2020
87,13,True,active,0,10,98,0,2020-08-20 22:26:21+00:00,98,True,True,0,False,,,2020-08-20 23:03:00,2020
88,7,True,active,0,6,99,2,2020-08-20 22:54:58+00:00,99,True,True,0,False,,,2020-08-20 23:03:00,2020
89,10,True,active,0,14,100,1,2020-08-20 22:59:56+00:00,100,True,True,0,True,,,2020-08-20 23:03:00,2020
90,7,True,active,0,8,101,0,2020-08-20 23:00:40+00:00,101,True,True,0,False,,,2020-08-20 23:03:00,2020
91,2,True,active,0,13,102,0,2020-08-20 23:02:41+00:00,102,True,True,0,False,,,2020-08-20 23:03:00,2020
92,10,True,active,0,5,103,0,2020-08-20 22:38:54+00:00,103,True,True,0,False,,,2020-08-20 23:03:00,2020
93,4,True,active,0,15,104,0,2020-08-20 22:58:21+00:00,104,True,True,0,False,,,2020-08-20 23:03:00,2020
94,5,True,active,0,13,105,1,2020-08-20 22:55:27+00:00,105,True,True,0,False,,,2020-08-20 23:03:00,2020
