,station_status,is_renting,is_returning,last_reported,eightd_has_available_keys,station_id,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_available,num_docks_disabled,num_bikes_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
92,active,True,True,2020-08-18 17:35:12+00:00,False,103,0,0,103,7,0,8,True,,,2020-08-18 18:03:00,2020
93,active,True,True,2020-08-18 17:50:40+00:00,False,104,0,0,104,14,0,5,True,,,2020-08-18 18:03:00,2020
94,active,True,True,2020-08-18 17:50:32+00:00,False,105,0,0,105,16,0,3,True,,,2020-08-18 18:03:00,2020
95,active,True,True,2020-08-18 17:12:35+00:00,False,106,0,0,106,10,0,5,True,,,2020-08-18 18:03:00,2020
96,active,True,True,2020-08-18 18:01:59+00:00,False,107,2,0,107,9,0,8,True,,,2020-08-18 18:03:00,2020
97,active,True,True,2020-08-18 17:45:38+00:00,False,108,0,0,108,7,0,10,True,,,2020-08-18 18:03:00,2020
98,active,True,True,2020-08-18 17:43:07+00:00,False,109,1,0,109,28,0,6,True,,,2020-08-18 18:03:00,2020
99,active,True,True,2020-08-18 17:32:37+00:00,False,110,0,0,110,9,0,6,True,,,2020-08-18 18:03:00,2020
100,active,True,True,2020-08-18 15:18:08+00:00,False,111,0,0,111,14,0,1,True,,,2020-08-18 18:03:00,2020
101,active,True,True,2020-08-18 17:03:16+00:00,False,112,0,0,112,5,0,10,True,,,2020-08-18 18:03:00,2020
102,active,True,True,2020-08-18 17:45:54+00:00,False,113,1,0,113,8,0,6,True,,,2020-08-18 18:03:00,2020
103,active,True,True,2020-08-18 16:37:27+00:00,False,114,0,0,114,13,0,2,True,,,2020-08-18 18:03:00,2020
104,active,True,True,2020-08-18 17:34:06+00:00,False,115,0,0,115,4,0,15,True,,,2020-08-18 18:03:00,2020
105,active,True,True,2020-08-18 17:47:49+00:00,False,116,0,0,116,16,0,7,True,,,2020-08-18 18:03:00,2020
106,active,True,True,2020-08-18 17:53:29+00:00,False,117,0,0,117,11,0,8,True,,,2020-08-18 18:03:00,2020
107,active,True,True,2020-08-18 17:58:22+00:00,False,118,1,0,118,7,0,11,True,,,2020-08-18 18:03:00,2020
108,active,True,True,2020-08-18 17:24:30+00:00,False,119,0,0,119,6,0,9,True,,,2020-08-18 18:03:00,2020
109,active,True,True,2020-08-18 17:55:20+00:00,False,120,0,0,120,9,0,6,True,,,2020-08-18 18:03:00,2020
110,active,True,True,2020-08-18 17:15:36+00:00,False,121,1,0,121,9,0,7,True,,,2020-08-18 18:03:00,2020
