,eightd_has_available_keys,num_bikes_available,station_status,last_reported,num_docks_disabled,is_renting,is_returning,legacy_id,num_bikes_disabled,station_id,num_docks_available,is_installed,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
79,False,18,active,2020-08-10 01:09:52+00:00,0,True,True,90,1,90,0,True,0,2020-08-10 01:41:50,2020
80,False,4,active,2020-08-10 01:32:27+00:00,0,True,True,91,1,91,14,True,0,2020-08-10 01:41:50,2020
81,False,13,active,2020-08-09 23:38:09+00:00,0,True,True,92,0,92,6,True,0,2020-08-10 01:41:50,2020
82,False,11,active,2020-08-10 00:16:49+00:00,0,True,True,93,2,93,2,True,0,2020-08-10 01:41:50,2020
83,False,9,active,2020-08-10 00:27:28+00:00,0,True,True,94,1,94,1,True,0,2020-08-10 01:41:50,2020
84,False,2,active,2020-08-10 01:41:31+00:00,0,True,True,95,1,95,12,True,0,2020-08-10 01:41:50,2020
85,False,17,active,2020-08-10 00:37:15+00:00,0,True,True,96,0,96,2,True,0,2020-08-10 01:41:50,2020
86,False,15,active,2020-08-10 01:18:04+00:00,0,True,True,97,0,97,4,True,0,2020-08-10 01:41:50,2020
87,False,6,active,2020-08-10 01:11:50+00:00,0,True,True,98,0,98,17,True,0,2020-08-10 01:41:50,2020
88,False,2,active,2020-08-10 01:02:43+00:00,0,True,True,99,1,99,12,True,0,2020-08-10 01:41:50,2020
89,True,11,active,2020-08-10 01:33:27+00:00,0,True,True,100,0,100,14,True,0,2020-08-10 01:41:50,2020
90,False,12,active,2020-08-10 01:29:33+00:00,0,True,True,101,0,101,3,True,0,2020-08-10 01:41:50,2020
91,False,6,active,2020-08-10 00:51:00+00:00,0,True,True,102,0,102,9,True,0,2020-08-10 01:41:50,2020
92,False,7,active,2020-08-10 00:33:34+00:00,0,True,True,103,0,103,8,True,0,2020-08-10 01:41:50,2020
93,False,14,active,2020-08-10 00:14:46+00:00,0,True,True,104,0,104,5,True,0,2020-08-10 01:41:50,2020
94,False,4,active,2020-08-10 01:33:27+00:00,0,True,True,105,0,105,15,True,0,2020-08-10 01:41:50,2020
95,False,8,active,2020-08-10 00:24:51+00:00,0,True,True,106,0,106,7,True,0,2020-08-10 01:41:50,2020
96,False,7,active,2020-08-10 01:27:37+00:00,0,True,True,107,0,107,12,True,0,2020-08-10 01:41:50,2020
97,False,3,active,2020-08-10 00:41:28+00:00,0,True,True,108,0,108,14,True,0,2020-08-10 01:41:50,2020
98,False,5,active,2020-08-09 23:28:55+00:00,0,True,True,109,2,109,28,True,0,2020-08-10 01:41:50,2020
99,False,1,active,2020-08-10 01:11:15+00:00,0,True,True,110,0,110,14,True,0,2020-08-10 01:41:50,2020
100,False,3,active,2020-08-10 00:57:33+00:00,0,True,True,111,0,111,12,True,0,2020-08-10 01:41:50,2020
101,False,11,active,2020-08-10 01:41:30+00:00,0,True,True,112,0,112,4,True,0,2020-08-10 01:41:50,2020
102,False,11,active,2020-08-10 01:35:13+00:00,0,True,True,113,1,113,3,True,0,2020-08-10 01:41:50,2020
103,False,2,active,2020-08-10 00:48:48+00:00,0,True,True,114,0,114,13,True,0,2020-08-10 01:41:50,2020
104,False,15,active,2020-08-10 01:34:07+00:00,0,True,True,115,1,115,3,True,0,2020-08-10 01:41:50,2020
