,is_renting,is_returning,legacy_id,num_ebikes_available,station_status,num_docks_available,num_bikes_disabled,is_installed,last_reported,num_docks_disabled,station_id,num_bikes_available,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
143,True,True,167,0,active,14,0,True,2020-08-13 22:00:48+00:00,0,167,1,False,,,2020-08-13 22:29:40,2020
144,True,True,169,0,active,12,0,True,2020-08-13 22:22:57+00:00,0,169,7,False,,,2020-08-13 22:29:40,2020
145,True,True,170,0,active,9,0,True,2020-08-13 22:08:56+00:00,0,170,5,True,,,2020-08-13 22:29:40,2020
146,True,True,171,0,active,14,0,True,2020-08-13 20:44:08+00:00,0,171,9,True,,,2020-08-13 22:29:40,2020
147,True,True,173,0,active,1,0,True,2020-08-13 21:59:40+00:00,0,173,13,True,,,2020-08-13 22:29:40,2020
148,True,True,174,0,active,8,1,True,2020-08-13 21:50:07+00:00,0,174,6,False,,,2020-08-13 22:29:40,2020
149,True,True,175,0,active,12,2,True,2020-08-13 22:27:48+00:00,0,175,3,True,,,2020-08-13 22:29:40,2020
150,True,True,176,0,active,1,0,True,2020-08-13 22:27:39+00:00,0,176,14,False,,,2020-08-13 22:29:40,2020
151,True,True,177,0,active,18,0,True,2020-08-13 22:26:52+00:00,0,177,1,False,,,2020-08-13 22:29:40,2020
152,True,True,178,0,active,19,0,True,2020-08-13 22:14:54+00:00,0,178,0,False,,,2020-08-13 22:29:40,2020
153,True,True,179,0,active,14,0,True,2020-08-13 22:28:17+00:00,0,179,11,False,,,2020-08-13 22:29:40,2020
154,True,True,180,0,active,10,0,True,2020-08-13 22:10:31+00:00,0,180,9,False,,,2020-08-13 22:29:40,2020
155,True,True,181,0,active,11,0,True,2020-08-13 22:16:00+00:00,0,181,8,False,,,2020-08-13 22:29:40,2020
156,True,True,182,0,active,18,0,True,2020-08-13 21:49:50+00:00,0,182,1,True,,,2020-08-13 22:29:40,2020
157,True,True,183,0,active,11,1,True,2020-08-13 22:21:34+00:00,0,183,7,False,,,2020-08-13 22:29:40,2020
158,True,True,184,0,active,12,0,True,2020-08-13 22:25:35+00:00,0,184,7,False,,,2020-08-13 22:29:40,2020
159,True,True,185,0,active,6,0,True,2020-08-13 22:27:30+00:00,0,185,9,False,,,2020-08-13 22:29:40,2020
160,True,True,186,0,active,10,0,True,2020-08-13 22:19:16+00:00,0,186,5,True,,,2020-08-13 22:29:40,2020
