,is_installed,is_renting,is_returning,legacy_id,station_id,num_bikes_available,station_status,num_ebikes_available,num_docks_disabled,num_bikes_disabled,num_docks_available,eightd_has_available_keys,last_reported,timestamp_of_data_read_request,year_station_last_reported
66,True,True,True,75,75,4,active,0,0,0,11,False,2020-08-21 01:27:01+00:00,2020-08-21 01:36:15,2020
67,True,True,True,76,76,7,active,0,0,1,9,False,2020-08-21 01:35:37+00:00,2020-08-21 01:36:15,2020
68,True,True,True,77,77,2,active,0,0,0,13,False,2020-08-21 00:57:23+00:00,2020-08-21 01:36:15,2020
69,True,True,True,78,78,10,active,0,0,0,9,False,2020-08-21 01:28:29+00:00,2020-08-21 01:36:15,2020
70,True,True,True,79,79,11,active,0,0,1,7,False,2020-08-21 01:34:47+00:00,2020-08-21 01:36:15,2020
71,True,True,True,80,80,0,active,0,0,0,35,False,2020-08-20 23:59:55+00:00,2020-08-21 01:36:15,2020
72,True,True,True,81,81,17,active,0,0,1,1,False,2020-08-21 01:29:11+00:00,2020-08-21 01:36:15,2020
73,True,True,True,82,82,2,active,0,0,0,13,False,2020-08-21 01:26:25+00:00,2020-08-21 01:36:15,2020
74,True,True,True,84,84,8,active,0,0,0,7,False,2020-08-21 01:32:22+00:00,2020-08-21 01:36:15,2020
75,True,True,True,85,85,0,active,0,0,0,19,False,2020-08-20 22:29:05+00:00,2020-08-21 01:36:15,2020
76,True,True,True,86,86,2,active,0,0,0,17,False,2020-08-21 01:25:46+00:00,2020-08-21 01:36:15,2020
77,True,True,True,87,87,7,active,0,0,1,7,False,2020-08-21 01:18:36+00:00,2020-08-21 01:36:15,2020
78,True,True,True,89,89,10,active,0,0,0,9,False,2020-08-21 01:21:08+00:00,2020-08-21 01:36:15,2020
79,True,True,True,90,90,12,active,0,0,0,7,False,2020-08-21 01:22:04+00:00,2020-08-21 01:36:15,2020
80,True,True,True,91,91,2,active,0,0,1,16,False,2020-08-21 01:34:14+00:00,2020-08-21 01:36:15,2020
81,True,True,True,92,92,8,active,0,0,1,10,False,2020-08-21 00:18:38+00:00,2020-08-21 01:36:15,2020
82,True,True,True,93,93,7,active,0,0,0,8,False,2020-08-21 01:06:28+00:00,2020-08-21 01:36:15,2020
83,True,True,True,94,94,7,active,0,0,1,3,False,2020-08-20 23:47:12+00:00,2020-08-21 01:36:15,2020
84,True,True,True,95,95,10,active,0,0,1,4,False,2020-08-21 01:30:42+00:00,2020-08-21 01:36:15,2020
85,True,True,True,96,96,11,active,0,0,0,8,False,2020-08-21 01:11:25+00:00,2020-08-21 01:36:15,2020
86,True,True,True,97,97,14,active,0,0,0,5,False,2020-08-21 01:22:40+00:00,2020-08-21 01:36:15,2020
87,True,True,True,98,98,20,active,0,0,0,3,False,2020-08-21 00:52:12+00:00,2020-08-21 01:36:15,2020
88,True,True,True,99,99,13,active,0,0,0,2,False,2020-08-21 01:23:49+00:00,2020-08-21 01:36:15,2020
89,True,True,True,100,100,15,active,0,0,1,9,True,2020-08-21 01:21:41+00:00,2020-08-21 01:36:15,2020
90,True,True,True,101,101,8,active,0,0,0,7,False,2020-08-21 00:23:19+00:00,2020-08-21 01:36:15,2020
91,True,True,True,102,102,5,active,0,0,0,10,False,2020-08-21 01:03:03+00:00,2020-08-21 01:36:15,2020
92,True,True,True,103,103,15,active,0,0,0,0,False,2020-08-21 01:01:01+00:00,2020-08-21 01:36:15,2020
93,True,True,True,104,104,9,active,0,0,0,10,False,2020-08-21 00:57:31+00:00,2020-08-21 01:36:15,2020
94,True,True,True,105,105,4,active,0,0,0,15,False,2020-08-21 01:29:13+00:00,2020-08-21 01:36:15,2020
95,True,True,True,106,106,7,active,0,0,0,8,False,2020-08-20 22:38:04+00:00,2020-08-21 01:36:15,2020
96,True,True,True,107,107,0,active,0,0,0,19,False,2020-08-21 01:29:47+00:00,2020-08-21 01:36:15,2020
97,True,True,True,108,108,0,active,0,0,0,17,False,2020-08-21 00:13:23+00:00,2020-08-21 01:36:15,2020
98,True,True,True,109,109,1,active,0,0,0,34,False,2020-08-21 00:42:22+00:00,2020-08-21 01:36:15,2020
99,True,True,True,110,110,1,active,0,0,1,13,False,2020-08-21 01:22:48+00:00,2020-08-21 01:36:15,2020
100,True,True,True,111,111,6,active,0,0,0,9,False,2020-08-20 22:33:35+00:00,2020-08-21 01:36:15,2020
101,True,True,True,112,112,4,active,0,0,0,11,False,2020-08-21 00:43:43+00:00,2020-08-21 01:36:15,2020
102,True,True,True,113,113,4,active,0,0,1,10,False,2020-08-21 00:49:01+00:00,2020-08-21 01:36:15,2020
103,True,True,True,114,114,4,active,0,0,0,11,False,2020-08-21 01:03:52+00:00,2020-08-21 01:36:15,2020
104,True,True,True,115,115,13,active,0,0,0,6,False,2020-08-21 01:33:22+00:00,2020-08-21 01:36:15,2020
105,True,True,True,116,116,9,active,0,0,0,14,False,2020-08-21 01:33:04+00:00,2020-08-21 01:36:15,2020
106,True,True,True,117,117,3,active,0,0,0,16,False,2020-08-21 00:35:09+00:00,2020-08-21 01:36:15,2020
107,True,True,True,118,118,11,active,0,0,2,6,False,2020-08-21 00:51:56+00:00,2020-08-21 01:36:15,2020
108,True,True,True,119,119,2,active,0,0,1,12,False,2020-08-21 01:35:22+00:00,2020-08-21 01:36:15,2020
109,True,True,True,120,120,3,active,0,0,1,11,False,2020-08-21 01:18:41+00:00,2020-08-21 01:36:15,2020
110,True,True,True,121,121,15,active,0,0,0,2,False,2020-08-21 01:23:23+00:00,2020-08-21 01:36:15,2020
111,True,True,True,122,122,7,active,0,0,2,6,False,2020-08-21 01:33:00+00:00,2020-08-21 01:36:15,2020
112,True,True,True,124,124,3,active,0,0,0,12,False,2020-08-21 00:34:41+00:00,2020-08-21 01:36:15,2020
113,True,True,True,125,125,9,active,0,0,1,5,False,2020-08-21 01:35:02+00:00,2020-08-21 01:36:15,2020
114,True,True,True,126,126,13,active,0,0,1,1,False,2020-08-20 22:46:02+00:00,2020-08-21 01:36:15,2020
115,True,True,True,128,128,4,active,0,0,0,15,False,2020-08-21 01:29:47+00:00,2020-08-21 01:36:15,2020
116,True,True,True,129,129,3,active,0,0,0,16,False,2020-08-21 00:29:04+00:00,2020-08-21 01:36:15,2020
117,True,True,True,130,130,10,active,0,0,0,5,False,2020-08-20 23:16:03+00:00,2020-08-21 01:36:15,2020
118,True,True,True,131,131,18,active,0,0,0,0,False,2020-08-21 01:20:22+00:00,2020-08-21 01:36:15,2020
119,True,True,True,133,133,11,active,0,0,1,11,False,2020-08-21 01:28:22+00:00,2020-08-21 01:36:15,2020
120,True,True,True,135,135,0,active,0,0,0,17,False,2020-08-21 00:18:40+00:00,2020-08-21 01:36:15,2020
121,True,True,True,136,136,0,active,0,0,0,19,False,2020-08-20 21:34:48+00:00,2020-08-21 01:36:15,2020
122,True,True,True,137,137,7,active,0,0,0,8,False,2020-08-21 00:26:01+00:00,2020-08-21 01:36:15,2020
123,True,True,True,138,138,4,active,0,0,2,9,False,2020-08-21 00:41:58+00:00,2020-08-21 01:36:15,2020
124,True,True,True,139,139,12,active,0,0,0,7,False,2020-08-21 01:32:40+00:00,2020-08-21 01:36:15,2020
125,True,True,True,140,140,15,active,0,0,0,2,False,2020-08-21 00:34:00+00:00,2020-08-21 01:36:15,2020
126,True,True,True,141,141,1,active,0,0,0,14,False,2020-08-21 00:50:54+00:00,2020-08-21 01:36:15,2020
127,True,True,True,142,142,19,active,0,0,0,4,False,2020-08-21 00:43:48+00:00,2020-08-21 01:36:15,2020
128,True,True,True,143,143,13,active,0,0,0,10,False,2020-08-21 00:45:50+00:00,2020-08-21 01:36:15,2020
129,True,True,True,144,144,18,active,0,0,0,1,False,2020-08-21 00:23:51+00:00,2020-08-21 01:36:15,2020
130,True,True,True,145,145,12,active,0,0,0,7,False,2020-08-21 00:45:11+00:00,2020-08-21 01:36:15,2020
131,True,True,True,146,146,9,active,0,0,0,10,False,2020-08-21 00:36:42+00:00,2020-08-21 01:36:15,2020
132,True,True,True,149,149,5,active,0,0,2,11,True,2020-08-21 01:33:43+00:00,2020-08-21 01:36:15,2020
133,True,True,True,150,150,6,active,0,0,0,13,False,2020-08-21 00:07:25+00:00,2020-08-21 01:36:15,2020
134,True,True,True,151,151,1,active,0,0,0,18,False,2020-08-21 01:04:48+00:00,2020-08-21 01:36:15,2020
135,True,True,True,152,152,4,active,0,0,1,10,True,2020-08-21 01:10:11+00:00,2020-08-21 01:36:15,2020
136,True,True,True,156,156,5,active,0,0,0,10,False,2020-08-21 00:50:41+00:00,2020-08-21 01:36:15,2020
137,True,True,True,157,157,3,active,0,0,2,10,False,2020-08-21 01:28:20+00:00,2020-08-21 01:36:15,2020
138,True,True,True,159,159,4,active,0,0,1,10,False,2020-08-21 01:28:15+00:00,2020-08-21 01:36:15,2020
139,True,True,True,160,160,10,active,0,0,0,4,True,2020-08-21 01:03:19+00:00,2020-08-21 01:36:15,2020
140,True,True,True,161,161,22,active,0,0,0,1,True,2020-08-21 00:44:29+00:00,2020-08-21 01:36:15,2020
141,True,True,True,162,162,6,active,0,0,0,9,False,2020-08-20 19:32:17+00:00,2020-08-21 01:36:15,2020
142,True,True,True,163,163,12,active,0,0,0,7,True,2020-08-21 01:05:30+00:00,2020-08-21 01:36:15,2020
143,True,True,True,167,167,8,active,0,0,0,7,False,2020-08-21 01:22:30+00:00,2020-08-21 01:36:15,2020
144,True,True,True,169,169,8,active,0,0,0,11,False,2020-08-20 23:56:41+00:00,2020-08-21 01:36:15,2020
145,True,True,True,170,170,7,active,0,0,0,7,True,2020-08-20 23:12:03+00:00,2020-08-21 01:36:15,2020
