,is_returning,num_bikes_available,station_id,num_bikes_disabled,is_installed,num_docks_disabled,station_status,is_renting,num_docks_available,legacy_id,last_reported,eightd_has_available_keys,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
189,True,8,217,0,True,0,active,True,11,217,2020-08-13 23:59:25+00:00,False,0,,,2020-08-14 00:52:45,2020
190,True,15,218,0,True,0,active,True,0,218,2020-08-14 00:46:54+00:00,False,0,,,2020-08-14 00:52:45,2020
191,True,4,219,1,True,0,active,True,10,219,2020-08-14 00:28:52+00:00,False,0,,,2020-08-14 00:52:45,2020
192,True,8,221,0,True,0,active,True,11,221,2020-08-14 00:48:19+00:00,False,0,,,2020-08-14 00:52:45,2020
193,True,3,222,0,True,0,active,True,11,222,2020-08-14 00:45:02+00:00,True,0,,,2020-08-14 00:52:45,2020
194,True,12,224,2,True,0,active,True,3,224,2020-08-13 23:27:44+00:00,False,0,,,2020-08-14 00:52:45,2020
195,True,5,225,0,True,0,active,True,14,225,2020-08-14 00:36:09+00:00,False,0,,,2020-08-14 00:52:45,2020
196,True,4,226,0,True,0,active,True,11,226,2020-08-14 00:51:01+00:00,False,0,,,2020-08-14 00:52:45,2020
197,True,13,227,3,True,0,active,True,3,227,2020-08-14 00:31:02+00:00,False,0,,,2020-08-14 00:52:45,2020
198,True,1,228,0,True,0,active,True,18,228,2020-08-14 00:15:20+00:00,False,0,,,2020-08-14 00:52:45,2020
199,True,6,232,0,True,0,active,True,5,232,2020-08-13 22:59:36+00:00,False,0,,,2020-08-14 00:52:45,2020
200,True,7,233,0,True,0,active,True,8,233,2020-08-14 00:49:34+00:00,False,0,,,2020-08-14 00:52:45,2020
201,True,4,234,0,True,0,active,True,11,234,2020-08-14 00:34:17+00:00,False,0,,,2020-08-14 00:52:45,2020
202,True,7,235,0,True,0,active,True,8,235,2020-08-13 21:34:16+00:00,False,0,,,2020-08-14 00:52:45,2020
203,True,9,236,0,True,0,active,True,6,236,2020-08-14 00:21:37+00:00,False,0,,,2020-08-14 00:52:45,2020
204,True,7,239,0,True,0,active,True,8,239,2020-08-14 00:37:01+00:00,False,0,,,2020-08-14 00:52:45,2020
205,True,10,255,0,True,0,active,True,5,255,2020-08-13 12:33:28+00:00,False,0,,,2020-08-14 00:52:45,2020
