,station_id,is_renting,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,last_reported,eightd_active_station_services,num_docks_disabled,is_returning,legacy_id,is_installed,num_bikes_available,num_docks_available,station_status,valet,timestamp_of_data_read_request,year_station_last_reported
63,71,True,0,0,False,2020-08-03 15:01:33+00:00,,0,True,71,True,7,16,active,,2020-08-03 15:11:55,2020
64,72,True,0,0,False,2020-08-03 15:00:34+00:00,,0,True,72,True,10,13,active,,2020-08-03 15:11:55,2020
65,73,True,0,0,False,2020-08-03 13:01:35+00:00,,0,True,73,True,15,0,active,,2020-08-03 15:11:55,2020
66,74,True,0,4,True,2020-08-03 15:03:11+00:00,,0,True,74,True,15,0,active,,2020-08-03 15:11:55,2020
67,75,True,0,0,False,2020-08-03 12:47:04+00:00,,0,True,75,True,0,15,active,,2020-08-03 15:11:55,2020
68,76,True,0,0,False,2020-08-03 15:09:12+00:00,,0,True,76,True,4,13,active,,2020-08-03 15:11:55,2020
69,77,True,0,0,False,2020-08-03 14:48:02+00:00,,0,True,77,True,0,15,active,,2020-08-03 15:11:55,2020
70,78,True,0,1,False,2020-08-03 14:43:03+00:00,,0,True,78,True,4,14,active,,2020-08-03 15:11:55,2020
71,79,True,0,0,False,2020-08-03 15:11:17+00:00,,0,True,79,True,9,10,active,,2020-08-03 15:11:55,2020
72,80,True,0,1,False,2020-08-03 14:58:46+00:00,,0,True,80,True,33,1,active,,2020-08-03 15:11:55,2020
73,81,True,0,0,False,2020-08-03 15:04:25+00:00,,0,True,81,True,5,14,active,,2020-08-03 15:11:55,2020
74,82,True,0,0,False,2020-08-03 14:01:41+00:00,,0,True,82,True,3,12,active,,2020-08-03 15:11:55,2020
75,84,True,0,1,False,2020-08-03 13:32:05+00:00,,0,True,84,True,1,13,active,,2020-08-03 15:11:55,2020
76,85,True,0,0,False,2020-08-03 12:24:48+00:00,,0,True,85,True,18,1,active,,2020-08-03 15:11:55,2020
77,86,True,0,0,False,2020-08-03 14:44:36+00:00,,0,True,86,True,13,6,active,,2020-08-03 15:11:55,2020
78,87,True,0,0,False,2020-08-03 14:59:21+00:00,,0,True,87,True,4,11,active,,2020-08-03 15:11:55,2020
79,89,True,0,1,False,2020-08-03 14:58:35+00:00,,0,True,89,True,12,6,active,,2020-08-03 15:11:55,2020
80,90,True,0,0,False,2020-08-03 14:36:20+00:00,,0,True,90,True,6,13,active,,2020-08-03 15:11:55,2020
81,91,True,0,1,False,2020-08-03 15:05:36+00:00,,0,True,91,True,17,1,active,,2020-08-03 15:11:55,2020
82,92,True,0,0,False,2020-08-03 08:43:47+00:00,,0,True,92,True,19,0,active,,2020-08-03 15:11:55,2020
83,93,True,0,2,False,2020-08-03 14:37:20+00:00,,0,True,93,True,11,2,active,,2020-08-03 15:11:55,2020
84,94,True,0,0,False,2020-08-03 14:58:02+00:00,,0,True,94,True,4,7,active,,2020-08-03 15:11:55,2020
85,95,True,0,0,False,2020-08-03 14:54:34+00:00,,0,True,95,True,2,13,active,,2020-08-03 15:11:55,2020
86,96,True,0,0,False,2020-08-03 14:51:37+00:00,,0,True,96,True,4,15,active,,2020-08-03 15:11:55,2020
87,97,True,0,1,False,2020-08-03 14:50:15+00:00,,0,True,97,True,2,16,active,,2020-08-03 15:11:55,2020
88,98,True,0,2,False,2020-08-03 14:56:27+00:00,,0,True,98,True,4,16,active,,2020-08-03 15:11:55,2020
89,99,True,0,0,False,2020-08-03 14:23:39+00:00,,0,True,99,True,11,4,active,,2020-08-03 15:11:55,2020
90,100,True,0,1,True,2020-08-03 14:00:35+00:00,,0,True,100,True,18,6,active,,2020-08-03 15:11:55,2020
91,101,True,0,0,False,2020-08-03 14:54:24+00:00,,0,True,101,True,13,2,active,,2020-08-03 15:11:55,2020
92,102,True,0,0,False,2020-08-03 13:41:07+00:00,,0,True,102,True,12,3,active,,2020-08-03 15:11:55,2020
93,103,True,0,1,False,2020-08-03 14:17:15+00:00,,0,True,103,True,0,14,active,,2020-08-03 15:11:55,2020
94,104,True,0,1,False,2020-08-03 15:00:25+00:00,,0,True,104,True,7,11,active,,2020-08-03 15:11:55,2020
95,105,True,0,0,False,2020-08-03 15:01:28+00:00,,0,True,105,True,6,13,active,,2020-08-03 15:11:55,2020
96,106,True,0,0,False,2020-08-03 14:01:47+00:00,,0,True,106,True,6,9,active,,2020-08-03 15:11:55,2020
97,107,True,0,1,False,2020-08-03 15:11:26+00:00,,0,True,107,True,12,6,active,,2020-08-03 15:11:55,2020
98,108,True,0,1,False,2020-08-03 14:27:53+00:00,,0,True,108,True,10,6,active,,2020-08-03 15:11:55,2020
99,109,True,0,1,False,2020-08-03 11:27:59+00:00,,0,True,109,True,23,11,active,,2020-08-03 15:11:55,2020
100,110,True,0,1,False,2020-08-03 14:33:21+00:00,,0,True,110,True,6,8,active,,2020-08-03 15:11:55,2020
101,111,True,0,0,False,2020-08-03 14:55:39+00:00,,0,True,111,True,0,15,active,,2020-08-03 15:11:55,2020
102,112,True,0,0,False,2020-08-03 12:08:03+00:00,,0,True,112,True,12,3,active,,2020-08-03 15:11:55,2020
103,113,True,0,0,False,2020-08-03 14:42:41+00:00,,0,True,113,True,5,10,active,,2020-08-03 15:11:55,2020
104,114,True,0,0,False,2020-08-03 13:51:26+00:00,,0,True,114,True,12,3,active,,2020-08-03 15:11:55,2020
105,115,True,0,1,False,2020-08-03 14:08:24+00:00,,0,True,115,True,15,3,active,,2020-08-03 15:11:55,2020
106,116,True,0,0,False,2020-08-03 15:07:24+00:00,,0,True,116,True,1,22,active,,2020-08-03 15:11:55,2020
107,117,True,0,0,False,2020-08-03 14:20:07+00:00,,0,True,117,True,0,19,active,,2020-08-03 15:11:55,2020
108,118,True,0,0,False,2020-08-03 14:01:56+00:00,,0,True,118,True,17,2,active,,2020-08-03 15:11:55,2020
109,119,True,0,0,False,2020-08-03 14:22:59+00:00,,0,True,119,True,1,14,active,,2020-08-03 15:11:55,2020
110,120,True,0,2,False,2020-08-03 15:05:03+00:00,,0,True,120,True,5,8,active,,2020-08-03 15:11:55,2020
111,121,True,0,0,False,2020-08-03 14:49:52+00:00,,0,True,121,True,1,16,active,,2020-08-03 15:11:55,2020
112,122,True,0,0,False,2020-08-03 15:06:23+00:00,,0,True,122,True,7,8,active,,2020-08-03 15:11:55,2020
113,124,True,0,0,False,2020-08-03 12:13:30+00:00,,0,True,124,True,3,12,active,,2020-08-03 15:11:55,2020
114,125,True,0,0,False,2020-08-03 14:35:59+00:00,,0,True,125,True,0,15,active,,2020-08-03 15:11:55,2020
115,126,True,0,1,False,2020-08-03 15:04:48+00:00,,0,True,126,True,7,7,active,,2020-08-03 15:11:55,2020
116,128,True,0,0,False,2020-08-03 12:35:10+00:00,,0,True,128,True,16,3,active,,2020-08-03 15:11:55,2020
117,129,True,0,0,False,2020-08-03 14:51:20+00:00,,0,True,129,True,15,4,active,,2020-08-03 15:11:55,2020
118,130,True,0,0,False,2020-08-03 05:39:14+00:00,,0,True,130,True,15,0,active,,2020-08-03 15:11:55,2020
119,131,True,0,2,False,2020-08-03 13:59:30+00:00,,0,True,131,True,5,11,active,,2020-08-03 15:11:55,2020
120,133,True,0,0,False,2020-08-03 15:01:08+00:00,,0,True,133,True,12,11,active,,2020-08-03 15:11:55,2020
