,num_bikes_available,eightd_has_available_keys,is_installed,station_status,num_docks_disabled,legacy_id,is_returning,num_docks_available,num_bikes_disabled,num_ebikes_available,is_renting,last_reported,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
107,8,False,True,active,0,118,True,11,0,0,True,2020-08-20 14:45:22+00:00,118,,,2020-08-20 15:02:25,2020
108,3,False,True,active,0,119,True,10,2,0,True,2020-08-20 14:45:33+00:00,119,,,2020-08-20 15:02:25,2020
109,12,False,True,active,0,120,True,3,0,0,True,2020-08-20 14:38:51+00:00,120,,,2020-08-20 15:02:25,2020
110,9,False,True,active,0,121,True,7,1,0,True,2020-08-20 14:44:52+00:00,121,,,2020-08-20 15:02:25,2020
111,9,False,True,active,0,122,True,5,1,0,True,2020-08-20 14:51:43+00:00,122,,,2020-08-20 15:02:25,2020
112,3,False,True,active,0,124,True,12,0,0,True,2020-08-20 14:51:04+00:00,124,,,2020-08-20 15:02:25,2020
113,2,False,True,active,1,125,True,12,0,0,True,2020-08-20 14:57:22+00:00,125,,,2020-08-20 15:02:25,2020
114,10,False,True,active,0,126,True,4,1,0,True,2020-08-20 13:25:50+00:00,126,,,2020-08-20 15:02:25,2020
115,9,False,True,active,0,128,True,10,0,0,True,2020-08-20 14:58:59+00:00,128,,,2020-08-20 15:02:25,2020
116,5,False,True,active,0,129,True,14,0,0,True,2020-08-20 13:35:05+00:00,129,,,2020-08-20 15:02:25,2020
117,14,False,True,active,0,130,True,1,0,0,True,2020-08-20 14:10:36+00:00,130,,,2020-08-20 15:02:25,2020
118,7,False,True,active,0,131,True,11,0,0,True,2020-08-20 14:13:09+00:00,131,,,2020-08-20 15:02:25,2020
119,15,False,True,active,0,133,True,7,1,0,True,2020-08-20 14:25:35+00:00,133,,,2020-08-20 15:02:25,2020
120,5,False,True,active,0,135,True,12,0,0,True,2020-08-20 14:31:07+00:00,135,,,2020-08-20 15:02:25,2020
121,5,False,True,active,0,136,True,14,0,0,True,2020-08-20 14:40:29+00:00,136,,,2020-08-20 15:02:25,2020
122,6,False,True,active,0,137,True,9,0,0,True,2020-08-20 13:35:23+00:00,137,,,2020-08-20 15:02:25,2020
123,12,False,True,active,0,138,True,3,0,0,True,2020-08-20 14:58:41+00:00,138,,,2020-08-20 15:02:25,2020
124,3,False,True,active,0,139,True,16,0,0,True,2020-08-20 14:58:45+00:00,139,,,2020-08-20 15:02:25,2020
125,11,False,True,active,0,140,True,6,0,0,True,2020-08-20 14:36:39+00:00,140,,,2020-08-20 15:02:25,2020
126,8,False,True,active,0,141,True,7,0,0,True,2020-08-20 14:58:25+00:00,141,,,2020-08-20 15:02:25,2020
127,18,False,True,active,0,142,True,5,0,0,True,2020-08-20 13:40:16+00:00,142,,,2020-08-20 15:02:25,2020
128,7,False,True,active,0,143,True,16,0,0,True,2020-08-20 14:22:51+00:00,143,,,2020-08-20 15:02:25,2020
129,11,False,True,active,0,144,True,8,0,0,True,2020-08-20 14:52:53+00:00,144,,,2020-08-20 15:02:25,2020
130,12,False,True,active,0,145,True,6,1,0,True,2020-08-20 14:27:02+00:00,145,,,2020-08-20 15:02:25,2020
131,12,False,True,active,0,146,True,7,0,0,True,2020-08-20 14:36:37+00:00,146,,,2020-08-20 15:02:25,2020
132,8,True,True,active,0,149,True,9,1,0,True,2020-08-20 14:57:37+00:00,149,,,2020-08-20 15:02:25,2020
133,9,False,True,active,0,150,True,9,1,0,True,2020-08-20 14:42:39+00:00,150,,,2020-08-20 15:02:25,2020
134,11,False,True,active,0,151,True,8,0,0,True,2020-08-20 14:45:46+00:00,151,,,2020-08-20 15:02:25,2020
135,9,True,True,active,0,152,True,6,0,0,True,2020-08-20 14:50:20+00:00,152,,,2020-08-20 15:02:25,2020
136,6,False,True,active,0,156,True,8,1,0,True,2020-08-20 13:08:47+00:00,156,,,2020-08-20 15:02:25,2020
137,12,False,True,active,0,157,True,3,0,0,True,2020-08-20 14:40:31+00:00,157,,,2020-08-20 15:02:25,2020
138,0,False,True,active,0,159,True,15,0,0,True,2020-08-20 12:33:26+00:00,159,,,2020-08-20 15:02:25,2020
139,7,True,True,active,0,160,True,7,0,0,True,2020-08-20 14:58:38+00:00,160,,,2020-08-20 15:02:25,2020
140,13,True,True,active,0,161,True,9,1,0,True,2020-08-20 15:00:14+00:00,161,,,2020-08-20 15:02:25,2020
141,7,False,True,active,0,162,True,8,0,0,True,2020-08-20 13:50:21+00:00,162,,,2020-08-20 15:02:25,2020
142,13,True,True,active,0,163,True,6,0,0,True,2020-08-20 15:02:01+00:00,163,,,2020-08-20 15:02:25,2020
143,7,False,True,active,0,167,True,8,0,0,True,2020-08-20 14:10:20+00:00,167,,,2020-08-20 15:02:25,2020
144,0,False,True,active,0,169,True,19,0,0,True,2020-08-20 13:48:17+00:00,169,,,2020-08-20 15:02:25,2020
145,9,True,True,active,0,170,True,5,0,0,True,2020-08-20 08:35:44+00:00,170,,,2020-08-20 15:02:25,2020
146,5,True,True,active,0,171,True,18,0,0,True,2020-08-20 14:32:12+00:00,171,,,2020-08-20 15:02:25,2020
147,6,True,True,active,0,173,True,8,0,0,True,2020-08-20 14:30:48+00:00,173,,,2020-08-20 15:02:25,2020
148,6,False,True,active,0,174,True,8,1,0,True,2020-08-20 14:41:45+00:00,174,,,2020-08-20 15:02:25,2020
149,6,True,True,active,0,175,True,9,2,0,True,2020-08-20 14:11:50+00:00,175,,,2020-08-20 15:02:25,2020
150,8,False,True,active,0,176,True,7,0,0,True,2020-08-20 14:44:24+00:00,176,,,2020-08-20 15:02:25,2020
151,6,False,True,active,0,177,True,12,1,0,True,2020-08-20 14:32:59+00:00,177,,,2020-08-20 15:02:25,2020
152,10,False,True,active,0,178,True,8,1,0,True,2020-08-20 15:00:41+00:00,178,,,2020-08-20 15:02:25,2020
153,8,False,True,active,0,179,True,16,1,0,True,2020-08-20 14:50:38+00:00,179,,,2020-08-20 15:02:25,2020
154,16,False,True,active,0,180,True,3,0,0,True,2020-08-20 11:37:52+00:00,180,,,2020-08-20 15:02:25,2020
155,3,False,True,active,0,181,True,16,0,0,True,2020-08-20 12:54:28+00:00,181,,,2020-08-20 15:02:25,2020
