,last_reported,station_status,is_installed,station_id,legacy_id,num_docks_disabled,num_bikes_available,eightd_has_available_keys,is_renting,num_ebikes_available,is_returning,num_docks_available,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
64,2020-07-29 19:15:52+00:00,active,True,73,73,0,7,False,True,0,True,7,1,,,2020-07-29 19:16:00,2020
65,2020-07-29 19:11:40+00:00,active,True,74,74,0,13,True,True,0,True,4,2,,,2020-07-29 19:16:00,2020
66,2020-07-29 18:35:15+00:00,active,True,75,75,0,7,False,True,0,True,8,0,,,2020-07-29 19:16:00,2020
67,2020-07-29 18:59:43+00:00,active,True,76,76,0,6,False,True,0,True,10,1,,,2020-07-29 19:16:00,2020
68,2020-07-29 18:30:57+00:00,active,True,77,77,0,5,False,True,0,True,10,0,,,2020-07-29 19:16:00,2020
69,2020-07-29 18:23:39+00:00,active,True,78,78,0,10,False,True,0,True,9,0,,,2020-07-29 19:16:00,2020
70,2020-07-29 18:55:45+00:00,active,True,79,79,0,4,False,True,0,True,15,0,,,2020-07-29 19:16:00,2020
71,2020-07-29 19:04:09+00:00,active,True,80,80,0,30,False,True,0,True,1,4,,,2020-07-29 19:16:00,2020
72,2020-07-29 19:03:21+00:00,active,True,81,81,0,3,False,True,0,True,16,0,,,2020-07-29 19:16:00,2020
73,2020-07-29 18:58:10+00:00,active,True,82,82,0,1,False,True,0,True,14,0,,,2020-07-29 19:16:00,2020
74,2020-07-29 19:06:27+00:00,active,True,84,84,0,13,False,True,0,True,1,1,,,2020-07-29 19:16:00,2020
75,2020-07-29 18:33:56+00:00,active,True,85,85,0,12,False,True,0,True,6,1,,,2020-07-29 19:16:00,2020
76,2020-07-29 18:57:01+00:00,active,True,86,86,0,3,False,True,0,True,15,1,,,2020-07-29 19:16:00,2020
77,2020-07-29 19:03:49+00:00,active,True,87,87,0,1,False,True,0,True,13,1,,,2020-07-29 19:16:00,2020
78,2020-07-29 18:40:53+00:00,active,True,89,89,0,10,False,True,0,True,9,0,,,2020-07-29 19:16:00,2020
79,2020-07-29 19:15:31+00:00,active,True,90,90,0,10,False,True,0,True,9,0,,,2020-07-29 19:16:00,2020
80,2020-07-29 19:07:12+00:00,active,True,91,91,0,12,False,True,0,True,4,3,,,2020-07-29 19:16:00,2020
81,2020-07-29 18:54:16+00:00,active,True,92,92,0,13,False,True,0,True,6,0,,,2020-07-29 19:16:00,2020
82,2020-07-29 19:11:23+00:00,active,True,93,93,0,2,False,True,0,True,10,3,,,2020-07-29 19:16:00,2020
83,2020-07-29 18:33:31+00:00,active,True,94,94,0,8,False,True,0,True,3,0,,,2020-07-29 19:16:00,2020
84,2020-07-29 18:25:54+00:00,active,True,95,95,0,4,False,True,0,True,11,0,,,2020-07-29 19:16:00,2020
85,2020-07-29 17:51:24+00:00,active,True,96,96,0,2,False,True,0,True,17,0,,,2020-07-29 19:16:00,2020
86,2020-07-29 19:13:52+00:00,active,True,97,97,0,6,False,True,0,True,12,1,,,2020-07-29 19:16:00,2020
87,2020-07-29 18:57:29+00:00,active,True,98,98,0,9,False,True,0,True,13,0,,,2020-07-29 19:16:00,2020
88,2020-07-29 18:23:58+00:00,active,True,99,99,0,7,False,True,0,True,6,2,,,2020-07-29 19:16:00,2020
89,2020-07-29 19:15:12+00:00,active,True,100,100,0,17,True,True,0,True,7,1,,,2020-07-29 19:16:00,2020
90,2020-07-29 18:19:25+00:00,active,True,101,101,0,1,False,True,0,True,14,0,,,2020-07-29 19:16:00,2020
91,2020-07-29 18:07:51+00:00,active,True,102,102,0,0,False,True,0,True,15,0,,,2020-07-29 19:16:00,2020
92,2020-07-29 19:13:19+00:00,active,True,103,103,0,3,False,True,0,True,12,0,,,2020-07-29 19:16:00,2020
93,2020-07-29 19:12:30+00:00,active,True,104,104,0,10,False,True,0,True,8,1,,,2020-07-29 19:16:00,2020
94,2020-07-29 19:02:29+00:00,active,True,105,105,0,9,False,True,0,True,8,2,,,2020-07-29 19:16:00,2020
95,2020-07-29 12:13:40+00:00,active,True,106,106,0,11,False,True,0,True,4,0,,,2020-07-29 19:16:00,2020
96,2020-07-29 19:15:53+00:00,active,True,107,107,0,8,False,True,0,True,10,1,,,2020-07-29 19:16:00,2020
97,2020-07-29 19:15:07+00:00,active,True,108,108,0,17,False,True,0,True,0,0,,,2020-07-29 19:16:00,2020
98,2020-07-29 18:46:27+00:00,active,True,109,109,0,21,False,True,0,True,12,2,,,2020-07-29 19:16:00,2020
