,legacy_id,num_ebikes_available,num_docks_disabled,is_installed,is_returning,last_reported,num_bikes_available,station_status,num_bikes_disabled,eightd_has_available_keys,station_id,num_docks_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
67,76,0,0,True,True,2020-07-28 22:56:24+00:00,4,active,0,False,76,13,True,,,2020-07-28 23:05:10,2020
68,77,0,0,True,True,2020-07-28 22:21:18+00:00,7,active,0,False,77,8,True,,,2020-07-28 23:05:10,2020
69,78,0,0,True,True,2020-07-28 22:55:49+00:00,10,active,0,False,78,9,True,,,2020-07-28 23:05:10,2020
70,79,0,0,True,True,2020-07-28 23:03:33+00:00,5,active,2,False,79,12,True,,,2020-07-28 23:05:10,2020
71,80,0,0,True,True,2020-07-28 22:39:18+00:00,13,active,0,False,80,22,True,,,2020-07-28 23:05:10,2020
72,81,0,0,True,True,2020-07-28 22:51:27+00:00,11,active,0,False,81,8,True,,,2020-07-28 23:05:10,2020
73,82,0,0,True,True,2020-07-28 23:01:31+00:00,1,active,0,False,82,14,True,,,2020-07-28 23:05:10,2020
74,84,0,0,True,True,2020-07-28 22:31:00+00:00,1,active,2,False,84,12,True,,,2020-07-28 23:05:10,2020
75,85,0,0,True,True,2020-07-28 22:58:42+00:00,2,active,0,False,85,17,True,,,2020-07-28 23:05:10,2020
76,86,0,0,True,True,2020-07-28 22:49:21+00:00,8,active,0,False,86,11,True,,,2020-07-28 23:05:10,2020
77,87,0,0,True,True,2020-07-28 22:50:43+00:00,14,active,0,False,87,1,True,,,2020-07-28 23:05:10,2020
78,89,0,0,True,True,2020-07-28 22:47:44+00:00,5,active,2,False,89,12,True,,,2020-07-28 23:05:10,2020
79,90,0,0,True,True,2020-07-28 23:04:57+00:00,14,active,0,False,90,5,True,,,2020-07-28 23:05:10,2020
80,91,0,0,True,True,2020-07-28 22:48:46+00:00,2,active,1,False,91,16,True,,,2020-07-28 23:05:10,2020
81,92,0,0,True,True,2020-07-28 22:45:10+00:00,12,active,1,False,92,6,True,,,2020-07-28 23:05:10,2020
82,93,0,0,True,True,2020-07-28 22:51:51+00:00,6,active,1,False,93,8,True,,,2020-07-28 23:05:10,2020
83,94,0,0,True,True,2020-07-28 22:43:53+00:00,9,active,0,False,94,2,True,,,2020-07-28 23:05:10,2020
84,95,0,0,True,True,2020-07-28 22:54:56+00:00,8,active,2,False,95,5,True,,,2020-07-28 23:05:10,2020
85,96,0,0,True,True,2020-07-28 23:01:57+00:00,4,active,0,False,96,15,True,,,2020-07-28 23:05:10,2020
86,97,0,0,True,True,2020-07-28 22:59:16+00:00,4,active,0,False,97,15,True,,,2020-07-28 23:05:10,2020
87,98,0,0,True,True,2020-07-28 22:37:45+00:00,18,active,0,False,98,4,True,,,2020-07-28 23:05:10,2020
88,99,0,0,True,True,2020-07-28 23:04:56+00:00,10,active,0,False,99,5,True,,,2020-07-28 23:05:10,2020
89,100,0,0,True,True,2020-07-28 22:40:29+00:00,14,active,2,True,100,9,True,,,2020-07-28 23:05:10,2020
90,101,0,0,True,True,2020-07-28 21:22:55+00:00,1,active,0,False,101,14,True,,,2020-07-28 23:05:10,2020
91,102,0,0,True,True,2020-07-28 22:09:08+00:00,1,active,0,False,102,14,True,,,2020-07-28 23:05:10,2020
92,103,0,0,True,True,2020-07-28 22:47:33+00:00,2,active,0,False,103,13,True,,,2020-07-28 23:05:10,2020
93,104,0,0,True,True,2020-07-28 23:02:39+00:00,8,active,1,False,104,10,True,,,2020-07-28 23:05:10,2020
94,105,0,0,True,True,2020-07-28 22:41:08+00:00,18,active,1,False,105,0,True,,,2020-07-28 23:05:10,2020
95,106,0,0,True,True,2020-07-28 21:23:16+00:00,11,active,0,False,106,4,True,,,2020-07-28 23:05:10,2020
96,107,0,0,True,True,2020-07-28 22:54:40+00:00,0,active,1,False,107,18,True,,,2020-07-28 23:05:10,2020
97,108,0,0,True,True,2020-07-28 22:53:07+00:00,15,active,0,False,108,2,True,,,2020-07-28 23:05:10,2020
98,109,0,0,True,True,2020-07-28 21:11:31+00:00,22,active,2,False,109,11,True,,,2020-07-28 23:05:10,2020
99,110,0,0,True,True,2020-07-28 22:40:16+00:00,1,active,3,False,110,11,True,,,2020-07-28 23:05:10,2020
100,111,0,0,True,True,2020-07-28 22:57:47+00:00,0,active,1,False,111,14,True,,,2020-07-28 23:05:10,2020
101,112,0,0,True,True,2020-07-28 22:59:24+00:00,8,active,0,False,112,7,True,,,2020-07-28 23:05:10,2020
102,113,0,0,True,True,2020-07-28 23:05:04+00:00,3,active,0,False,113,12,True,,,2020-07-28 23:05:10,2020
103,114,0,0,True,True,2020-07-28 22:21:07+00:00,4,active,0,False,114,11,True,,,2020-07-28 23:05:10,2020
104,115,0,0,True,True,2020-07-28 22:51:40+00:00,11,active,0,False,115,8,True,,,2020-07-28 23:05:10,2020
105,116,0,0,True,True,2020-07-28 22:50:46+00:00,6,active,0,False,116,17,True,,,2020-07-28 23:05:10,2020
106,117,0,0,True,True,2020-07-28 22:07:07+00:00,17,active,0,False,117,2,True,,,2020-07-28 23:05:10,2020
107,118,0,0,True,True,2020-07-28 22:37:28+00:00,13,active,0,False,118,6,True,,,2020-07-28 23:05:10,2020
108,119,0,0,True,True,2020-07-28 23:01:23+00:00,12,active,1,False,119,2,True,,,2020-07-28 23:05:10,2020
109,120,0,0,True,True,2020-07-28 23:05:10+00:00,12,active,1,False,120,2,True,,,2020-07-28 23:05:10,2020
110,121,0,0,True,True,2020-07-28 22:58:34+00:00,6,active,0,False,121,11,True,,,2020-07-28 23:05:10,2020
111,122,0,0,True,True,2020-07-28 22:59:47+00:00,11,active,0,False,122,4,True,,,2020-07-28 23:05:10,2020
112,124,0,0,True,True,2020-07-28 22:29:08+00:00,2,active,1,False,124,12,True,,,2020-07-28 23:05:10,2020
113,125,0,0,True,True,2020-07-28 23:01:55+00:00,4,active,0,False,125,11,True,,,2020-07-28 23:05:10,2020
114,126,0,0,True,True,2020-07-28 22:42:29+00:00,2,active,0,False,126,13,True,,,2020-07-28 23:05:10,2020
115,128,0,0,True,True,2020-07-28 23:02:06+00:00,13,active,1,False,128,5,True,,,2020-07-28 23:05:10,2020
116,129,0,0,True,True,2020-07-28 21:50:21+00:00,8,active,0,False,129,11,True,,,2020-07-28 23:05:10,2020
117,130,0,0,True,True,2020-07-28 22:45:44+00:00,7,active,0,False,130,8,True,,,2020-07-28 23:05:10,2020
118,131,0,0,True,True,2020-07-28 22:49:46+00:00,17,active,1,False,131,0,True,,,2020-07-28 23:05:10,2020
119,133,0,0,True,True,2020-07-28 22:44:38+00:00,13,active,1,False,133,9,True,,,2020-07-28 23:05:10,2020
120,135,0,0,True,True,2020-07-28 21:24:18+00:00,7,active,2,False,135,8,True,,,2020-07-28 23:05:10,2020
121,136,0,0,True,True,2020-07-28 22:46:44+00:00,13,active,1,False,136,5,True,,,2020-07-28 23:05:10,2020
122,137,0,0,True,True,2020-07-28 23:04:02+00:00,2,active,0,False,137,13,True,,,2020-07-28 23:05:10,2020
123,138,0,0,True,True,2020-07-28 21:20:05+00:00,6,active,1,False,138,8,True,,,2020-07-28 23:05:10,2020
124,139,0,0,True,True,2020-07-28 23:03:11+00:00,9,active,1,False,139,9,True,,,2020-07-28 23:05:10,2020
125,140,0,0,True,True,2020-07-28 22:43:25+00:00,5,active,2,False,140,10,True,,,2020-07-28 23:05:10,2020
126,141,0,0,True,True,2020-07-28 22:51:05+00:00,5,active,1,False,141,9,True,,,2020-07-28 23:05:10,2020
127,142,0,0,True,True,2020-07-28 22:36:30+00:00,20,active,1,False,142,2,True,,,2020-07-28 23:05:10,2020
128,143,0,0,True,True,2020-07-28 22:50:16+00:00,5,active,2,False,143,16,True,,,2020-07-28 23:05:10,2020
129,144,0,0,True,True,2020-07-28 22:23:53+00:00,14,active,0,False,144,5,True,,,2020-07-28 23:05:10,2020
130,145,0,0,True,True,2020-07-28 22:03:13+00:00,6,active,0,False,145,13,True,,,2020-07-28 23:05:10,2020
131,146,0,0,True,True,2020-07-28 22:59:48+00:00,1,active,0,False,146,18,True,,,2020-07-28 23:05:10,2020
132,149,0,0,True,True,2020-07-28 22:55:47+00:00,17,active,0,True,149,1,True,,,2020-07-28 23:05:10,2020
133,150,0,0,True,True,2020-07-28 22:58:30+00:00,12,active,0,False,150,7,True,,,2020-07-28 23:05:10,2020
134,151,0,0,True,True,2020-07-28 23:00:50+00:00,6,active,0,False,151,13,True,,,2020-07-28 23:05:10,2020
135,152,0,0,True,True,2020-07-28 23:01:59+00:00,12,active,0,True,152,3,True,,,2020-07-28 23:05:10,2020
136,156,0,0,True,True,2020-07-28 22:52:48+00:00,11,active,0,False,156,4,True,,,2020-07-28 23:05:10,2020
137,157,0,0,True,True,2020-07-28 23:00:56+00:00,11,active,4,False,157,0,True,,,2020-07-28 23:05:10,2020
138,159,0,0,True,True,2020-07-28 23:03:53+00:00,2,active,1,False,159,12,True,,,2020-07-28 23:05:10,2020
