,is_installed,num_bikes_disabled,num_docks_available,is_renting,num_ebikes_available,num_bikes_available,station_id,is_returning,last_reported,station_status,legacy_id,num_docks_disabled,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
25,True,1,10,True,0,4,30,True,2020-08-01 02:57:51+00:00,active,30,0,False,,,2020-08-01 03:07:10,2020
26,True,0,4,True,0,15,31,True,2020-08-01 02:39:54+00:00,active,31,0,True,,,2020-08-01 03:07:10,2020
27,True,5,7,True,0,3,32,True,2020-08-01 03:02:14+00:00,active,32,0,False,,,2020-08-01 03:07:10,2020
28,True,0,9,True,0,18,33,True,2020-08-01 02:47:52+00:00,active,33,0,False,,,2020-08-01 03:07:10,2020
29,True,2,17,True,0,4,35,True,2020-08-01 02:58:19+00:00,active,35,0,False,,,2020-08-01 03:07:10,2020
30,True,0,32,True,0,1,36,True,2020-08-01 02:46:48+00:00,active,36,0,True,,,2020-08-01 03:07:10,2020
31,True,0,13,True,0,2,37,True,2020-08-01 02:07:20+00:00,active,37,0,True,,,2020-08-01 03:07:10,2020
32,True,1,8,True,0,14,39,True,2020-08-01 03:00:46+00:00,active,39,0,False,,,2020-08-01 03:07:10,2020
33,True,0,0,True,0,19,40,True,2020-08-01 02:41:23+00:00,active,40,0,False,,,2020-08-01 03:07:10,2020
34,True,1,3,True,0,23,41,True,2020-08-01 03:01:03+00:00,active,41,0,True,,,2020-08-01 03:07:10,2020
35,True,0,2,True,0,21,42,True,2020-08-01 02:31:40+00:00,active,42,0,False,,,2020-08-01 03:07:10,2020
36,True,0,4,True,0,11,43,True,2020-08-01 03:05:14+00:00,active,43,0,True,,,2020-08-01 03:07:10,2020
37,True,0,20,True,0,3,44,True,2020-08-01 02:55:25+00:00,active,44,0,False,,,2020-08-01 03:07:10,2020
38,True,0,10,True,0,9,46,True,2020-08-01 03:05:53+00:00,active,46,0,False,,,2020-08-01 03:07:10,2020
39,True,0,19,True,0,0,47,True,2020-08-01 03:06:32+00:00,active,47,0,True,,,2020-08-01 03:07:10,2020
40,True,0,13,True,0,6,48,True,2020-08-01 02:26:07+00:00,active,48,0,False,,,2020-08-01 03:07:10,2020
41,True,0,13,True,0,5,49,True,2020-08-01 03:04:45+00:00,active,49,0,False,,,2020-08-01 03:07:10,2020
42,True,0,15,True,0,0,50,True,2020-08-01 02:07:44+00:00,active,50,0,True,,,2020-08-01 03:07:10,2020
43,True,2,6,True,0,7,51,True,2020-08-01 02:48:01+00:00,active,51,0,False,,,2020-08-01 03:07:10,2020
44,True,1,18,True,0,4,52,True,2020-08-01 03:04:12+00:00,active,52,0,True,,,2020-08-01 03:07:10,2020
45,True,1,9,True,0,9,53,True,2020-08-01 03:01:28+00:00,active,53,0,False,,,2020-08-01 03:07:10,2020
46,True,0,8,True,0,7,54,True,2020-08-01 02:38:47+00:00,active,54,0,False,,,2020-08-01 03:07:10,2020
47,True,3,11,True,0,1,55,True,2020-08-01 02:47:59+00:00,active,55,0,False,,,2020-08-01 03:07:10,2020
48,True,0,8,True,0,10,56,True,2020-08-01 02:55:40+00:00,active,56,0,True,,,2020-08-01 03:07:10,2020
49,True,0,1,True,0,13,57,True,2020-08-01 02:54:30+00:00,active,57,0,True,,,2020-08-01 03:07:10,2020
50,True,0,3,True,0,16,58,True,2020-08-01 02:57:19+00:00,active,58,0,True,,,2020-08-01 03:07:10,2020
51,True,0,3,True,0,16,59,True,2020-08-01 02:45:25+00:00,active,59,0,False,,,2020-08-01 03:07:10,2020
52,True,2,3,True,0,14,60,True,2020-08-01 03:05:49+00:00,active,60,0,False,"{'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'off_dock_count': 2, 'valet_revision': 63, 'active': True, 'dock_blocked_count': 0, 'off_dock_capacity': 40}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-08-01 03:07:10,2020
53,True,0,9,True,0,10,61,True,2020-08-01 02:44:06+00:00,active,61,0,False,,,2020-08-01 03:07:10,2020
54,True,0,14,True,0,1,63,True,2020-08-01 00:38:23+00:00,active,63,0,False,,,2020-08-01 03:07:10,2020
55,True,1,10,True,0,8,64,True,2020-08-01 02:58:54+00:00,active,64,0,False,,,2020-08-01 03:07:10,2020
56,True,1,9,True,0,13,65,True,2020-08-01 01:18:13+00:00,active,65,0,False,,,2020-08-01 03:07:10,2020
57,True,1,6,True,0,8,66,True,2020-08-01 02:59:30+00:00,active,66,0,False,,,2020-08-01 03:07:10,2020
58,True,2,23,True,0,2,67,True,2020-08-01 02:46:36+00:00,active,67,0,True,,,2020-08-01 03:07:10,2020
59,True,0,6,True,0,13,68,True,2020-08-01 02:57:46+00:00,active,68,0,True,,,2020-08-01 03:07:10,2020
60,True,0,7,True,0,12,69,True,2020-08-01 02:50:53+00:00,active,69,0,True,,,2020-08-01 03:07:10,2020
61,True,1,2,True,0,20,70,True,2020-08-01 03:04:58+00:00,active,70,0,False,,,2020-08-01 03:07:10,2020
62,True,0,3,True,0,20,71,True,2020-08-01 02:57:07+00:00,active,71,0,False,,,2020-08-01 03:07:10,2020
63,True,0,23,True,0,0,72,True,2020-08-01 02:52:22+00:00,active,72,0,False,,,2020-08-01 03:07:10,2020
64,True,0,3,True,0,12,73,True,2020-08-01 02:41:16+00:00,active,73,0,False,,,2020-08-01 03:07:10,2020
65,True,1,8,True,0,10,74,True,2020-08-01 03:00:00+00:00,active,74,0,True,,,2020-08-01 03:07:10,2020
66,True,0,14,True,0,1,75,True,2020-08-01 02:47:44+00:00,active,75,0,False,,,2020-08-01 03:07:10,2020
67,True,1,2,True,0,14,76,True,2020-08-01 03:04:28+00:00,active,76,0,False,,,2020-08-01 03:07:10,2020
68,True,1,7,True,0,7,77,True,2020-08-01 01:54:17+00:00,active,77,0,False,,,2020-08-01 03:07:10,2020
69,True,2,0,True,0,17,78,True,2020-08-01 02:52:49+00:00,active,78,0,False,,,2020-08-01 03:07:10,2020
70,True,0,5,True,0,14,79,True,2020-08-01 01:55:55+00:00,active,79,0,False,,,2020-08-01 03:07:10,2020
71,True,2,33,True,0,0,80,True,2020-08-01 03:00:45+00:00,active,80,0,False,,,2020-08-01 03:07:10,2020
72,True,0,17,True,0,2,81,True,2020-08-01 03:02:28+00:00,active,81,0,False,,,2020-08-01 03:07:10,2020
73,True,0,9,True,0,6,82,True,2020-07-31 23:34:40+00:00,active,82,0,False,,,2020-08-01 03:07:10,2020
74,True,0,14,True,0,1,84,True,2020-08-01 02:36:01+00:00,active,84,0,False,,,2020-08-01 03:07:10,2020
75,True,0,19,True,0,0,85,True,2020-08-01 00:16:04+00:00,active,85,0,False,,,2020-08-01 03:07:10,2020
76,True,0,13,True,0,6,86,True,2020-08-01 03:06:32+00:00,active,86,0,False,,,2020-08-01 03:07:10,2020
77,True,1,3,True,0,11,87,True,2020-08-01 03:00:26+00:00,active,87,0,False,,,2020-08-01 03:07:10,2020
78,True,0,0,True,0,19,89,True,2020-08-01 02:41:19+00:00,active,89,0,False,,,2020-08-01 03:07:10,2020
79,True,0,15,True,0,4,90,True,2020-08-01 03:03:53+00:00,active,90,0,False,,,2020-08-01 03:07:10,2020
80,True,0,12,True,0,7,91,True,2020-08-01 02:46:02+00:00,active,91,0,False,,,2020-08-01 03:07:10,2020
81,True,0,7,True,0,12,92,True,2020-07-31 23:47:39+00:00,active,92,0,False,,,2020-08-01 03:07:10,2020
82,True,3,1,True,0,11,93,True,2020-08-01 02:31:31+00:00,active,93,0,False,,,2020-08-01 03:07:10,2020
