,last_reported,station_status,num_bikes_available,num_ebikes_available,num_bikes_disabled,station_id,num_docks_available,is_renting,eightd_has_available_keys,legacy_id,is_returning,is_installed,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
70,2020-08-20 15:40:53+00:00,active,10,0,1,79,8,True,False,79,True,True,0,,,2020-08-20 15:53:35,2020
71,2020-08-20 15:44:43+00:00,active,22,0,0,80,13,True,False,80,True,True,0,,,2020-08-20 15:53:35,2020
72,2020-08-20 15:32:56+00:00,active,9,0,2,81,8,True,False,81,True,True,0,,,2020-08-20 15:53:35,2020
73,2020-08-20 15:52:48+00:00,active,7,0,0,82,8,True,False,82,True,True,0,,,2020-08-20 15:53:35,2020
74,2020-08-20 15:48:30+00:00,active,9,0,0,84,6,True,False,84,True,True,0,,,2020-08-20 15:53:35,2020
75,2020-08-20 15:47:11+00:00,active,14,0,0,85,5,True,False,85,True,True,0,,,2020-08-20 15:53:35,2020
76,2020-08-20 15:37:26+00:00,active,4,0,0,86,15,True,False,86,True,True,0,,,2020-08-20 15:53:35,2020
77,2020-08-20 15:50:20+00:00,active,3,0,0,87,12,True,False,87,True,True,0,,,2020-08-20 15:53:35,2020
78,2020-08-20 15:28:32+00:00,active,8,0,0,89,11,True,False,89,True,True,0,,,2020-08-20 15:53:35,2020
79,2020-08-20 15:05:00+00:00,active,2,0,0,90,17,True,False,90,True,True,0,,,2020-08-20 15:53:35,2020
80,2020-08-20 15:49:14+00:00,active,15,0,0,91,4,True,False,91,True,True,0,,,2020-08-20 15:53:35,2020
81,2020-08-20 13:33:55+00:00,active,10,0,1,92,8,True,False,92,True,True,0,,,2020-08-20 15:53:35,2020
82,2020-08-20 15:53:09+00:00,active,10,0,1,93,4,True,False,93,True,True,0,,,2020-08-20 15:53:35,2020
83,2020-08-20 15:40:39+00:00,active,10,0,1,94,0,True,False,94,True,True,0,,,2020-08-20 15:53:35,2020
84,2020-08-20 15:13:43+00:00,active,6,0,2,95,7,True,False,95,True,True,0,,,2020-08-20 15:53:35,2020
85,2020-08-20 15:51:09+00:00,active,11,0,1,96,7,True,False,96,True,True,0,,,2020-08-20 15:53:35,2020
86,2020-08-20 15:46:37+00:00,active,5,0,1,97,13,True,False,97,True,True,0,,,2020-08-20 15:53:35,2020
87,2020-08-20 14:54:51+00:00,active,0,0,0,98,23,True,False,98,True,True,0,,,2020-08-20 15:53:35,2020
