,station_id,is_renting,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,last_reported,eightd_active_station_services,num_docks_disabled,is_returning,valet,legacy_id,is_installed,num_bikes_available,num_docks_available,station_status,timestamp_of_data_read_request,year_station_last_reported
261,370,True,0,0,False,2020-08-02 16:10:53+00:00,,0,True,,370,True,12,7,active,2020-08-02 16:14:50,2020
262,371,True,0,1,False,2020-08-02 14:52:10+00:00,,0,True,,371,True,7,11,active,2020-08-02 16:14:50,2020
263,372,True,0,0,False,2020-08-02 16:14:05+00:00,,0,True,,372,True,3,16,active,2020-08-02 16:14:50,2020
264,373,True,0,0,False,2020-08-02 08:58:15+00:00,,0,True,,373,True,8,7,active,2020-08-02 16:14:50,2020
265,374,True,0,0,False,2020-08-02 16:07:19+00:00,,0,True,,374,True,6,13,active,2020-08-02 16:14:50,2020
266,376,True,0,0,False,2020-08-02 15:48:11+00:00,,0,True,,376,True,11,4,active,2020-08-02 16:14:50,2020
267,377,True,0,0,False,2020-08-02 15:48:50+00:00,,0,True,,377,True,3,16,active,2020-08-02 16:14:50,2020
268,378,True,0,0,False,2020-08-02 16:07:01+00:00,,0,True,,378,True,10,9,active,2020-08-02 16:14:50,2020
269,379,True,0,0,False,2020-08-02 16:05:45+00:00,,0,True,,379,True,2,13,active,2020-08-02 16:14:50,2020
270,380,True,0,0,False,2020-08-02 16:09:48+00:00,,0,True,,380,True,10,8,active,2020-08-02 16:14:50,2020
271,381,True,0,0,False,2020-08-02 16:07:39+00:00,,0,True,,381,True,14,5,active,2020-08-02 16:14:50,2020
272,384,True,0,0,True,2020-08-02 15:49:13+00:00,,0,True,,384,True,2,17,active,2020-08-02 16:14:50,2020
273,385,True,0,0,False,2020-08-02 15:41:10+00:00,,1,True,,385,True,7,7,active,2020-08-02 16:14:50,2020
274,386,True,0,0,False,2020-08-02 16:04:41+00:00,,0,True,,386,True,3,16,active,2020-08-02 16:14:50,2020
275,387,True,0,0,False,2020-08-02 16:06:05+00:00,,0,True,,387,True,8,7,active,2020-08-02 16:14:50,2020
276,388,True,0,0,False,2020-08-02 14:22:42+00:00,,0,True,,388,True,8,3,active,2020-08-02 16:14:50,2020
277,389,True,0,0,False,2020-08-02 14:02:55+00:00,,0,True,,389,True,14,0,active,2020-08-02 16:14:50,2020
278,390,True,0,0,False,2020-08-02 09:58:56+00:00,,0,True,,390,True,9,6,active,2020-08-02 16:14:50,2020
279,391,True,0,1,False,2020-08-02 14:56:12+00:00,,0,True,,391,True,14,0,active,2020-08-02 16:14:50,2020
280,392,True,0,0,False,2020-08-02 05:38:25+00:00,,0,True,,392,True,10,5,active,2020-08-02 16:14:50,2020
281,393,True,0,2,False,2020-08-02 08:59:48+00:00,,0,True,,393,True,8,5,active,2020-08-02 16:14:50,2020
282,394,True,0,0,False,2020-08-02 08:58:28+00:00,,0,True,,394,True,0,14,active,2020-08-02 16:14:50,2020
283,395,True,0,0,False,2020-08-02 16:07:29+00:00,,0,True,,395,True,11,4,active,2020-08-02 16:14:50,2020
284,396,True,0,0,False,2020-08-02 14:38:18+00:00,,0,True,,396,True,10,5,active,2020-08-02 16:14:50,2020
285,397,True,0,0,False,2020-08-02 13:46:41+00:00,,0,True,,397,True,8,7,active,2020-08-02 16:14:50,2020
286,398,True,0,0,False,2020-08-02 15:31:24+00:00,,0,True,,398,True,1,18,active,2020-08-02 16:14:50,2020
287,399,True,0,0,False,2020-08-02 15:46:38+00:00,,0,True,,399,True,1,14,active,2020-08-02 16:14:50,2020
288,400,True,0,1,False,2020-08-02 15:21:04+00:00,,0,True,,400,True,12,14,active,2020-08-02 16:14:50,2020
289,401,True,0,1,False,2020-08-02 08:57:55+00:00,,0,True,,401,True,14,0,active,2020-08-02 16:14:50,2020
290,402,True,0,0,False,2020-08-02 14:05:48+00:00,,0,True,,402,True,0,15,active,2020-08-02 16:14:50,2020
291,403,True,0,1,False,2020-08-02 15:48:44+00:00,,0,True,,403,True,7,7,active,2020-08-02 16:14:50,2020
292,404,True,0,0,False,2020-08-02 15:46:00+00:00,,0,True,,404,True,8,8,active,2020-08-02 16:14:50,2020
293,405,True,0,1,False,2020-08-02 15:14:16+00:00,,0,True,,405,True,18,0,active,2020-08-02 16:14:50,2020
294,406,True,0,0,False,2020-08-02 15:31:14+00:00,,0,True,,406,True,10,5,active,2020-08-02 16:14:50,2020
295,407,True,0,0,False,2020-08-02 14:06:53+00:00,,0,True,,407,True,9,10,active,2020-08-02 16:14:50,2020
296,408,True,0,0,False,2020-08-02 15:17:23+00:00,,0,True,,408,True,0,15,active,2020-08-02 16:14:50,2020
297,409,True,0,0,False,2020-08-02 16:02:23+00:00,,0,True,,409,True,8,11,active,2020-08-02 16:14:50,2020
298,410,True,0,1,False,2020-08-02 13:27:59+00:00,,0,True,,410,True,16,2,active,2020-08-02 16:14:50,2020
299,411,True,0,0,False,2020-08-02 14:30:43+00:00,,0,True,,411,True,12,3,active,2020-08-02 16:14:50,2020
300,412,True,0,0,False,2020-08-02 16:08:17+00:00,,0,True,,412,True,0,19,active,2020-08-02 16:14:50,2020
301,413,True,0,0,False,2020-08-02 15:43:13+00:00,,0,True,,413,True,11,8,active,2020-08-02 16:14:50,2020
302,414,True,0,0,False,2020-08-02 08:58:11+00:00,,0,True,,414,True,1,22,active,2020-08-02 16:14:50,2020
303,415,True,0,0,False,2020-08-02 16:00:56+00:00,,0,True,,415,True,4,15,active,2020-08-02 16:14:50,2020
304,416,True,0,0,False,2020-08-02 16:00:45+00:00,,0,True,,416,True,1,14,active,2020-08-02 16:14:50,2020
305,417,True,0,0,False,2020-08-02 16:14:02+00:00,,0,True,,417,True,8,11,active,2020-08-02 16:14:50,2020
306,419,True,0,0,False,2020-08-02 13:18:31+00:00,,0,True,,419,True,10,5,active,2020-08-02 16:14:50,2020
307,420,False,0,0,False,1970-01-02 00:00:00+00:00,,0,False,,420,False,0,0,out_of_service,2020-08-02 16:14:50,1970
308,421,True,0,0,False,2020-08-02 11:24:01+00:00,,0,True,,421,True,11,8,active,2020-08-02 16:14:50,2020
309,422,True,0,0,False,2020-08-01 20:40:43+00:00,,0,True,,422,True,14,1,active,2020-08-02 16:14:50,2020
310,423,True,0,0,False,2020-08-02 15:48:30+00:00,,0,True,,423,True,11,8,active,2020-08-02 16:14:50,2020
311,424,True,0,0,False,2020-08-02 00:10:05+00:00,,0,True,,424,True,5,14,active,2020-08-02 16:14:50,2020
312,425,True,0,0,False,2020-08-02 15:09:08+00:00,,0,True,,425,True,4,12,active,2020-08-02 16:14:50,2020
313,426,True,0,2,False,2020-08-02 16:14:03+00:00,,0,True,,426,True,1,24,active,2020-08-02 16:14:50,2020
314,427,True,0,0,False,2020-08-02 15:42:30+00:00,,0,True,,427,True,7,12,active,2020-08-02 16:14:50,2020
315,428,True,0,0,False,2020-08-02 15:47:16+00:00,,0,True,,428,True,14,5,active,2020-08-02 16:14:50,2020
316,430,True,0,0,False,2020-08-02 08:59:02+00:00,,0,True,,430,True,18,1,active,2020-08-02 16:14:50,2020
317,431,True,0,0,False,2020-08-02 16:01:33+00:00,,0,True,,431,True,1,14,active,2020-08-02 16:14:50,2020
318,432,True,0,0,False,2020-08-02 13:01:10+00:00,,0,True,,432,True,7,12,active,2020-08-02 16:14:50,2020
319,433,True,0,0,False,2020-08-01 08:58:25+00:00,,0,True,,433,True,0,19,active,2020-08-02 16:14:50,2020
320,434,True,0,0,False,2020-08-02 08:59:42+00:00,,0,True,,434,True,3,16,active,2020-08-02 16:14:50,2020
321,435,True,0,1,False,2020-08-02 15:49:23+00:00,,0,True,,435,True,12,2,active,2020-08-02 16:14:50,2020
322,436,True,0,1,False,2020-08-02 15:04:06+00:00,,0,True,,436,True,5,9,active,2020-08-02 16:14:50,2020
323,437,True,0,0,False,2020-08-02 16:07:55+00:00,,0,True,,437,True,12,7,active,2020-08-02 16:14:50,2020
324,440,True,0,0,False,2020-08-02 13:48:49+00:00,,0,True,,440,True,10,7,active,2020-08-02 16:14:50,2020
325,441,True,0,1,False,2020-08-02 16:10:13+00:00,,0,True,,441,True,13,5,active,2020-08-02 16:14:50,2020
326,442,True,0,0,False,2020-08-02 04:48:18+00:00,,0,True,,442,True,4,11,active,2020-08-02 16:14:50,2020
327,443,True,0,0,False,2020-08-02 14:48:28+00:00,,0,True,,443,True,1,18,active,2020-08-02 16:14:50,2020
328,445,True,0,0,False,2020-08-02 16:05:50+00:00,,0,True,,445,True,17,2,active,2020-08-02 16:14:50,2020
329,446,True,0,0,False,2020-08-02 15:38:30+00:00,,0,True,,446,True,7,5,active,2020-08-02 16:14:50,2020
330,447,True,0,0,False,2020-08-02 08:58:22+00:00,,0,True,,447,True,3,16,active,2020-08-02 16:14:50,2020
331,448,True,0,0,False,2020-08-02 01:18:55+00:00,,0,True,,448,True,1,10,active,2020-08-02 16:14:50,2020
332,449,True,0,0,False,1970-01-02 00:00:00+00:00,,0,True,,449,False,0,0,out_of_service,2020-08-02 16:14:50,1970
333,450,True,0,0,False,2020-08-02 16:10:31+00:00,,0,True,,450,True,7,8,active,2020-08-02 16:14:50,2020
334,451,True,0,1,False,2020-08-02 15:54:06+00:00,,0,True,,451,True,2,12,active,2020-08-02 16:14:50,2020
335,452,True,0,0,False,2020-08-02 15:48:23+00:00,,0,True,,452,True,7,8,active,2020-08-02 16:14:50,2020
336,453,True,0,2,False,2020-08-02 16:02:33+00:00,,0,True,,453,True,11,2,active,2020-08-02 16:14:50,2020
337,454,True,0,1,False,2020-08-02 15:32:54+00:00,,0,True,,454,True,3,11,active,2020-08-02 16:14:50,2020
338,455,True,0,0,False,2020-08-02 16:13:27+00:00,,0,True,,455,True,5,7,active,2020-08-02 16:14:50,2020
