,num_docks_disabled,is_installed,legacy_id,num_bikes_available,num_bikes_disabled,station_status,last_reported,station_id,num_docks_available,num_ebikes_available,eightd_has_available_keys,is_returning,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
46,0,True,54,1,0,active,2020-08-21 22:56:30+00:00,54,14,0,False,True,True,,,2020-08-21 23:00:25,2020
47,0,True,55,11,0,active,2020-08-21 22:58:29+00:00,55,4,0,False,True,True,,,2020-08-21 23:00:25,2020
48,0,True,56,6,0,active,2020-08-21 22:53:48+00:00,56,12,0,True,True,True,,,2020-08-21 23:00:25,2020
49,0,True,57,0,0,active,2020-08-21 22:30:18+00:00,57,14,0,True,True,True,,,2020-08-21 23:00:25,2020
50,0,True,58,17,1,active,2020-08-21 22:58:13+00:00,58,1,0,True,True,True,,,2020-08-21 23:00:25,2020
51,0,True,59,4,0,active,2020-08-21 21:34:34+00:00,59,15,0,True,True,True,,,2020-08-21 23:00:25,2020
52,0,True,60,18,0,active,2020-08-21 22:58:09+00:00,60,1,0,False,True,True,,,2020-08-21 23:00:25,2020
53,0,True,61,10,1,active,2020-08-21 22:57:32+00:00,61,8,0,False,True,True,,,2020-08-21 23:00:25,2020
54,0,True,63,5,0,active,2020-08-21 22:57:47+00:00,63,10,0,False,True,True,,,2020-08-21 23:00:25,2020
55,0,True,64,16,1,active,2020-08-21 22:57:39+00:00,64,2,0,False,True,True,,,2020-08-21 23:00:25,2020
56,0,True,65,13,0,active,2020-08-21 22:08:28+00:00,65,10,0,False,True,True,,,2020-08-21 23:00:25,2020
57,0,True,66,4,0,active,2020-08-21 22:58:14+00:00,66,11,0,False,True,True,,,2020-08-21 23:00:25,2020
58,0,True,67,16,1,active,2020-08-21 22:56:35+00:00,67,10,0,True,True,True,,,2020-08-21 23:00:25,2020
59,0,True,68,3,2,active,2020-08-21 22:57:09+00:00,68,14,0,True,True,True,,,2020-08-21 23:00:25,2020
60,0,True,69,15,0,active,2020-08-21 22:59:35+00:00,69,4,0,True,True,True,,,2020-08-21 23:00:25,2020
61,0,True,70,17,1,active,2020-08-21 22:57:19+00:00,70,5,0,False,True,True,,,2020-08-21 23:00:25,2020
