,num_docks_disabled,num_bikes_available,legacy_id,station_status,is_installed,is_returning,is_renting,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,last_reported,num_docks_available,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
175,0,3,202,active,True,True,True,False,0,1,2020-07-28 14:43:09+00:00,11,202,,,2020-07-28 19:10:25,2020
176,0,2,203,active,True,True,True,False,0,0,2020-07-28 08:58:21+00:00,13,203,,,2020-07-28 19:10:25,2020
177,0,3,204,active,True,True,True,False,0,0,2020-07-28 18:47:43+00:00,12,204,,,2020-07-28 19:10:25,2020
178,0,3,205,active,True,True,True,False,0,1,2020-07-28 12:30:54+00:00,11,205,,,2020-07-28 19:10:25,2020
179,0,14,206,active,True,True,True,False,0,0,2020-07-28 18:38:20+00:00,9,206,,,2020-07-28 19:10:25,2020
180,0,12,208,active,True,True,True,True,0,0,2020-07-28 16:23:20+00:00,3,208,,,2020-07-28 19:10:25,2020
181,0,13,209,active,True,True,True,False,0,1,2020-07-28 19:03:30+00:00,1,209,,,2020-07-28 19:10:25,2020
182,0,0,210,active,True,True,True,False,0,0,2020-07-28 13:53:23+00:00,15,210,,,2020-07-28 19:10:25,2020
183,0,16,211,active,True,True,True,False,0,1,2020-07-28 18:10:45+00:00,2,211,,,2020-07-28 19:10:25,2020
184,0,4,212,active,True,True,True,False,0,0,2020-07-28 16:52:01+00:00,29,212,,,2020-07-28 19:10:25,2020
185,0,9,213,active,True,True,True,True,0,0,2020-07-28 15:45:55+00:00,7,213,,,2020-07-28 19:10:25,2020
186,0,15,214,active,True,True,True,False,0,0,2020-07-28 19:02:52+00:00,0,214,,,2020-07-28 19:10:25,2020
187,0,14,215,active,True,True,True,False,0,1,2020-07-28 17:42:05+00:00,0,215,,,2020-07-28 19:10:25,2020
188,0,15,216,active,True,True,True,False,0,1,2020-07-28 12:48:44+00:00,3,216,,,2020-07-28 19:10:25,2020
189,0,4,217,active,True,True,True,False,0,0,2020-07-28 18:10:23+00:00,15,217,,,2020-07-28 19:10:25,2020
190,0,3,218,active,True,True,True,False,0,0,2020-07-28 19:06:43+00:00,12,218,,,2020-07-28 19:10:25,2020
191,0,12,219,active,True,True,True,False,0,0,2020-07-28 18:20:42+00:00,3,219,,,2020-07-28 19:10:25,2020
192,0,5,221,active,True,True,True,False,0,2,2020-07-28 19:03:48+00:00,12,221,,,2020-07-28 19:10:25,2020
193,0,3,222,active,True,True,True,True,0,0,2020-07-28 18:54:18+00:00,11,222,,,2020-07-28 19:10:25,2020
194,0,9,224,active,True,True,True,False,0,0,2020-07-28 18:55:00+00:00,8,224,,,2020-07-28 19:10:25,2020
195,0,16,225,active,True,True,True,False,0,1,2020-07-28 19:06:44+00:00,2,225,,,2020-07-28 19:10:25,2020
196,0,3,226,active,True,True,True,False,0,0,2020-07-28 17:46:26+00:00,12,226,,,2020-07-28 19:10:25,2020
197,0,6,227,active,True,True,True,False,0,1,2020-07-28 19:09:47+00:00,12,227,,,2020-07-28 19:10:25,2020
198,0,8,228,active,True,True,True,False,0,0,2020-07-28 16:56:39+00:00,11,228,,,2020-07-28 19:10:25,2020
199,0,6,232,active,True,True,True,False,0,0,2020-07-28 15:47:15+00:00,5,232,,,2020-07-28 19:10:25,2020
200,0,10,233,active,True,True,True,False,0,0,2020-07-28 18:34:33+00:00,5,233,,,2020-07-28 19:10:25,2020
201,0,2,234,active,True,True,True,False,0,0,2020-07-28 18:37:49+00:00,13,234,,,2020-07-28 19:10:25,2020
202,0,13,235,active,True,True,True,False,0,0,2020-07-28 13:39:34+00:00,2,235,,,2020-07-28 19:10:25,2020
203,0,7,236,active,True,True,True,False,0,0,2020-07-28 17:46:52+00:00,8,236,,,2020-07-28 19:10:25,2020
204,0,0,239,active,True,True,True,False,0,0,2020-07-28 18:36:03+00:00,15,239,,,2020-07-28 19:10:25,2020
205,0,7,255,active,True,True,True,False,0,0,2020-07-28 16:47:53+00:00,8,255,,,2020-07-28 19:10:25,2020
206,0,7,258,active,True,True,True,False,0,0,2020-07-28 13:36:54+00:00,8,258,,,2020-07-28 19:10:25,2020
207,0,0,259,active,True,True,True,False,0,1,2020-07-28 11:55:38+00:00,14,259,,,2020-07-28 19:10:25,2020
208,0,13,260,active,True,False,False,False,0,0,2020-07-28 17:40:18+00:00,2,260,,,2020-07-28 19:10:25,2020
209,0,6,271,active,True,True,True,False,0,1,2020-07-28 17:01:28+00:00,8,271,,,2020-07-28 19:10:25,2020
210,0,10,272,active,True,True,True,False,0,0,2020-07-28 18:04:31+00:00,9,272,,,2020-07-28 19:10:25,2020
211,0,24,273,active,True,True,True,False,0,1,2020-07-28 18:38:25+00:00,15,273,,,2020-07-28 19:10:25,2020
212,0,9,279,active,True,True,True,False,0,0,2020-07-28 18:52:38+00:00,10,279,,,2020-07-28 19:10:25,2020
213,0,4,280,active,True,True,True,False,0,0,2020-07-28 16:33:01+00:00,15,280,,,2020-07-28 19:10:25,2020
214,0,10,282,active,True,True,True,False,0,0,2020-07-28 18:37:36+00:00,5,282,,,2020-07-28 19:10:25,2020
215,0,9,296,active,True,True,True,False,0,0,2020-07-28 18:45:29+00:00,14,296,,,2020-07-28 19:10:25,2020
216,0,15,318,active,True,True,True,False,0,1,2020-07-28 18:59:31+00:00,3,318,,,2020-07-28 19:10:25,2020
217,0,8,319,active,True,True,True,False,0,0,2020-07-28 16:54:46+00:00,17,319,,,2020-07-28 19:10:25,2020
218,0,9,327,active,True,True,True,False,0,0,2020-07-28 17:17:37+00:00,6,327,,,2020-07-28 19:10:25,2020
219,0,10,328,active,True,True,True,False,0,0,2020-07-28 16:41:30+00:00,5,328,,,2020-07-28 19:10:25,2020
220,0,13,329,active,True,True,True,False,0,0,2020-07-28 19:03:00+00:00,2,329,,,2020-07-28 19:10:25,2020
221,0,3,330,active,True,True,True,False,0,0,2020-07-28 18:41:42+00:00,12,330,,,2020-07-28 19:10:25,2020
222,0,7,331,active,True,True,True,False,0,1,2020-07-28 19:02:01+00:00,7,331,,,2020-07-28 19:10:25,2020
223,0,1,332,active,True,True,True,False,0,1,2020-07-28 18:37:54+00:00,13,332,,,2020-07-28 19:10:25,2020
224,0,22,333,active,True,True,True,False,0,0,2020-07-28 18:54:02+00:00,3,333,,,2020-07-28 19:10:25,2020
225,0,12,334,active,True,True,True,False,0,0,2020-07-28 18:38:41+00:00,7,334,,,2020-07-28 19:10:25,2020
226,0,8,335,active,True,True,True,False,0,0,2020-07-28 19:05:58+00:00,11,335,,,2020-07-28 19:10:25,2020
227,0,12,336,active,True,True,True,False,0,0,2020-07-28 19:01:35+00:00,3,336,,,2020-07-28 19:10:25,2020
228,0,13,337,active,True,True,True,False,0,1,2020-07-28 16:27:26+00:00,1,337,,,2020-07-28 19:10:25,2020
229,0,2,338,active,True,True,True,False,0,0,2020-07-28 18:22:13+00:00,13,338,,,2020-07-28 19:10:25,2020
