,num_docks_available,station_id,is_installed,last_reported,num_bikes_disabled,station_status,num_ebikes_available,legacy_id,is_returning,num_docks_disabled,eightd_has_available_keys,num_bikes_available,is_renting,timestamp_of_data_read_request,year_station_last_reported
209,10,271,True,2020-08-12 18:50:36+00:00,0,active,0,271,True,0,False,5,True,2020-08-12 19:35:50,2020
210,14,272,True,2020-08-12 19:18:41+00:00,1,active,0,272,True,0,False,4,True,2020-08-12 19:35:50,2020
211,20,273,True,2020-08-12 19:17:09+00:00,0,active,0,273,True,0,False,20,True,2020-08-12 19:35:50,2020
212,2,279,True,2020-08-12 18:56:00+00:00,0,active,0,279,True,0,False,17,True,2020-08-12 19:35:50,2020
213,10,280,True,2020-08-12 17:42:44+00:00,0,active,0,280,True,0,False,9,True,2020-08-12 19:35:50,2020
214,9,282,True,2020-08-12 19:12:23+00:00,0,active,0,282,True,0,False,6,True,2020-08-12 19:35:50,2020
215,11,296,True,2020-08-12 18:47:52+00:00,0,active,0,296,True,0,False,12,True,2020-08-12 19:35:50,2020
216,1,318,True,2020-08-12 19:34:52+00:00,0,active,0,318,True,0,False,18,True,2020-08-12 19:35:50,2020
217,22,319,True,2020-08-12 18:43:57+00:00,0,active,0,319,True,0,False,3,True,2020-08-12 19:35:50,2020
218,11,327,True,2020-08-12 17:20:58+00:00,0,active,0,327,True,0,False,4,True,2020-08-12 19:35:50,2020
219,8,328,True,2020-08-12 19:30:10+00:00,1,active,0,328,True,0,False,6,True,2020-08-12 19:35:50,2020
220,9,329,True,2020-08-12 18:45:13+00:00,0,active,0,329,True,0,False,6,True,2020-08-12 19:35:50,2020
221,7,330,True,2020-08-12 18:25:53+00:00,0,active,0,330,True,0,False,8,True,2020-08-12 19:35:50,2020
222,2,331,True,2020-08-12 19:35:17+00:00,0,active,0,331,True,0,False,13,True,2020-08-12 19:35:50,2020
223,13,332,True,2020-08-12 19:31:03+00:00,1,active,0,332,True,0,False,1,True,2020-08-12 19:35:50,2020
224,4,333,True,2020-08-12 17:55:38+00:00,0,active,0,333,True,0,False,21,True,2020-08-12 19:35:50,2020
225,1,334,True,2020-08-12 17:25:29+00:00,2,active,0,334,True,0,False,16,True,2020-08-12 19:35:50,2020
226,11,335,True,2020-08-12 19:33:38+00:00,0,active,0,335,True,0,False,8,True,2020-08-12 19:35:50,2020
227,9,336,True,2020-08-12 19:35:40+00:00,0,active,0,336,True,0,False,6,True,2020-08-12 19:35:50,2020
228,0,337,True,2020-08-12 13:06:03+00:00,0,active,0,337,True,0,False,15,True,2020-08-12 19:35:50,2020
229,14,338,True,2020-08-12 19:15:34+00:00,1,active,0,338,True,0,False,0,True,2020-08-12 19:35:50,2020
230,1,339,True,2020-08-12 17:49:47+00:00,0,active,0,339,True,0,False,14,True,2020-08-12 19:35:50,2020
231,1,340,True,2020-08-12 08:52:43+00:00,0,active,0,340,True,0,False,18,True,2020-08-12 19:35:50,2020
232,7,341,True,2020-08-12 13:49:12+00:00,1,active,0,341,True,0,True,7,True,2020-08-12 19:35:50,2020
233,12,342,True,2020-08-12 19:34:41+00:00,0,active,0,342,True,0,False,3,True,2020-08-12 19:35:50,2020
234,11,343,True,2020-08-12 16:19:17+00:00,0,active,0,343,True,0,False,4,True,2020-08-12 19:35:50,2020
