,is_returning,station_status,num_docks_available,eightd_has_available_keys,num_ebikes_available,is_installed,legacy_id,num_docks_disabled,last_reported,is_renting,station_id,num_bikes_available,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
62,True,active,10,False,0,True,71,0,2020-08-19 04:01:29+00:00,True,71,13,0,2020-08-19 04:56:40,2020
63,True,active,9,False,0,True,72,0,2020-08-19 02:36:59+00:00,True,72,13,1,2020-08-19 04:56:40,2020
64,True,active,3,False,0,True,73,0,2020-08-19 03:22:35+00:00,True,73,9,3,2020-08-19 04:56:40,2020
65,True,active,9,False,0,True,74,0,2020-08-19 04:50:37+00:00,True,74,9,1,2020-08-19 04:56:40,2020
66,True,active,4,False,0,True,75,0,2020-08-19 04:25:03+00:00,True,75,10,1,2020-08-19 04:56:40,2020
67,True,active,0,False,0,True,76,0,2020-08-19 04:23:03+00:00,True,76,16,1,2020-08-19 04:56:40,2020
68,True,active,8,False,0,True,77,0,2020-08-19 04:27:21+00:00,True,77,7,0,2020-08-19 04:56:40,2020
69,True,active,5,False,0,True,78,0,2020-08-19 03:08:10+00:00,True,78,14,0,2020-08-19 04:56:40,2020
70,True,active,1,False,0,True,79,0,2020-08-19 04:15:06+00:00,True,79,16,2,2020-08-19 04:56:40,2020
71,True,active,35,False,0,True,80,0,2020-08-19 01:58:59+00:00,True,80,0,0,2020-08-19 04:56:40,2020
72,True,active,17,False,0,True,81,0,2020-08-19 04:20:42+00:00,True,81,1,1,2020-08-19 04:56:40,2020
73,True,active,7,False,0,True,82,0,2020-08-19 04:25:37+00:00,True,82,7,1,2020-08-19 04:56:40,2020
74,True,active,3,False,0,True,84,0,2020-08-19 04:19:24+00:00,True,84,11,1,2020-08-19 04:56:40,2020
75,True,active,19,False,0,True,85,0,2020-08-19 02:57:23+00:00,True,85,0,0,2020-08-19 04:56:40,2020
76,True,active,5,False,0,True,86,0,2020-08-19 04:38:21+00:00,True,86,14,0,2020-08-19 04:56:40,2020
77,True,active,3,False,0,True,87,0,2020-08-19 04:03:15+00:00,True,87,11,1,2020-08-19 04:56:40,2020
78,True,active,10,False,0,True,89,0,2020-08-19 03:42:23+00:00,True,89,9,0,2020-08-19 04:56:40,2020
79,True,active,7,False,0,True,90,0,2020-08-19 04:07:14+00:00,True,90,12,0,2020-08-19 04:56:40,2020
80,True,active,18,False,0,True,91,0,2020-08-19 02:50:51+00:00,True,91,0,1,2020-08-19 04:56:40,2020
81,True,active,0,False,0,True,92,0,2020-08-19 00:24:51+00:00,True,92,18,1,2020-08-19 04:56:40,2020
82,True,active,2,False,0,True,93,0,2020-08-19 01:20:38+00:00,True,93,11,2,2020-08-19 04:56:40,2020
83,True,active,10,False,0,True,94,0,2020-08-19 04:21:14+00:00,True,94,0,1,2020-08-19 04:56:40,2020
84,True,active,8,False,0,True,95,0,2020-08-19 04:08:55+00:00,True,95,3,4,2020-08-19 04:56:40,2020
85,True,active,10,False,0,True,96,0,2020-08-19 03:15:05+00:00,True,96,9,0,2020-08-19 04:56:40,2020
86,True,active,12,False,0,True,97,0,2020-08-19 02:30:05+00:00,True,97,5,2,2020-08-19 04:56:40,2020
87,True,active,20,False,0,True,98,0,2020-08-19 03:27:55+00:00,True,98,3,0,2020-08-19 04:56:40,2020
88,True,active,0,False,0,True,99,0,2020-08-19 03:07:42+00:00,True,99,13,2,2020-08-19 04:56:40,2020
89,True,active,15,True,0,True,100,0,2020-08-19 03:57:29+00:00,True,100,10,0,2020-08-19 04:56:40,2020
90,True,active,6,False,0,True,101,0,2020-08-19 01:22:29+00:00,True,101,9,0,2020-08-19 04:56:40,2020
91,True,active,8,False,0,True,102,0,2020-08-19 04:31:02+00:00,True,102,7,0,2020-08-19 04:56:40,2020
92,True,active,0,False,0,True,103,0,2020-08-19 03:59:17+00:00,True,103,15,0,2020-08-19 04:56:40,2020
93,True,active,15,False,0,True,104,0,2020-08-19 02:51:33+00:00,True,104,4,0,2020-08-19 04:56:40,2020
94,True,active,10,False,0,True,105,0,2020-08-19 04:38:06+00:00,True,105,9,0,2020-08-19 04:56:40,2020
95,True,active,7,False,0,True,106,0,2020-08-18 20:26:10+00:00,True,106,8,0,2020-08-19 04:56:40,2020
96,True,active,17,False,0,True,107,0,2020-08-19 04:56:30+00:00,True,107,1,1,2020-08-19 04:56:40,2020
97,True,active,15,False,0,True,108,0,2020-08-19 04:25:26+00:00,True,108,2,0,2020-08-19 04:56:40,2020
98,True,active,31,False,0,True,109,0,2020-08-18 22:32:39+00:00,True,109,2,2,2020-08-19 04:56:40,2020
99,True,active,13,False,0,True,110,0,2020-08-19 04:29:18+00:00,True,110,2,0,2020-08-19 04:56:40,2020
100,True,active,13,False,0,True,111,0,2020-08-18 22:49:12+00:00,True,111,2,0,2020-08-19 04:56:40,2020
101,True,active,8,False,0,True,112,0,2020-08-19 00:39:38+00:00,True,112,7,0,2020-08-19 04:56:40,2020
102,True,active,10,False,0,True,113,0,2020-08-19 04:52:33+00:00,True,113,4,1,2020-08-19 04:56:40,2020
103,True,active,10,False,0,True,114,0,2020-08-19 02:28:17+00:00,True,114,5,0,2020-08-19 04:56:40,2020
