,num_bikes_disabled,last_reported,legacy_id,eightd_has_available_keys,is_installed,num_docks_available,num_ebikes_available,num_docks_disabled,is_returning,station_status,station_id,is_renting,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
124,0,2020-08-09 00:24:24+00:00,139,False,True,12,0,0,True,active,139,True,7,,,2020-08-09 00:50:20,2020
125,17,2020-08-08 14:27:37+00:00,140,False,True,0,0,0,True,active,140,False,0,,,2020-08-09 00:50:20,2020
126,0,2020-08-09 00:39:07+00:00,141,False,True,11,0,0,True,active,141,True,4,,,2020-08-09 00:50:20,2020
127,0,2020-08-09 00:10:02+00:00,142,False,True,16,0,0,True,active,142,True,7,,,2020-08-09 00:50:20,2020
128,0,2020-08-09 00:49:52+00:00,143,False,True,16,0,0,True,active,143,True,7,,,2020-08-09 00:50:20,2020
129,0,2020-08-09 00:43:08+00:00,144,False,True,1,0,0,True,active,144,True,18,,,2020-08-09 00:50:20,2020
130,0,2020-08-09 00:14:14+00:00,145,False,True,3,0,0,True,active,145,True,16,,,2020-08-09 00:50:20,2020
131,2,2020-08-09 00:49:32+00:00,146,False,True,14,0,0,True,active,146,True,3,,,2020-08-09 00:50:20,2020
132,0,2020-08-09 00:31:22+00:00,149,True,True,0,0,0,True,active,149,True,18,,,2020-08-09 00:50:20,2020
133,0,2020-08-08 23:08:52+00:00,150,False,True,9,0,0,True,active,150,True,10,,,2020-08-09 00:50:20,2020
134,0,2020-08-08 23:46:53+00:00,151,False,True,11,0,0,True,active,151,True,8,,,2020-08-09 00:50:20,2020
135,0,2020-08-09 00:41:09+00:00,152,True,True,4,0,0,True,active,152,True,11,,,2020-08-09 00:50:20,2020
136,1,2020-08-09 00:47:36+00:00,156,False,True,10,0,0,True,active,156,True,4,,,2020-08-09 00:50:20,2020
137,1,2020-08-09 00:49:52+00:00,157,False,True,9,0,0,True,active,157,True,5,,,2020-08-09 00:50:20,2020
138,1,2020-08-08 23:23:49+00:00,159,False,True,10,0,0,True,active,159,True,4,,,2020-08-09 00:50:20,2020
139,0,2020-08-09 00:48:59+00:00,160,True,True,12,0,0,True,active,160,True,2,,,2020-08-09 00:50:20,2020
140,1,2020-08-09 00:33:12+00:00,161,False,True,12,0,0,True,active,161,True,10,,,2020-08-09 00:50:20,2020
141,0,2020-08-08 23:58:27+00:00,162,False,True,8,0,0,True,active,162,True,7,,,2020-08-09 00:50:20,2020
142,0,2020-08-09 00:46:22+00:00,163,True,True,1,0,0,True,active,163,True,18,,,2020-08-09 00:50:20,2020
143,0,2020-08-09 00:06:50+00:00,167,False,True,11,0,0,True,active,167,True,4,,,2020-08-09 00:50:20,2020
144,0,2020-08-09 00:04:09+00:00,169,False,True,2,0,0,True,active,169,True,17,,,2020-08-09 00:50:20,2020
145,0,2020-08-08 23:31:10+00:00,170,True,True,13,0,0,True,active,170,True,1,,,2020-08-09 00:50:20,2020
146,0,2020-08-08 22:26:24+00:00,171,True,True,18,0,0,True,active,171,True,5,,,2020-08-09 00:50:20,2020
147,0,2020-08-08 22:38:07+00:00,173,True,True,4,0,0,True,active,173,True,10,,,2020-08-09 00:50:20,2020
148,0,2020-08-09 00:37:36+00:00,174,False,True,12,0,0,True,active,174,True,3,,,2020-08-09 00:50:20,2020
149,0,2020-08-09 00:40:18+00:00,175,True,True,14,0,0,True,active,175,True,3,,,2020-08-09 00:50:20,2020
150,1,2020-08-09 00:39:51+00:00,176,False,True,5,0,0,True,active,176,True,9,,,2020-08-09 00:50:20,2020
151,1,2020-08-09 00:44:28+00:00,177,False,True,4,0,0,True,active,177,True,14,,,2020-08-09 00:50:20,2020
152,1,2020-08-09 00:50:12+00:00,178,False,True,10,0,0,True,active,178,True,8,,,2020-08-09 00:50:20,2020
153,1,2020-08-09 00:47:27+00:00,179,False,True,21,0,0,True,active,179,True,3,,,2020-08-09 00:50:20,2020
154,0,2020-08-08 23:13:58+00:00,180,False,True,15,0,0,True,active,180,True,4,,,2020-08-09 00:50:20,2020
155,0,2020-08-08 23:55:57+00:00,181,False,True,13,0,0,True,active,181,True,6,,,2020-08-09 00:50:20,2020
156,0,2020-08-09 00:27:33+00:00,182,True,True,11,0,0,True,active,182,True,8,,,2020-08-09 00:50:20,2020
157,0,2020-08-08 23:55:01+00:00,183,False,True,9,0,0,True,active,183,True,10,,,2020-08-09 00:50:20,2020
158,0,2020-08-09 00:37:06+00:00,184,False,True,16,0,0,True,active,184,True,3,,,2020-08-09 00:50:20,2020
159,1,2020-08-09 00:48:59+00:00,185,False,True,13,0,0,True,active,185,True,1,,,2020-08-09 00:50:20,2020
160,2,2020-08-09 00:46:16+00:00,186,True,True,8,0,0,True,active,186,True,5,,,2020-08-09 00:50:20,2020
161,0,2020-08-08 23:20:04+00:00,187,False,True,1,0,0,True,active,187,True,14,,,2020-08-09 00:50:20,2020
162,0,2020-08-09 00:39:09+00:00,188,False,True,10,0,0,True,active,188,True,5,,,2020-08-09 00:50:20,2020
163,0,2020-08-09 00:42:27+00:00,189,False,True,22,0,0,True,active,189,True,1,,,2020-08-09 00:50:20,2020
164,3,2020-08-09 00:39:34+00:00,190,True,True,21,0,0,True,active,190,True,13,,,2020-08-09 00:50:20,2020
165,0,2020-08-08 22:20:05+00:00,191,False,True,13,0,0,True,active,191,True,2,,,2020-08-09 00:50:20,2020
166,0,2020-08-09 00:17:40+00:00,192,False,True,19,0,0,True,active,192,True,0,,,2020-08-09 00:50:20,2020
167,0,2020-08-09 00:10:21+00:00,193,True,True,13,0,0,True,active,193,True,2,,,2020-08-09 00:50:20,2020
168,0,2020-08-09 00:06:50+00:00,194,False,True,17,0,0,True,active,194,True,2,,,2020-08-09 00:50:20,2020
169,1,2020-08-09 00:49:48+00:00,195,False,True,8,0,0,True,active,195,True,14,,,2020-08-09 00:50:20,2020
170,0,2020-08-08 21:38:45+00:00,196,True,True,5,0,0,True,active,196,True,5,,,2020-08-09 00:50:20,2020
171,0,2020-08-09 00:27:48+00:00,197,False,True,11,0,0,True,active,197,True,4,,,2020-08-09 00:50:20,2020
172,0,2020-08-08 10:40:39+00:00,199,False,True,15,0,0,True,active,199,True,0,,,2020-08-09 00:50:20,2020
173,1,2020-08-08 23:16:21+00:00,200,False,True,7,0,0,True,active,200,True,11,,,2020-08-09 00:50:20,2020
174,0,2020-08-08 23:08:02+00:00,201,False,True,13,0,0,True,active,201,True,2,,,2020-08-09 00:50:20,2020
175,0,2020-08-08 23:23:08+00:00,202,False,True,5,0,0,True,active,202,True,10,,,2020-08-09 00:50:20,2020
176,1,2020-08-08 21:32:52+00:00,203,False,True,13,0,0,True,active,203,True,1,,,2020-08-09 00:50:20,2020
177,0,2020-08-08 22:15:53+00:00,204,False,True,8,0,0,True,active,204,True,7,,,2020-08-09 00:50:20,2020
178,0,2020-08-08 18:40:11+00:00,205,False,True,9,0,0,True,active,205,True,6,,,2020-08-09 00:50:20,2020
179,0,2020-08-08 23:50:29+00:00,206,True,True,18,0,0,True,active,206,True,5,,,2020-08-09 00:50:20,2020
180,0,2020-08-08 22:24:34+00:00,208,True,True,11,0,0,True,active,208,True,4,,,2020-08-09 00:50:20,2020
181,1,2020-08-08 23:08:20+00:00,209,False,True,2,0,0,True,active,209,True,12,,,2020-08-09 00:50:20,2020
182,0,2020-08-08 21:47:13+00:00,210,False,True,14,0,0,True,active,210,True,1,,,2020-08-09 00:50:20,2020
183,0,2020-08-09 00:40:16+00:00,211,False,True,13,0,0,True,active,211,True,6,,,2020-08-09 00:50:20,2020
184,0,2020-08-08 23:42:36+00:00,212,False,True,9,0,0,True,active,212,True,24,,,2020-08-09 00:50:20,2020
185,0,2020-08-08 20:56:20+00:00,213,True,True,14,0,0,True,active,213,True,2,,,2020-08-09 00:50:20,2020
